intens1,nSpots0,nTotal
2078,636,737
2415,393,506
1902,329,424
1999,406,497
1675,259,259
1319,85,85
1512,103,103
1421,117,117
2711,439,589
1742,260,312
1561,256,298
1896,320,409
1957,387,472
1870,334,373
1902,326,404
1952,365,431
2218,313,442
2445,535,626
2269,518,657
2215,314,405
2181,453,539
2125,419,520
1419,199,244
1527,286,391
1531,110,110
1541,93,93
1877,392,464
1679,232,309
1831,377,444
1601,262,313
1671,320,387
1844,350,419
1876,286,372
833,2,5
1744,292,292
1939,317,425
2161,357,415
1366,57,57
1737,281,281
1716,233,233
2239,415,525
1425,57,57
1847,242,333
1945,306,398
1642,361,489
1657,236,305
1950,350,474
1958,317,369
1451,99,99
1281,36,36
2016,332,417
2135,379,498
2055,506,506
1197,117,165
1478,167,205
1574,178,196
1297,36,36
1306,24,24
1422,91,91
2350,501,666
1510,97,97
2263,427,551
1272,29,29
1407,121,121
1930,337,387
1594,233,292
1414,0,0
1936,351,405
2093,358,450
2428,485,647
1674,257,257
1934,393,519
1904,473,582
1635,217,217
1806,393,526
1493,250,279
1440,0,0
1504,228,251
1989,377,467
2139,566,652
2222,583,699
1732,317,358
2573,561,748
2308,548,660
2130,386,549
1906,439,505
1764,253,253
2041,393,428
1652,352,469
1557,165,165
2137,489,633
2006,493,632
1439,197,228
1559,168,168
1716,316,441
1681,267,295
1930,399,399
1762,295,408
1851,316,316
1603,266,266
2029,423,423
2451,525,712
1987,312,312
2440,328,428
1810,328,369
1794,338,382
2106,389,389
2118,588,588
2241,290,352
1951,396,396
2058,445,505
2062,459,539
2324,566,653
2134,525,630
1731,223,223
1464,93,93
1297,113,152
1637,190,190
1430,84,84
1857,344,401
1619,374,409
1642,264,320
1756,379,540
1819,332,409
1972,343,435
1530,257,323
1831,333,373
2270,677,878
1409,73,73
1793,286,286
1704,391,449
1803,354,419
1764,245,245
1298,27,27
1486,145,163
1488,198,201
1687,222,308
1125,11,11
1154,20,20
1111,0,0
1453,263,348
1545,236,343
1546,135,211
1297,33,33
1301,26,26
1510,100,175
1443,58,58
1505,90,90
1224,82,322
1361,94,153
1471,152,152
1184,59,213
1335,65,65
1415,107,107
1432,215,244
1516,122,122
1320,103,103
1759,281,281
1435,279,344
1466,138,138
1199,27,27
1323,77,77
1433,131,134
1544,139,141
1488,371,482
883,0,0
1845,480,480
1403,293,394
1389,233,314
1494,170,180
1417,94,100
1292,51,51
2225,278,278
2707,456,577
1787,221,262
1675,276,303
1677,350,444
1840,316,395
815,0,0
1536,346,426
1132,177,216
1665,330,413
1609,166,166
1716,475,631
1204,19,19
1617,251,273
1941,152,176
1964,150,160
1529,309,362
1807,367,405
1922,145,162
1880,251,259
1492,108,108
1665,290,322
1496,85,85
1727,177,190
2111,184,250
1135,0,0
1585,244,279
1716,330,367
1617,282,343
1281,196,230
1550,269,302
1435,242,299
1462,308,361
1391,209,251
1642,116,131
1810,139,154
1419,68,68
1504,156,156
4242,119,160
2303,520,680
1472,234,276
1560,137,137
1436,262,293
1350,81,81
1732,625,712
1326,41,41
1793,523,632
1243,18,18
1769,509,614
1746,543,627
1369,0,0
1647,652,764
1614,374,395
1805,323,348
1727,297,327
1011,0,0
1390,116,119
1174,185,283
1648,329,364
1168,0,0
5964,95,377
1336,34,34
1641,383,409
1873,343,353
1411,121,124
1937,303,347
1141,17,36
1415,131,154
1135,5,7
1007,4,4
1303,30,31
1586,178,202
1528,111,120
1289,23,23
1182,13,15
1206,17,19
1419,141,141
1154,25,40
1426,143,169
1137,7,8
1006,0,0
1459,127,148
1306,20,20
1346,93,101
1265,15,23
1174,15,15
1248,30,30
831,0,0
873,0,3
999,0,0
963,0,0
920,0,0
1007,0,0
919,0,0
1316,30,32
1304,25,25
896,0,0
981,0,0
1525,93,104
1429,38,38
1228,26,28
1241,34,34
1143,7,7
1117,3,10
1062,4,4
1413,76,140
1408,116,127
1261,50,65
1199,25,28
1467,140,193
1390,81,81
1486,109,109
1313,50,50
1232,22,22
1754,290,290
1162,19,19
1660,205,218
1437,76,84
995,0,26
1312,60,65
1239,38,41
1296,25,29
1399,156,165
1311,42,48
1458,73,75
1836,356,369
1391,85,95
1402,97,104
1451,143,167
1395,123,163
1426,119,121
1366,115,124
