CellNum,number_spots_type_0,number_spots_type_1,number_spots_type_0_only,number_spots_type_1_only,number_spots_type_0_1_both,nDoubleSpots0,nDoubleSpots1,total_spots,numberTS0,numberTS1,tsIntensities0_1,tsIntensities0_2,tsIntensities0_3,tsIntensities0_4,tsIntensities1_1,tsIntensities1_2,tsIntensities1_3,tsIntensities1_4,time,nucIntens0,nucIntens1,nucIntens2,nucIntens3
0,526,469,134,81,388,3,4,603,1,1,25,0,0,0,20,0,0,0,0,2811,2078,4669,1650
1,329,291,104,65,225,1,6,394,1,1,68,0,0,0,53,0,0,0,0,3904,2415,7161,1973
3,276,284,70,77,206,4,5.5,353,1,2,45,0,0,0,75,7,0,0,0,3585,1902,9485,2066
4,320,280,88,51,229,2,4.5,368,1,1,17,0,0,0,19,0,0,0,0,3189,1999,7818,1749
5,44,3,44,3,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,4105,1675,6953,1255
6,17,0,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,2980,1319,6092,1172
7,13,0,13,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,2272,1512,6118,1107
9,12,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2674,1421,6119,1197
10,377,300,154,85,215,6,3,454,1,2,74,0,0,0,49,7,0,0,0,3104,2711,8001,1876
14,216,225,41,52,173,2,0,266,2,2,39,5,0,0,37,10,0,0,0,3195,1742,7117,1619
15,185,195,56,66,129,0,2.5,251,1,1,34,0,0,0,24,0,0,0,0,2366,1561,7366,1430
16,249,261,69,82,179,0,3,330,1,1,50,0,0,0,55,0,0,0,0,3243,1896,6320,1840
17,318,291,99,63,219,2,8,381,1,1,18,0,0,0,23,0,0,0,0,3634,1957,8964,1793
18,205,183,57,36,147,3,3,240,1,1,29,0,0,0,19,0,0,0,0,2977,1870,7390,1478
19,278,295,60,75,218,5,8,353,2,2,28,12,0,0,39,7,0,0,0,4012,1902,7639,1984
20,221,202,68,43,153,2,4,264,1,2,61,0,0,0,48,13,0,0,0,3965,1952,8364,1721
21,285,269,90,79,190,10,5,359,1,1,90,0,0,0,79,0,0,0,0,4619,2218,8380,2154
22,392,231,208,50,181,9,3.5,439,2,1,93,8,0,0,71,0,0,0,0,4225,2445,8433,1694
23,378,304,153,86,218,6,4,457,1,1,29,0,0,0,22,0,0,0,0,4141,2269,8463,1773
24,282,231,108,61,170,4.5,5,339,1,1,87,0,0,0,84,0,0,0,0,4128,2215,6931,2009
25,301,239,120,61,178,5,2,359,1,2,104,0,0,0,49,10,0,0,0,3532,2181,6824,1608
26,296,235,123,65,170,8,3,358,2,1,70,5,0,0,47,0,0,0,0,3764,2125,8155,1672
27,91,126,54,90,36,1,0,180,0,0,0,0,0,0,0,0,0,0,0,2349,1419,5493,1242
28,216,230,99,114,116,2,2,329,1,1,37,0,0,0,30,0,0,0,0,3010,1527,7379,1489
