CellNum,number_spots_type_0,number_spots_type_1,number_spots_type_0_only,number_spots_type_1_only,number_spots_type_0_1_both,nDoubleSpots0,nDoubleSpots1,total_spots,numberTS0,numberTS1,tsIntensities0_1,tsIntensities0_2,tsIntensities0_3,tsIntensities0_4,tsIntensities1_1,tsIntensities1_2,tsIntensities1_3,tsIntensities1_4,time,sumNascent
0,526,470,166,113,357,6,4,636,1,1,25,0,0,0,20,0,0,0,0,25
1,330,295,141,104,189,2,8,434,1,1,68,0,0,0,53,0,0,0,0,68
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,276,281,118,125,156,6,10,399,1,2,46,0,0,0,74,5,0,0,0,79
4,322,283,142,103,180,4,8,425,1,1,19,0,0,0,20,0,0,0,0,20
5,44,0,44,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,13,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,379,299,221,144,155,4,4,520,2,2,82,5,0,0,50,6,0,0,0,87
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,216,226,65,78,148,4,0,291,2,2,41,6,0,0,37,11,0,0,0,48
15,185,196,66,77,119,0,4,262,1,1,35,0,0,0,24,0,0,0,0,35
16,249,261,91,104,157,0,0,352,1,1,51,0,0,0,60,0,0,0,0,60
17,318,296,128,101,190,2,8,419,1,1,18,0,0,0,25,0,0,0,0,25
18,205,183,72,51,132,0,2,255,1,1,30,0,0,0,20,0,0,0,0,30
19,278,296,86,102,192,4,8,380,2,2,29,10,0,0,40,7,0,0,0,47
20,221,203,103,81,118,0,8,302,1,2,64,0,0,0,49,13,0,0,0,64
21,285,274,134,125,149,16,8,408,1,2,90,0,0,0,75,7,0,0,0,90
22,391,238,246,93,145,10,4,484,2,1,96,8,0,0,73,0,0,0,0,104
23,380,306,213,141,165,12,8,519,1,1,31,0,0,0,22,0,0,0,0,31
24,283,233,150,101,132,4,6,383,2,1,74,13,0,0,86,0,0,0,0,87
