Unnamed_0,time_index,RNA_nuc,RNA_cyto,RNA_total,rep,conc
13,0,42,78,120,1,0
316,0,11,15,26,2,0
229,0,47,111,158,1,0
127,0,31,35,66,2,0
277,0,14,33,47,3,0
360,0,3,21,24,3,0
129,0,23,31,54,1,0
145,0,3,3,6,1,0
296,0,8,22,30,1,0
143,0,2,2,4,1,0
24,0,32,97,129,1,0
86,0,31,30,61,2,0
77,0,15,35,50,3,0
321,0,18,50,68,3,0
77,0,27,47,74,2,0
76,0,37,93,130,1,0
316,0,20,34,54,3,0
396,0,35,42,77,1,0
280,0,56,129,185,1,0
251,0,8,30,38,2,0
182,0,19,31,50,3,0
428,0,3,19,22,3,0
193,0,33,110,143,2,0
361,0,40,63,103,1,0
20,0,42,70,112,3,0
183,0,11,25,36,2,0
332,0,39,112,151,2,0
80,0,22,44,66,1,0
16,0,37,66,103,1,0
22,0,3,7,10,2,0
319,0,14,31,45,3,0
346,0,23,8,31,3,0
124,0,26,42,68,3,0
245,0,15,18,33,3,0
166,0,13,28,41,3,0
202,0,12,48,60,3,0
94,0,41,85,126,3,0
213,0,4,18,22,1,0
31,0,15,56,71,2,0
449,0,17,27,44,3,0
173,0,26,75,101,1,0
382,0,6,10,16,3,0
260,0,5,15,20,3,0
362,0,7,19,26,3,0
26,0,20,44,64,3,0
185,0,19,52,71,3,0
38,0,22,43,65,3,0
269,0,14,25,39,1,0
177,0,37,84,121,3,0
239,0,10,19,29,2,0
201,0,9,15,24,1,0
202,0,7,19,26,2,0
274,0,4,29,33,1,0
320,0,43,70,113,3,0
323,0,1,4,5,2,0
204,0,10,28,38,2,0
358,0,20,44,64,3,0
308,0,1,4,5,2,0
124,0,32,100,132,1,0
73,0,0,2,2,2,0
216,0,10,24,34,1,0
168,0,0,12,12,1,0
133,0,16,32,48,2,0
321,0,19,43,62,2,0
163,0,33,40,73,2,0
194,0,22,41,63,3,0
233,0,3,8,11,2,0
37,0,17,36,53,2,0
335,0,6,28,34,3,0
271,0,21,49,70,3,0
