time,exp1_s1,exp1_s1_Distorted,exp1_s2,exp1_s2_Distorted,exp1_s3,exp1_s3_Distorted,exp2_s1,exp2_s1_Distorted,exp2_s2,exp2_s2_Distorted,exp2_s3,exp2_s3_Distorted,exp3_s1,exp3_s1_Distorted,exp3_s2,exp3_s2_Distorted,exp3_s3,exp3_s3_Distorted,exp4_s1,exp4_s1_Distorted,exp4_s2,exp4_s2_Distorted,exp4_s3,exp4_s3_Distorted,exp5_s1,exp5_s1_Distorted,exp5_s2,exp5_s2_Distorted,exp5_s3,exp5_s3_Distorted,exp6_s1,exp6_s1_Distorted,exp6_s2,exp6_s2_Distorted,exp6_s3,exp6_s3_Distorted,exp7_s1,exp7_s1_Distorted,exp7_s2,exp7_s2_Distorted,exp7_s3,exp7_s3_Distorted,exp8_s1,exp8_s1_Distorted,exp8_s2,exp8_s2_Distorted,exp8_s3,exp8_s3_Distorted,exp9_s1,exp9_s1_Distorted,exp9_s2,exp9_s2_Distorted,exp9_s3,exp9_s3_Distorted,exp10_s1,exp10_s1_Distorted,exp10_s2,exp10_s2_Distorted,exp10_s3,exp10_s3_Distorted,exp11_s1,exp11_s1_Distorted,exp11_s2,exp11_s2_Distorted,exp11_s3,exp11_s3_Distorted,exp12_s1,exp12_s1_Distorted,exp12_s2,exp12_s2_Distorted,exp12_s3,exp12_s3_Distorted,exp13_s1,exp13_s1_Distorted,exp13_s2,exp13_s2_Distorted,exp13_s3,exp13_s3_Distorted,exp14_s1,exp14_s1_Distorted,exp14_s2,exp14_s2_Distorted,exp14_s3,exp14_s3_Distorted,exp15_s1,exp15_s1_Distorted,exp15_s2,exp15_s2_Distorted,exp15_s3,exp15_s3_Distorted,exp16_s1,exp16_s1_Distorted,exp16_s2,exp16_s2_Distorted,exp16_s3,exp16_s3_Distorted,exp17_s1,exp17_s1_Distorted,exp17_s2,exp17_s2_Distorted,exp17_s3,exp17_s3_Distorted,exp18_s1,exp18_s1_Distorted,exp18_s2,exp18_s2_Distorted,exp18_s3,exp18_s3_Distorted,exp19_s1,exp19_s1_Distorted,exp19_s2,exp19_s2_Distorted,exp19_s3,exp19_s3_Distorted,exp20_s1,exp20_s1_Distorted,exp20_s2,exp20_s2_Distorted,exp20_s3,exp20_s3_Distorted,exp21_s1,exp21_s1_Distorted,exp21_s2,exp21_s2_Distorted,exp21_s3,exp21_s3_Distorted,exp22_s1,exp22_s1_Distorted,exp22_s2,exp22_s2_Distorted,exp22_s3,exp22_s3_Distorted,exp23_s1,exp23_s1_Distorted,exp23_s2,exp23_s2_Distorted,exp23_s3,exp23_s3_Distorted,exp24_s1,exp24_s1_Distorted,exp24_s2,exp24_s2_Distorted,exp24_s3,exp24_s3_Distorted,exp25_s1,exp25_s1_Distorted,exp25_s2,exp25_s2_Distorted,exp25_s3,exp25_s3_Distorted,exp26_s1,exp26_s1_Distorted,exp26_s2,exp26_s2_Distorted,exp26_s3,exp26_s3_Distorted,exp27_s1,exp27_s1_Distorted,exp27_s2,exp27_s2_Distorted,exp27_s3,exp27_s3_Distorted,exp28_s1,exp28_s1_Distorted,exp28_s2,exp28_s2_Distorted,exp28_s3,exp28_s3_Distorted,exp29_s1,exp29_s1_Distorted,exp29_s2,exp29_s2_Distorted,exp29_s3,exp29_s3_Distorted,exp30_s1,exp30_s1_Distorted,exp30_s2,exp30_s2_Distorted,exp30_s3,exp30_s3_Distorted,exp31_s1,exp31_s1_Distorted,exp31_s2,exp31_s2_Distorted,exp31_s3,exp31_s3_Distorted,exp32_s1,exp32_s1_Distorted,exp32_s2,exp32_s2_Distorted,exp32_s3,exp32_s3_Distorted,exp33_s1,exp33_s1_Distorted,exp33_s2,exp33_s2_Distorted,exp33_s3,exp33_s3_Distorted,exp34_s1,exp34_s1_Distorted,exp34_s2,exp34_s2_Distorted,exp34_s3,exp34_s3_Distorted,exp35_s1,exp35_s1_Distorted,exp35_s2,exp35_s2_Distorted,exp35_s3,exp35_s3_Distorted,exp36_s1,exp36_s1_Distorted,exp36_s2,exp36_s2_Distorted,exp36_s3,exp36_s3_Distorted,exp37_s1,exp37_s1_Distorted,exp37_s2,exp37_s2_Distorted,exp37_s3,exp37_s3_Distorted,exp38_s1,exp38_s1_Distorted,exp38_s2,exp38_s2_Distorted,exp38_s3,exp38_s3_Distorted,exp39_s1,exp39_s1_Distorted,exp39_s2,exp39_s2_Distorted,exp39_s3,exp39_s3_Distorted,exp40_s1,exp40_s1_Distorted,exp40_s2,exp40_s2_Distorted,exp40_s3,exp40_s3_Distorted,exp41_s1,exp41_s1_Distorted,exp41_s2,exp41_s2_Distorted,exp41_s3,exp41_s3_Distorted,exp42_s1,exp42_s1_Distorted,exp42_s2,exp42_s2_Distorted,exp42_s3,exp42_s3_Distorted,exp43_s1,exp43_s1_Distorted,exp43_s2,exp43_s2_Distorted,exp43_s3,exp43_s3_Distorted,exp44_s1,exp44_s1_Distorted,exp44_s2,exp44_s2_Distorted,exp44_s3,exp44_s3_Distorted,exp45_s1,exp45_s1_Distorted,exp45_s2,exp45_s2_Distorted,exp45_s3,exp45_s3_Distorted,exp46_s1,exp46_s1_Distorted,exp46_s2,exp46_s2_Distorted,exp46_s3,exp46_s3_Distorted,exp47_s1,exp47_s1_Distorted,exp47_s2,exp47_s2_Distorted,exp47_s3,exp47_s3_Distorted,exp48_s1,exp48_s1_Distorted,exp48_s2,exp48_s2_Distorted,exp48_s3,exp48_s3_Distorted,exp49_s1,exp49_s1_Distorted,exp49_s2,exp49_s2_Distorted,exp49_s3,exp49_s3_Distorted,exp50_s1,exp50_s1_Distorted,exp50_s2,exp50_s2_Distorted,exp50_s3,exp50_s3_Distorted
0,2,0,0,0,59,41,2,0,0,0,0,0,1,0,1,0,134,80,1,0,1,0,60,41,1,0,1,0,53,36,2,0,0,0,58,36,2,0,0,0,5,3,2,0,0,0,52,37,2,0,0,0,45,35,2,0,0,0,27,21,2,0,0,0,35,22,2,0,0,0,30,20,1,0,1,0,40,25,2,0,0,0,19,15,2,0,0,0,21,15,2,0,0,0,16,12,2,0,0,0,57,39,2,0,0,0,43,24,2,0,0,0,51,37,1,0,1,0,66,46,1,0,1,0,67,42,1,0,1,0,177,124,2,0,0,0,7,4,2,0,0,0,4,2,2,0,0,0,70,54,1,0,1,0,85,63,2,0,0,0,61,30,2,0,0,0,92,63,2,0,0,0,13,10,2,0,0,0,21,13,2,0,0,0,13,9,2,0,0,0,32,30,2,0,0,0,43,32,2,0,0,0,17,11,1,0,1,0,34,25,1,0,1,0,92,63,2,0,0,0,1,1,2,0,0,0,17,11,2,0,0,0,26,22,1,0,1,0,40,24,1,0,1,0,115,82,2,0,0,0,1,1,2,0,0,0,110,73,2,0,0,0,14,10,2,0,0,0,72,53,2,0,0,0,124,88,2,0,0,0,167,121,2,0,0,0,38,25,1,0,1,0,201,127,1,0,1,0,37,25
0,2,0,0,0,3,3,2,0,0,0,60,42,2,0,0,0,84,65,2,0,0,0,46,29,2,0,0,0,25,13,2,0,0,0,3,3,2,0,0,0,32,27,2,0,0,0,38,27,2,0,0,0,218,160,2,0,0,0,55,39,2,0,0,0,17,12,2,0,0,0,29,22,2,0,0,0,10,6,2,0,0,0,17,10,2,0,0,0,29,18,2,0,0,0,56,41,2,0,0,0,20,13,2,0,0,0,104,77,2,0,0,0,80,56,1,0,1,0,141,102,1,0,1,0,82,63,2,0,0,0,8,5,2,0,0,0,89,69,2,0,0,0,106,73,2,0,0,0,50,36,2,0,0,0,87,56,2,0,0,0,0,0,1,0,1,0,70,53,2,0,0,0,61,46,2,0,0,0,96,65,2,0,0,0,37,22,2,0,0,0,49,34,2,0,0,0,82,52,2,0,0,0,36,27,2,0,0,0,6,4,1,0,1,0,4,3,2,0,0,0,113,75,2,0,0,0,9,7,1,0,1,0,158,107,2,0,0,0,17,11,2,0,0,0,60,45,2,0,0,0,47,34,2,0,0,0,13,10,2,0,0,0,44,28,2,0,0,0,67,41,2,0,0,0,49,34,1,0,1,0,28,19,1,0,1,0,103,70,1,0,1,0,88,69,2,0,0,0,106,80
0,1,0,1,0,174,120,2,0,0,0,5,3,1,0,1,0,123,89,2,0,0,0,125,91,2,0,0,0,115,69,2,0,0,0,46,25,2,0,0,0,17,11,2,0,0,0,17,9,2,0,0,0,3,2,2,0,0,0,103,70,2,0,0,0,8,6,2,0,0,0,60,45,2,0,0,0,13,10,2,0,0,0,28,21,2,0,0,0,4,3,2,0,0,0,27,17,2,0,0,0,62,41,2,0,0,0,65,43,2,0,0,0,5,3,2,0,0,0,84,56,2,0,0,0,66,45,1,0,1,0,54,41,2,0,0,0,196,136,2,0,0,0,23,16,2,0,0,0,67,54,2,0,0,0,45,32,2,0,0,0,20,15,1,0,1,0,141,95,1,0,1,0,214,156,2,0,0,0,144,102,2,0,0,0,82,55,1,0,1,0,55,39,2,0,0,0,49,33,2,0,0,0,0,0,1,0,1,0,87,58,2,0,0,0,38,32,2,0,0,0,11,6,2,0,0,0,68,52,2,0,0,0,39,24,2,0,0,0,15,9,1,0,1,0,95,69,2,0,0,0,35,27,1,0,1,0,116,77,2,0,0,0,3,3,1,0,1,0,82,56,2,0,0,0,25,18,2,0,0,0,38,24,2,0,0,0,79,55,2,0,0,0,8,5,2,0,0,0,4,1
0,1,0,1,0,137,94,2,0,0,0,25,15,1,0,1,0,114,73,2,0,0,0,76,51,2,0,0,0,13,9,2,0,0,0,1,1,2,0,0,0,37,27,2,0,0,0,105,74,2,0,0,0,33,22,1,0,1,0,76,52,2,0,0,0,84,59,1,0,1,0,78,55,2,0,0,0,18,11,2,0,0,0,161,105,2,0,0,0,85,56,2,0,0,0,16,13,2,0,0,0,135,93,1,0,1,0,39,30,2,0,0,0,6,5,2,0,0,0,9,5,1,0,1,0,42,28,2,0,0,0,27,22,2,0,0,0,93,69,2,0,0,0,1,1,2,0,0,0,49,36,2,0,0,0,32,27,0,0,2,0,239,169,1,0,1,0,29,21,2,0,0,0,0,0,2,0,0,0,37,24,1,0,1,0,37,26,2,0,0,0,46,32,2,0,0,0,31,21,1,0,1,0,70,49,2,0,0,0,51,39,1,0,1,0,133,97,1,0,1,0,164,122,2,0,0,0,180,131,2,0,0,0,1,1,2,0,0,0,0,0,2,0,0,0,121,85,2,0,0,0,78,58,2,0,0,0,26,19,1,0,1,0,116,81,2,0,0,0,21,16,0,0,2,0,278,203,2,0,0,0,77,58,2,0,0,0,183,141,2,0,0,0,7,7,2,0,0,0,15,9
0,2,0,0,0,12,9,2,0,0,0,47,29,2,0,0,0,1,0,1,0,1,0,64,45,2,0,0,0,1,1,2,0,0,0,41,30,2,0,0,0,32,18,2,0,0,0,37,26,2,0,0,0,14,9,2,0,0,0,193,126,2,0,0,0,1,1,1,0,1,0,67,42,2,0,0,0,25,17,2,0,0,0,33,20,2,0,0,0,101,66,2,0,0,0,49,31,2,0,0,0,72,51,2,0,0,0,44,31,2,0,0,0,67,50,0,0,2,0,125,83,2,0,0,0,86,61,2,0,0,0,12,8,2,0,0,0,17,14,2,0,0,0,32,20,2,0,0,0,65,45,2,0,0,0,115,71,1,0,1,0,90,65,2,0,0,0,37,26,2,0,0,0,40,28,2,0,0,0,155,110,1,0,1,0,92,62,2,0,0,0,114,72,2,0,0,0,105,78,1,0,1,0,56,39,2,0,0,0,52,38,2,0,0,0,128,88,2,0,0,0,30,20,2,0,0,0,193,129,2,0,0,0,20,12,1,0,1,0,117,80,2,0,0,0,36,26,2,0,0,0,57,38,2,0,0,0,61,40,2,0,0,0,54,40,2,0,0,0,48,36,2,0,0,0,48,29,2,0,0,0,0,0,2,0,0,0,133,79,2,0,0,0,53,45,1,0,1,0,23,15
0,1,0,1,0,74,56,2,0,0,0,14,10,2,0,0,0,29,22,1,0,1,0,129,90,2,0,0,0,63,44,2,0,0,0,20,13,2,0,0,0,100,71,2,0,0,0,8,6,2,0,0,0,124,95,2,0,0,0,73,50,1,0,1,0,272,197,1,0,1,0,153,115,1,0,1,0,98,66,2,0,0,0,2,1,1,0,1,0,199,140,2,0,0,0,65,43,1,0,1,0,49,33,2,0,0,0,159,106,2,0,0,0,38,28,2,0,0,0,5,3,2,0,0,0,212,157,2,0,0,0,39,28,2,0,0,0,14,7,1,0,1,0,68,44,2,0,0,0,8,5,2,0,0,0,13,9,2,0,0,0,7,5,2,0,0,0,80,58,1,0,1,0,42,24,1,0,1,0,75,61,1,0,1,0,121,71,2,0,0,0,16,11,2,0,0,0,14,8,1,0,1,0,147,101,1,0,1,0,107,73,1,0,1,0,160,106,2,0,0,0,64,49,2,0,0,0,131,90,2,0,0,0,91,66,2,0,0,0,24,18,2,0,0,0,9,8,2,0,0,0,133,92,1,0,1,0,190,123,1,0,1,0,149,102,2,0,0,0,28,18,1,0,1,0,112,82,2,0,0,0,41,35,2,0,0,0,65,54,2,0,0,0,28,23,2,0,0,0,171,123
0,2,0,0,0,4,1,1,0,1,0,48,36,2,0,0,0,4,2,2,0,0,0,105,75,2,0,0,0,71,39,1,0,1,0,106,85,2,0,0,0,55,43,0,0,2,0,126,95,1,0,1,0,69,47,2,0,0,0,21,17,2,0,0,0,6,6,2,0,0,0,29,18,2,0,0,0,28,21,2,0,0,0,25,18,2,0,0,0,7,4,1,0,1,0,105,73,1,0,1,0,70,50,2,0,0,0,144,107,2,0,0,0,39,27,2,0,0,0,0,0,2,0,0,0,54,40,2,0,0,0,28,14,2,0,0,0,143,90,1,0,1,0,32,28,2,0,0,0,20,13,2,0,0,0,34,28,2,0,0,0,5,3,2,0,0,0,20,13,2,0,0,0,5,3,2,0,0,0,154,109,1,0,1,0,114,75,2,0,0,0,11,7,2,0,0,0,18,13,1,0,1,0,53,38,1,0,1,0,113,72,2,0,0,0,30,23,2,0,0,0,5,3,2,0,0,0,89,60,1,0,1,0,135,90,2,0,0,0,37,28,2,0,0,0,42,32,2,0,0,0,59,40,1,0,1,0,121,82,2,0,0,0,87,56,2,0,0,0,71,56,1,0,1,0,88,54,2,0,0,0,64,42,2,0,0,0,182,121,2,0,0,0,46,33,2,0,0,0,13,11
0,0,0,2,0,124,97,2,0,0,0,67,40,1,0,1,0,75,54,2,0,0,0,63,44,1,0,1,0,47,33,2,0,0,0,41,32,1,0,1,0,82,60,2,0,0,0,66,47,2,0,0,0,132,101,2,0,0,0,43,31,2,0,0,0,36,24,2,0,0,0,39,30,2,0,0,0,59,42,2,0,0,0,118,91,1,0,1,0,80,58,2,0,0,0,66,46,2,0,0,0,93,65,2,0,0,0,64,44,1,0,1,0,54,38,2,0,0,0,27,20,2,0,0,0,98,66,2,0,0,0,57,39,2,0,0,0,23,13,2,0,0,0,51,36,2,0,0,0,1,1,2,0,0,0,66,45,0,0,2,0,101,78,2,0,0,0,28,18,1,0,1,0,47,32,2,0,0,0,87,62,2,0,0,0,76,61,2,0,0,0,2,1,2,0,0,0,117,82,2,0,0,0,12,11,1,0,1,0,165,110,2,0,0,0,7,4,2,0,0,0,102,72,2,0,0,0,93,71,2,0,0,0,87,61,2,0,0,0,84,58,2,0,0,0,18,11,2,0,0,0,82,48,2,0,0,0,85,65,2,0,0,0,36,23,2,0,0,0,206,150,2,0,0,0,50,36,2,0,0,0,133,96,2,0,0,0,45,30,2,0,0,0,8,6,2,0,0,0,32,23
0,1,0,1,0,58,36,2,0,0,0,87,68,2,0,0,0,20,16,2,0,0,0,15,12,1,0,1,0,239,168,1,0,1,0,132,94,2,0,0,0,52,34,2,0,0,0,67,48,1,0,1,0,94,64,2,0,0,0,21,14,2,0,0,0,29,20,2,0,0,0,30,25,2,0,0,0,67,43,1,0,1,0,45,31,2,0,0,0,11,9,2,0,0,0,37,23,2,0,0,0,29,18,2,0,0,0,129,90,2,0,0,0,5,5,2,0,0,0,36,21,0,0,2,0,231,159,2,0,0,0,15,13,2,0,0,0,15,8,0,0,2,0,288,205,2,0,0,0,111,73,2,0,0,0,16,11,2,0,0,0,0,0,2,0,0,0,82,57,2,0,0,0,6,3,2,0,0,0,62,46,2,0,0,0,52,36,2,0,0,0,99,62,2,0,0,0,41,28,2,0,0,0,15,10,2,0,0,0,47,36,1,0,1,0,48,34,2,0,0,0,24,20,1,0,1,0,115,79,2,0,0,0,25,18,1,0,1,0,118,85,2,0,0,0,9,6,2,0,0,0,50,31,1,0,1,0,75,47,1,0,1,0,65,49,1,0,1,0,98,73,1,0,1,0,186,130,1,0,1,0,61,49,2,0,0,0,62,43,2,0,0,0,196,138,2,0,0,0,29,25
0,2,0,0,0,27,20,1,0,1,0,219,154,2,0,0,0,46,34,2,0,0,0,155,111,2,0,0,0,51,31,2,0,0,0,8,7,2,0,0,0,61,46,2,0,0,0,26,20,2,0,0,0,47,35,1,0,1,0,93,58,2,0,0,0,72,54,2,0,0,0,20,13,2,0,0,0,30,23,2,0,0,0,51,36,1,0,1,0,27,18,2,0,0,0,45,32,1,0,1,0,55,35,2,0,0,0,28,18,2,0,0,0,59,46,1,0,1,0,24,14,2,0,0,0,69,51,2,0,0,0,18,11,2,0,0,0,41,30,1,0,1,0,84,58,2,0,0,0,48,33,2,0,0,0,44,30,2,0,0,0,18,12,2,0,0,0,53,29,0,0,2,0,86,55,2,0,0,0,8,7,0,0,2,0,169,115,2,0,0,0,102,67,1,0,1,0,160,116,1,0,1,0,248,174,1,0,1,0,14,10,2,0,0,0,7,6,2,0,0,0,2,2,2,0,0,0,23,14,1,0,1,0,101,70,2,0,0,0,42,24,2,0,0,0,5,2,2,0,0,0,71,44,2,0,0,0,103,68,1,0,1,0,64,39,2,0,0,0,36,27,2,0,0,0,4,4,1,0,1,0,91,59,2,0,0,0,35,23,2,0,0,0,95,57,1,0,1,0,109,75
