Image_Cell_ID,Spot_Count,Z_5_9,Z_7
"(0, 0)",122,79,25
"(0, 1)",287,193,62
"(0, 2)",215,111,36
"(0, 3)",306,161,52
"(0, 4)",134,101,29
"(0, 5)",124,97,28
"(1, 6)",273,154,18
"(1, 7)",167,94,11
"(1, 8)",45,20,1
"(2, 9)",82,37,8
"(2, 10)",90,66,24
"(2, 11)",204,129,55
"(2, 12)",171,111,34
"(2, 13)",41,28,5
"(2, 14)",111,56,11
"(3, 15)",381,281,85
"(3, 16)",261,210,47
"(3, 17)",195,126,31
"(3, 18)",100,68,18
"(4, 19)",322,189,67
"(4, 20)",327,256,64
"(4, 21)",44,35,6
"(4, 22)",90,59,14
"(5, 23)",47,36,9
"(5, 24)",237,174,37
"(5, 25)",147,107,29
"(5, 26)",93,64,16
"(5, 27)",55,45,9
"(5, 28)",151,133,26
"(5, 29)",75,59,11
"(6, 30)",237,175,51
"(6, 31)",276,222,60
"(6, 32)",220,143,18
"(6, 33)",71,38,6
"(7, 34)",195,150,29
"(7, 35)",240,141,40
"(7, 36)",164,103,25
"(7, 37)",168,114,22
"(7, 38)",72,46,10
"(7, 39)",52,45,15
"(7, 40)",47,41,12
"(8, 41)",123,84,18
"(8, 42)",64,43,11
"(8, 43)",104,83,30
"(8, 44)",62,50,11
"(8, 45)",53,38,11
"(9, 46)",265,213,75
"(9, 47)",164,100,31
"(9, 48)",162,126,32
"(9, 49)",227,160,55
"(9, 50)",65,38,10
"(9, 51)",106,77,25
"(9, 52)",66,47,15
"(9, 53)",32,19,4
"(9, 54)",26,20,6
"(10, 55)",104,75,13
"(10, 56)",127,86,15
"(10, 57)",40,30,10
"(11, 58)",59,45,5
"(11, 59)",149,97,21
"(11, 60)",183,114,19
"(11, 61)",142,95,18
"(11, 62)",70,53,10
"(11, 63)",77,64,11
"(11, 64)",9,6,2
"(12, 65)",272,178,24
"(12, 66)",350,274,58
"(12, 67)",171,108,14
"(12, 68)",274,102,14
"(12, 69)",43,23,4
"(12, 70)",71,56,7
"(13, 71)",81,51,14
"(13, 72)",191,146,21
"(13, 73)",88,72,13
"(14, 74)",141,104,17
"(14, 75)",444,393,80
"(14, 76)",93,66,20
"(15, 77)",60,30,3
"(15, 78)",50,24,1
"(15, 79)",62,36,1
"(15, 81)",62,35,1
"(16, 83)",155,62,1
"(18, 87)",135,124,31
"(18, 88)",45,43,5
"(18, 89)",59,51,12
"(18, 90)",39,29,6
"(19, 91)",93,63,22
"(19, 92)",149,123,46
"(19, 93)",62,42,15
"(19, 94)",51,30,13
"(19, 95)",11,8,3
"(20, 97)",249,183,57
"(20, 98)",134,115,48
"(20, 99)",65,50,21
"(20, 100)",36,26,3
"(22, 102)",91,42,2
"(22, 103)",115,62,11
"(22, 104)",185,109,21
"(22, 105)",34,19,3
"(24, 108)",77,50,11
"(24, 109)",60,39,5
"(25, 110)",77,38,7
"(25, 111)",102,72,7
"(25, 112)",62,42,15
"(25, 113)",23,15,5
"(25, 114)",15,11,2
"(25, 115)",12,8,2
"(26, 116)",97,54,9
"(26, 117)",73,43,1
"(26, 118)",73,37,9
"(26, 119)",25,18,1
"(27, 121)",81,48,13
"(27, 122)",10,4,2
"(27, 123)",66,49,10
"(27, 124)",24,13,3
"(27, 125)",14,13,3
"(28, 126)",17,11,2
"(28, 127)",21,9,2
"(28, 128)",27,17,6
"(29, 130)",38,28,5
"(29, 131)",55,29,5
"(29, 132)",47,30,5
"(29, 134)",54,29,5
"(29, 135)",52,32,6
