X,y,x,mass,size,ecc,signal,raw_mass,ep,x_orig,y_orig,Worm,Rep,RNAi,Genotype,IntensityIntegers,time,Rep_group,zeroes
267,156.31716048345,442.839435442685,919.127773354005,7.79738721923531,0.0872546426018341,4.19956248352036,2385,0.0218802029416456,1110.90152302455,392.888227916144,9,1,L4440,ELT-2-GFP,3,1,1,0
271,128.109423021815,447.472948379338,529.078997433628,6.58085820407266,0.182906627545707,2.84911493980009,1286,0.0519076620565856,1139.48695760443,393.025431114985,9,1,L4440,ELT-2-GFP,1,2,1,0
314,136.39659072037,500.115057394035,1031.65957903987,7.84372062194273,0.0441855119829047,3.96899826873885,2227,0.023864959332181,1139.58645020194,446.315757546733,9,1,L4440,ELT-2-GFP,4,1,1,0
328,173.457376696508,517.156950289426,584.842599665784,7.51602440709434,0.0853294185416285,2.0586090605492,1224,0.0562636768459441,1105.66895697229,468.976993692273,9,1,L4440,ELT-2-GFP,1,2,1,0
370,133.848109808655,584.086691639592,936.815342402243,8.52495024845459,0.0412466887225471,2.51973749011221,1483,0.0416594272562014,1155.31641586386,528.840289009212,9,1,L4440,ELT-2-GFP,3,1,1,0
401,179.025313040674,619.330438401657,716.873550373167,8.38893516900531,0.0542834020160787,2.19036004042434,1290,0.051649675465242,1116.24774288405,570.753773346505,9,1,L4440,ELT-2-GFP,2,2,1,0
524,145.758043218952,822.754646623511,514.273481070158,8.41895806125438,0.100684258153944,1.99273357061162,713,0.182467592453263,1181.11009703142,766.409069074839,9,1,L4440,ELT-2-GFP,1,1,1,0
735,146.14421606506,1130.86365927834,616.87455664793,8.10498892675636,0.0779897151872313,1.87745146322087,1219,0.0566470427052239,1229.21077502203,1070.74052914008,9,1,L4440,ELT-2-GFP,1,2,1,0
127,222.027381873615,1553.27589367051,3741.43708301158,6.41161613395859,0.00581453668441499,30.6714606882259,11934,0.00372885443057926,788.264868514113,256.969266379477,8,1,L4440,ELT-2-GFP,20,1,1,0
132,207.448209559298,1523.38113711004,3056.80196835519,7.30518336133384,0.143374370986816,14.5539087971582,10826,0.00412939805043936,818.221767529708,271.420319508932,8,1,L4440,ELT-2-GFP,16,2,1,0
153,225.248575565599,1475.91498361714,5145.94942205634,8.25610051185354,0.0269727793750444,15.7567111770886,16139,0.00272553187586486,833.628731038029,319.716429422902,8,1,L4440,ELT-2-GFP,28,1,1,0
172,186.082616293741,1403.51257966059,5366.54337853558,7.94849164297451,0.102177478162424,19.3651183168799,16565,0.00265320826734487,909.210233767398,352.328036398682,8,1,L4440,ELT-2-GFP,30,2,1,0
204,205.226079079322,1340.7477968439,5104.09189923476,8.13939184094694,0.0666378277195496,19.0042776029007,15686,0.00280689420869369,933.033698597856,413.46994226464,8,1,L4440,ELT-2-GFP,28,1,1,0
244,188.048052837177,1246.49024127717,5773.57170390404,7.83582132461791,0.0237656726804639,22.8532452186781,19537,0.002238755782547,1004.87802337451,476.857357138393,8,1,L4440,ELT-2-GFP,32,2,1,0
260,178.390308338973,1208.29951977951,3305.4212202868,8.21703523993584,0.0233449793899109,10.4643807053947,10251,0.00437317897792069,1036.10600050944,500.870201229941,8,1,L4440,ELT-2-GFP,17,1,1,0
310,203.957987322839,1101.55155177502,1141.09861784,8.64462402957051,0.0907153310909704,4.08952809176345,3052,0.0167634393661988,1082.11405080637,600.530093812586,8,1,L4440,ELT-2-GFP,4,2,1,0
326,165.102348458524,1041.69660780144,3050.18655526557,8.24403752647711,0.148080818500871,9.62241903944341,8794,0.00514244039431073,1149.68382033992,623.480066248669,8,1,L4440,ELT-2-GFP,16,1,1,0
367,211.442686908215,976.707721559776,2465.50431838139,8.24690340357384,0.114463860643176,8.05877594553386,6794,0.00677940217971762,1153.52600253683,703.205971314275,8,1,L4440,ELT-2-GFP,12,2,1,0
378,179.179444982503,923.196330301289,3677.56827663728,7.69295905160989,0.126293386638438,14.4336285591651,10768,0.00415274866252596,1211.99139820114,725.255535568275,8,1,L4440,ELT-2-GFP,20,1,1,0
423,184.300739916354,815.187493164854,3086.03006618749,8.38342146538896,0.0105860559141232,9.50213880145037,9249,0.00487466345055849,1274.83696457107,813.247417858674,8,1,L4440,ELT-2-GFP,16,2,1,0
430,223.355177219532,837.773921126684,3132.09739733883,8.39338577280842,0.0497396942262011,9.62241903944341,9046,0.00499060572499882,1230.18371735791,819.688172043011,8,1,L4440,ELT-2-GFP,16,1,1,0
450,182.781630704488,741.500459827345,3153.3869994636,8.3529828984426,0.0785290921545841,9.38185856345732,9450,0.00476505192746659,1321.64900636991,870.174733951253,8,1,L4440,ELT-2-GFP,17,2,1,0
469,230.260966691959,727.759256730397,2986.67858960524,7.81495341244138,0.132226251468798,10.5846609433878,8268,0.00549115196117846,1292.86967903024,910.360033828682,8,1,L4440,ELT-2-GFP,16,1,1,0
488,184.513523132229,650.663304186421,2905.36914872194,8.22616049046096,0.0686833617079024,9.8629795154295,9067,0.00497835656143279,1376.52548126682,942.583026288553,8,1,L4440,ELT-2-GFP,15,2,1,0
517,231.131597002875,623.935236856343,2629.5665630039,8.01911425251766,0.0619210302094668,10.9455016573669,9103,0.00495749730293632,1356.46258347818,992.433949318452,8,1,L4440,ELT-2-GFP,13,1,1,0
398,151.034653561244,1000.71366268309,1858.68618136845,8.0565803592387,0.0727094287449195,6.64758611559538,5325,0.00907470654007128,722.164235026966,683.303264263412,4,1,L4440,ELT-2-GFP,9,2,1,0
401,148.671566239484,798.193680728659,1240.67170709794,8.40886729340047,0.13713913065927,4.74827579685384,3391,0.0151574479639126,924.691614220105,684.911974825651,4,1,L4440,ELT-2-GFP,5,1,1,0
405,165.240142068063,1127.48835128937,2177.24272871738,8.13731861550637,0.128107584173027,7.49172403503606,6881,0.00685986769556451,595.135359116022,695.020015508384,4,1,L4440,ELT-2-GFP,11,2,1,0
407,156.095242197864,677.985561923865,949.022055931188,8.66122971382582,0.0586773385721875,3.05999995797248,2312,0.0242118480285543,1044.7310429175,694.691460973983,4,1,L4440,ELT-2-GFP,3,1,1,0
409,156.860312269823,539.754677172282,2251.94893458788,7.42800701158684,0.0627124659950482,9.81310331349794,6844,0.00689991241465304,1182.9203448599,698.167041514385,4,1,L4440,ELT-2-GFP,11,2,1,0
411,163.828667264581,947.265749269956,2195.81376294508,8.3939235704917,0.0963285452125271,8.44137919440683,6145,0.00775516856387421,775.350985103316,697.142912061509,4,1,L4440,ELT-2-GFP,11,1,1,0
416,176.005746635084,1217.73438407527,1895.93376706377,7.15727388443478,0.123991089689623,8.44137919440683,6837,0.00690754109301973,504.695569902048,704.013857969724,4,1,L4440,ELT-2-GFP,9,2,1,0
419,173.832944248473,1070.03781027544,1854.04342281153,8.48926112763643,0.060846747693362,5.90896543608478,5273,0.0091736903624053,652.406351374424,704.737749701212,4,1,L4440,ELT-2-GFP,9,1,1,0
420,167.322875030563,574.164135514515,1326.66825764096,8.27810378689044,0.151061898843593,4.85379303678393,4203,0.0118285658428515,1148.31233595801,707.952835441024,4,1,L4440,ELT-2-GFP,6,2,1,0
421,175.394683932498,863.78166850597,1045.35929598736,8.74636725408515,0.142034024656244,3.37655167776273,2506,0.0218636410830209,858.592207530029,710.34379731503,4,1,L4440,ELT-2-GFP,4,1,1,0
422,187.999148431959,1267.52401481011,1653.03308074472,6.56070845582695,0.0170964426835865,8.75793091419709,6327,0.00751270678957441,454.680326822418,715.028596961573,4,1,L4440,ELT-2-GFP,8,2,1,0
427,183.823101803129,741.969731394745,3417.59788409554,8.31698005371354,0.0500655276910416,9.91862055342803,9865,0.0046727528815924,980.215443514773,721.159282472444,4,1,L4440,ELT-2-GFP,18,1,1,0
428,177.959604152003,454.670563292746,4774.97165855615,7.50323260648311,0.177707777006226,26.9068961821718,18288,0.0024593937425504,1267.57434866197,720.930744922989,4,1,L4440,ELT-2-GFP,26,2,1,0
429,191.308244243532,1173.62252906153,2140.73376370157,7.4609822352574,0.0644885538792094,8.652413674267,6128,0.00777861769744299,548.498866324921,720.178430599369,4,1,L4440,ELT-2-GFP,10,1,1,0
434,187.415384691359,624.659759329041,1960.93238686071,8.33861828397987,0.0736658576376626,6.22551715587504,5493,0.0087690194386515,1097.43241498063,727.051280671545,4,1,L4440,ELT-2-GFP,9,2,1,0
444,207.855393977803,517.363944532255,2385.32272585951,7.74661770180538,0.0907909499035672,9.60206883363777,7092,0.00664010334530073,1204.30677696187,749.591391665929,4,1,L4440,ELT-2-GFP,12,1,1,0
395,118.937693520546,439.567242251942,2333.59096817515,6.89364193862289,0.0866150246596158,12.0841010715265,7418,0.00636042590120092,548.378988931322,653.458735193216,6,1,L4440,ELT-2-GFP,12,2,1,0
411,166.20397468523,431.16006827531,1982.6988833107,6.61437827766148,0.153028528492975,11.3288447545561,6285,0.00760696650720061,511.977068413835,684.758608867896,6,1,L4440,ELT-2-GFP,10,1,1,0
428,121.874014951385,529.586988562299,2653.13991588533,7.40553151422434,0.137926051849792,11.1022678594649,7275,0.00649475301830229,616.258589769137,712.657861026502,6,1,L4440,ELT-2-GFP,14,2,1,0
443,158.576282339428,513.367602615172,2356.17313205257,7.80890340170012,0.107292178355463,8.91202454025077,6805,0.00697919844962966,580.484918421643,730.833926339071,6,1,L4440,ELT-2-GFP,12,1,1,0
466,122.82605476177,619.94940000831,3087.94097756519,7.89756268450721,0.0844240966752197,12.6883061251028,8553,0.00546354388904185,685.658416083745,770.536491708653,6,1,L4440,ELT-2-GFP,16,2,1,0
473,163.504584054349,591.018910211726,2293.71343463912,8.2723102113693,0.0699578851546719,6.79730685273363,6430,0.0074208386765704,637.52331247942,783.754955548238,6,1,L4440,ELT-2-GFP,11,1,1,0
502,127.41217278101,745.033444760556,540.687997319112,8.65627723871344,0.0587575570132079,1.88814079242601,1134,0.069794159881348,779.658332169297,853.186757927085,6,1,L4440,ELT-2-GFP,1,2,1,0
511,163.771618265372,696.449970624987,1282.95390563762,8.40905764901954,0.0603899409574314,3.85180721654906,3125,0.0167779681440398,719.029669747454,850.631659504327,6,1,L4440,ELT-2-GFP,5,1,1,0
556,133.557866233481,870.661329083321,552.621047127244,7.77038247375494,0.15092275430954,1.88814079242601,1195,0.0636336769763313,873.093344266776,937.389093890939,6,1,L4440,ELT-2-GFP,1,2,1,0
592,149.208680863343,949.8341217967,710.69619426915,8.42116028162638,0.0771064501401284,2.19024331921417,1304,0.0549645560633117,924.529968119022,999.578746014878,6,1,L4440,ELT-2-GFP,2,1,1,0
627,140.128092662868,1071.00638759412,1478.86739425975,8.43557826378858,0.0977877043114928,6.04205053576323,4320,0.0115239841798323,1024.14171901333,1069.16807108932,6,1,L4440,ELT-2-GFP,6,2,1,0
652,163.563814110732,1114.50124202956,947.846677797857,7.60620421954881,0.0542362979184618,4.15390974333722,2335,0.0240166074124918,1043.01657370518,1114.82741035857,6,1,L4440,ELT-2-GFP,3,1,1,0
667,150.853694197532,1169.90917279031,2076.72829477352,7.5769704462534,0.0981626392158597,8.30781948667444,5664,0.0085224402395523,1093.97723388006,1140.01862021311,6,1,L4440,ELT-2-GFP,10,2,1,0
680,133.596448479006,1216.01832997017,1788.9001123761,7.53258002842702,0.153748230770322,7.17493501121884,4770,0.0103083994770241,1140.60972726505,1155.80714346027,6,1,L4440,ELT-2-GFP,8,1,1,0
694,133.402654724277,1275.78771911962,3490.71917140551,6.3973266366354,0.0992645433901387,19.2590360827453,10171,0.00454909965997838,1187.03435816439,1193.45247625435,6,1,L4440,ELT-2-GFP,19,2,1,0
703,155.623546549623,1251.2743766198,1702.27221281959,7.85886418678948,0.149887418247211,6.19310179915731,5241,0.00928345444070955,1153.99290119349,1195.16540219176,6,1,L4440,ELT-2-GFP,8,1,1,0
712,140.815692002847,1307.60273775331,1962.68459091099,7.18198213286244,0.0595295577116292,10.3470115424945,6320,0.00756118938540841,1206.99311194059,1219.31357986686,6,1,L4440,ELT-2-GFP,9,2,1,0
561,143.764725853067,485.679673385676,701.25482559983,7.53860422212612,0.103126380457677,2.89058048474786,1466,0.0332023575293422,1348.75775255248,749.858773543027,5,1,L4440,ELT-2-GFP,2,1,1,0
578,148.696540177153,579.274790648261,788.683767646204,7.7536353415223,0.0385461425533383,2.7571690777595,1274,0.0406407115088829,1259.71310967014,779.106343388779,5,1,L4440,ELT-2-GFP,2,2,1,0
581,167.827573824258,508.447196175589,550.055231013019,7.49555073244132,0.0851535162277672,2.26799391880217,1086,0.0520609990446848,1333.07890694478,779.040181097906,5,1,L4440,ELT-2-GFP,1,1,1,0
597,193.998981819358,498.863049394778,661.853990069267,7.34676833984212,0.0423167341640672,2.57928720177501,1159,0.0469392649100589,1349.17651011221,801.792447759188,5,1,L4440,ELT-2-GFP,2,2,1,0
608,194.253580418188,574.174947290935,718.553838039321,7.71171452457417,0.0909966567958787,2.84611001575174,1550,0.0307408064450696,1276.55452407476,821.742232949622,5,1,L4440,ELT-2-GFP,2,1,1,0
633,199.70141192852,662.688565630309,438.078590080787,7.77037600601119,0.0579118223412445,1.55646641486423,950,0.0653442421283636,1192.54938584915,850.158359557405,5,1,L4440,ELT-2-GFP,0,2,1,0
652,200.761012892634,761.515192600675,581.362441186288,7.80338596736372,0.0103030042221933,1.95670063582932,1068,0.0535004191901436,1097.4423621204,877.037328845713,5,1,L4440,ELT-2-GFP,1,1,1,0
691,194.41337614993,1005.02463563215,752.840569635331,8.19644795698623,0.0305741771398091,2.44587579478665,1290,0.0398958855853797,860.754208754209,934.620828164688,5,1,L4440,ELT-2-GFP,2,2,1,0
706,201.188045775395,1068.14554815602,835.288819154139,8.3234184748382,0.0755353505387194,3.42422611270131,1940,0.0228690267020895,801.604429537348,957.674013735825,5,1,L4440,ELT-2-GFP,3,1,1,0
721,166.333859283764,1267.57038870824,554.546748381628,7.94383855389375,0.0608563454418814,2.09011204281768,1310,0.039002385366604,600.007056936648,976.209943865277,5,1,L4440,ELT-2-GFP,1,2,1,0
726,185.169635948199,1213.65480337433,535.60232858928,7.3864143244586,0.248271467024253,2.66822813976725,1214,0.0437001435094246,656.972683493856,980.283543673198,5,1,L4440,ELT-2-GFP,1,1,1,0
738,158.117829522859,1365.87006662448,1878.52155133414,6.92227062423467,0.0770936263573243,8.84962333022806,5039,0.0075356783837059,502.981819042659,993.998508593343,5,1,L4440,ELT-2-GFP,9,2,1,0
739,175.621993496402,1316.09216642345,2409.36553974083,6.85112334327763,0.0240354126164219,11.3399695940108,6441,0.00578186399476226,555.605492903154,997.869432806069,5,1,L4440,ELT-2-GFP,12,1,1,0
382,226.846968049026,1444.36889846303,3299.54370085264,6.29638605097973,0.037828434972224,24.8819649184511,11197,0.00400149613071863,596.836965843561,662.060535265415,3,1,L4440,ELT-2-GFP,17,2,1,0
393,224.37096170894,1360.83664385186,2706.96263046145,7.53442822515284,0.143060995438051,10.9285492975158,8104,0.00563130552061588,676.097397447913,688.547365006128,3,1,L4440,ELT-2-GFP,14,1,1,0
403,196.027581273848,1231.93988583602,3388.14301122893,8.25594590592751,0.0339428667039258,11.1237019635428,9684,0.00466143970483916,806.860467125536,706.400685424646,3,1,L4440,ELT-2-GFP,18,2,1,0
412,231.260968393398,1289.27538936501,3603.20124919076,7.70533892496985,0.169003223074204,18.3443506065443,11764,0.00379989081356169,740.89100116446,719.696590570585,3,1,L4440,ELT-2-GFP,19,1,1,0
421,194.361836766348,1108.99609635139,4037.41593110098,8.38154713106242,0.0454698928211435,12.7824996247729,11653,0.00383774338893297,922.834545762138,747.241390144283,3,1,L4440,ELT-2-GFP,22,2,1,0
439,229.009155333336,1155.07219316778,3155.32588065864,8.31820130908862,0.0642291711567877,10.1479386334075,9258,0.00488843941978052,867.63571141417,763.870643535269,3,1,L4440,ELT-2-GFP,17,1,1,0
446,181.120041274296,963.930562845288,1066.21659083888,8.36649088157371,0.11616901265682,3.51274798848721,2574,0.0207197074926777,1063.56557152009,784.846343918733,3,1,L4440,ELT-2-GFP,4,2,1,0
453,223.441543093172,1009.21953254153,1546.78003093054,8.45448397409512,0.110959161912546,5.07396931670375,4007,0.0122289736912705,1006.45868029271,808.950353267726,3,1,L4440,ELT-2-GFP,7,1,1,0
465,186.555090711881,839.969729804071,3724.39105479357,8.14315573685086,0.114654678988787,13.0752286238135,10618,0.00423070929342361,1178.04516754434,832.702900259373,3,1,L4440,ELT-2-GFP,20,2,1,0
471,223.306088512689,889.713648264166,4213.4436358574,8.13005947810237,0.0644728383014681,14.1485682869624,12128,0.00368083668667051,1118.67800653065,850.041685000347,3,1,L4440,ELT-2-GFP,23,1,1,0
487,195.25438563203,741.674237807588,2749.79864065439,8.44437964793624,0.0287591041398347,7.8061066410827,8159,0.00559081324639745,1267.30847024591,874.771228842128,3,1,L4440,ELT-2-GFP,14,2,1,0
496,227.380195550323,777.55697777156,2305.92390177583,8.66233529769828,0.0553925909177319,7.8061066410827,7026,0.00656295534001469,1222.54718178741,892.549466824645,3,1,L4440,ELT-2-GFP,11,1,1,0
505,194.314060860044,656.043096695999,1810.13855373406,7.96502989674219,0.0859263192867027,6.53761431190676,4920,0.00969716457806312,1348.00932564282,903.423427308501,3,1,L4440,ELT-2-GFP,8,2,1,0
517,200.330389201915,593.278925481789,2547.2301733183,7.89504267931815,0.063592901508283,9.5624806353263,7524,0.00609697398711583,1404.84700248994,930.718406435549,3,1,L4440,ELT-2-GFP,13,1,1,0
521,243.378067094596,674.387642146095,2409.84269643524,7.70777311344754,0.0974936049359194,9.36732796929924,6432,0.00722125558131758,1313.86791918047,943.149532331862,3,1,L4440,ELT-2-GFP,12,2,1,0
528,231.623101085329,608.000850288348,1597.7148767636,7.78364927540459,0.0833077378260946,5.95215631382556,5184,0.00914943240638985,1380.23537315256,955.013191645291,3,1,L4440,ELT-2-GFP,7,1,1,0
