rep,worm,treatment,AU,genotype,IntensityIntegers,time
Rep1,1,ELT-2,2.578062769,ELT-2-GFP,26,2
Rep1,2,ELT-2,3.215398713,ELT-2-GFP,32,1
Rep1,3,ELT-2,3.71809893,ELT-2-GFP,37,1
Rep1,4,ELT-2,3.577278478,ELT-2-GFP,36,1
Rep1,5,ELT-2,3.914797055,ELT-2-GFP,39,1
Rep1,6,ELT-2,2.112216343,ELT-2-GFP,21,1
Rep1,7,ELT-2,2.461012982,ELT-2-GFP,25,1
Rep1,8,ELT-2,1.800992122,ELT-2-GFP,18,1
Rep1,9,ELT-2,1.730835518,ELT-2-GFP,17,1
Rep1,1,L4440,0.722332071,ELT-2-GFP,7,2
Rep1,2,L4440,0.380490651,ELT-2-GFP,4,1
Rep1,3,L4440,1.114544498,ELT-2-GFP,11,1
Rep1,4,L4440,0.978129725,ELT-2-GFP,10,1
Rep1,5,L4440,0.184558857,ELT-2-GFP,2,1
Rep1,6,L4440,0.653982759,ELT-2-GFP,7,1
Rep1,7,L4440,0.367534205,ELT-2-GFP,4,1
Rep1,8,L4440,1.253425526,ELT-2-GFP,13,1
Rep1,9,L4440,0.066016763,ELT-2-GFP,1,1
Rep2,1,ELT-2,3.442074446,ELT-2-GFP,34,2
Rep2,2,ELT-2,2.009540686,ELT-2-GFP,20,1
Rep2,3,ELT-2,5.40029665,ELT-2-GFP,54,1
Rep2,4,ELT-2,4.425171437,ELT-2-GFP,44,1
Rep2,5,ELT-2,2.606338474,ELT-2-GFP,26,1
Rep2,6,ELT-2,1.729364695,ELT-2-GFP,17,1
Rep2,7,ELT-2,0.662734248,ELT-2-GFP,7,1
Rep2,8,ELT-2,0.816844825,ELT-2-GFP,8,1
Rep2,9,ELT-2,0.846730023,ELT-2-GFP,8,1
Rep2,10,ELT-2,3.537729867,ELT-2-GFP,35,1
Rep2,1,L4440,0.051361296,ELT-2-GFP,1,2
Rep2,2,L4440,0.910165132,ELT-2-GFP,9,1
Rep2,3,L4440,0.681855338,ELT-2-GFP,7,1
Rep2,4,L4440,0.178864834,ELT-2-GFP,2,1
Rep2,5,L4440,0.100776211,ELT-2-GFP,1,1
Rep2,6,L4440,0.069768559,ELT-2-GFP,1,1
Rep2,7,L4440,0.63909643,ELT-2-GFP,6,1
Rep2,8,L4440,0.165405909,ELT-2-GFP,2,1
Rep2,9,L4440,0.27711984,ELT-2-GFP,3,1
Rep2,10,L4440,0.217950727,ELT-2-GFP,2,1
Rep3,1,ELT-2,3.31245997,ELT-2-GFP,33,2
Rep3,2,ELT-2,2.935981018,ELT-2-GFP,29,1
Rep3,3,ELT-2,4.674320486,ELT-2-GFP,47,1
Rep3,4,ELT-2,3.277666465,ELT-2-GFP,33,1
Rep3,5,ELT-2,1.631567582,ELT-2-GFP,16,1
Rep3,6,ELT-2,3.663743434,ELT-2-GFP,37,1
Rep3,7,ELT-2,1.242519324,ELT-2-GFP,12,1
Rep3,8,ELT-2,2.063035235,ELT-2-GFP,21,1
Rep3,9,ELT-2,1.183737446,ELT-2-GFP,12,1
Rep3,10,ELT-2,0.988402047,ELT-2-GFP,10,1
Rep3,1,L4440,0.088215526,ELT-2-GFP,1,2
Rep3,2,L4440,0.117202318,ELT-2-GFP,1,1
Rep3,3,L4440,0.157165688,ELT-2-GFP,2,1
Rep3,4,L4440,0.088930946,ELT-2-GFP,1,1
Rep3,5,L4440,0.189656107,ELT-2-GFP,2,1
Rep3,6,L4440,0.086648774,ELT-2-GFP,1,1
Rep3,7,L4440,0.252432135,ELT-2-GFP,3,1
Rep3,8,L4440,0.094571945,ELT-2-GFP,1,1
Rep3,9,L4440,0.350563606,ELT-2-GFP,4,1
Rep3,10,L4440,0.078203428,ELT-2-GFP,1,1
Rep1,1,ELT-2,1.800538808,ELT-2-GFP-ELT-7-deletion,18,2
Rep1,2,ELT-2,0.795126394,ELT-2-GFP-ELT-7-deletion,8,1
Rep1,3,ELT-2,1.593381461,ELT-2-GFP-ELT-7-deletion,16,1
Rep1,4,ELT-2,1.186702695,ELT-2-GFP-ELT-7-deletion,12,1
Rep1,5,ELT-2,0.889866065,ELT-2-GFP-ELT-7-deletion,9,1
Rep1,6,ELT-2,1.45171163,ELT-2-GFP-ELT-7-deletion,15,1
