cell_id,nuc_area,nucGRint,cytoGRint,time,Dex_conc,replica,CalcCytoArea,normGRnuc,normGRcyt
0,8084,5442.916579,1504.375279,90,10,A,14063.91997,17,4
1,8027,6004.195356,1510.456026,90,10,A,13937.79709,20,4
2,8608,5340.432936,1555.654243,90,10,A,15266.43601,17,5
3,7861,6337.064347,1645.579836,90,10,A,13575.72889,20,6
4,9485,4811.439403,1555.906255,90,10,A,17452.86846,14,5
5,7817,5585.409621,1730.811601,90,10,A,13481.06622,18,6
6,8312,5979.244127,1563.090277,90,10,A,14577.60442,20,5
7,7436,4293.854943,1577.115937,90,10,A,12684.28151,11,5
8,7910,5146.572383,1490.773879,90,10,A,13681.79338,16,4
9,8314,5466.315039,1557.436609,90,10,A,14582.1755,18,5
10,9095,5107.141242,1495.852374,90,10,A,16453.69674,15,4
11,8515,4512.374429,1449.77713,90,10,A,15047.34171,12,4
12,8953,5176.437756,1536.878412,90,10,A,16100.58318,16,4
13,8399,5305.326386,1567.228549,90,10,A,14777.49266,17,5
14,7068,4927.746869,1573.591548,90,10,A,11953.67814,14,5
15,7933,6202.52203,1554.718365,90,10,A,13731.81303,20,5
16,7133,5878.568726,1678.42036,90,10,A,12079.93862,20,6
17,9064,6389.826938,1644.047264,90,10,A,16376.12176,20,6
18,7244,3859.478691,1362.253137,90,10,A,12298.31649,8,3
19,8944,5152.950531,1549.556384,90,10,A,16078.39501,16,5
20,7766,6039.297833,1650.251768,90,10,A,13372.02901,20,6
21,9039,4911.098455,1618.509776,90,10,A,16313.75936,14,5
22,7418,6642.766167,1745.756558,90,10,A,12647.6542,20,7
23,8644,4864.92397,1462.603993,90,10,A,15351.90371,14,4
24,7706,5004.180784,1472.83155,90,10,A,13244.69215,15,4
25,8176,4297.511098,1455.30116,90,10,A,14269.42605,11,4
26,7117,5320.724114,1953.820214,90,10,A,12048.7482,17,9
27,9235,4358.954461,1442.121988,90,10,A,16807.42222,11,4
28,8250,6917.335079,1766.161647,90,10,A,14436.46226,20,7
29,7453,3995.51,1559.052464,90,10,A,12718.95815,9,5
30,7535,5883.49561,1567.79996,90,10,A,12887.37041,20,5
31,8924,3638.894955,1444.707868,90,10,A,16029.17001,7,4
32,9165,4528.050149,1405.165794,90,10,A,16629.86626,12,3
33,7572,5457.467671,1520.145664,90,10,A,12963.98422,18,4
34,8878,5025.16235,1461.923184,90,10,A,15916.38202,15,4
35,8128,5341.018523,1460.71694,90,10,A,14161.9067,17,4
36,7572,4728.435775,1502.004247,90,10,A,12963.98422,13,4
37,8103,6270.636126,1635.275954,90,10,A,14106.16522,20,5
38,8071,6529.692018,1641.596419,90,10,A,14035.07418,20,6
39,8241,6452.401913,1668.789616,90,10,A,14416.06428,20,6
40,8733,4687.466209,1371.797895,90,10,A,15564.77274,13,3
41,7492,6137.535752,1656.46211,90,10,A,12798.81942,20,6
42,7717,4789.487057,1454.709364,90,10,A,13267.96098,14,4
43,8828,4205.580945,1354.682783,90,10,A,15794.46544,10,3
44,9056,4489.167785,1448.192704,90,10,A,16356.14655,12,4
45,8287,5720.466548,1516.235789,90,10,A,14520.5614,19,4
46,8765,5782.96143,1668.370778,90,10,A,15641.85771,19,6
47,7306,4162.03893,1451.358001,90,10,A,12421.81076,10,4
48,7875,3540.218872,1345.320708,90,10,A,13605.96371,6,3
49,7496,4397.508088,1471.706118,90,10,A,12807.03465,11,4
50,9083,5493.135562,1621.623835,90,10,A,16423.63546,18,5
51,8704,5698.427899,1588.431868,90,10,A,15495.16476,19,5
52,8012,6218.707776,1708.795935,90,10,A,13904.75965,20,6
53,7432,6079.217188,1644.866027,90,10,A,12676.13418,20,6
54,8228,5442.11085,1599.189617,90,10,A,14386.641,17,5
55,7516,4671.989363,1453.013919,90,10,A,12848.17872,13,4
56,8620,5936.142253,1506.148037,90,10,A,15294.8845,20,4
57,7860,5252.018324,1770.027294,90,10,A,13573.57138,16,7
58,8597,5549.781748,1645.524398,90,10,A,15240.39402,18,6
59,7990,4828.566867,1512.921863,90,10,A,13856.41989,14,4
60,8546,4675.286655,1548.851794,90,10,A,15120.10123,13,5
61,8580,4633.486274,1461.840425,90,10,A,15200.21466,13,4
62,7168,5625.72548,1919.125275,90,10,A,12148.42019,18,8
63,8390,4716.069124,1460.727716,90,10,A,14756.71525,13,4
64,7279,5166.14381,1947.315502,90,10,A,12367.8973,16,9
65,9279,5090.19757,1462.75622,90,10,A,16919.73844,15,4
66,7653,4772.731457,1428.340833,90,10,A,13133.05853,14,3
67,8694,4167.66371,1437.30676,90,10,A,15471.21718,10,3
68,8673,4576.196336,1446.049679,90,10,A,15421.01937,12,4
69,9377,5558.110315,1590.053267,90,10,A,17171.86605,18,5
70,7324,5460.952568,1560.943685,90,10,A,12457.86765,18,5
71,9173,5799.890828,1644.726018,90,10,A,16650.0882,19,6
72,8207,4854.909592,1495.549896,90,10,A,14339.21209,14,4
73,8522,4843.782817,1505.296395,90,10,A,15063.74751,14,4
74,7862,5280.696127,1529.034791,90,10,A,13577.88668,16,4
75,8547,4967.42975,1490.479119,90,10,A,15122.45284,15,4
76,7463,5532.952736,1720.389077,90,10,A,12739.39437,18,6
77,9302,5902.662907,1598.448968,90,10,A,16978.66721,20,5
78,7554,6238.31476,1823.40724,90,10,A,12926.66426,20,7
79,8549,4275.014828,1456.794916,90,10,A,15127.15691,11,4
80,9485,5391.170105,1590.813637,90,10,A,17452.86846,17,5
81,9229,6124.526275,1708.009585,90,10,A,16792.14881,20,6
82,8101,5526.997929,1657.21297,90,10,A,14101.71354,18,6
83,8002,5573.980884,1604.853322,90,10,A,13882.77005,18,5
84,8579,5487.596256,1584.468574,90,10,A,15197.85371,18,5
85,8688,4900.552937,1462.377262,90,10,A,15456.86222,14,4
86,8054,6297.169096,1571.908847,90,10,A,13997.42491,20,5
87,8247,6164.501711,1575.391646,90,10,A,14429.66039,20,5
88,9203,5532.251502,1534.313665,90,10,A,16726.08175,18,4
89,8350,5802.74113,1579.681098,90,10,A,14664.6485,20,5
90,7090,4036.79746,1434.492521,90,10,A,11996.27862,9,3
91,8684,5373.907951,1602.217345,90,10,A,15447.2979,17,5
92,8977,6391.278642,1627.483277,90,10,A,16159.8637,20,5
93,8235,5923.002487,1758.560079,90,10,A,14402.47836,20,7
94,8634,5372.362704,1556.885985,90,10,A,15328.1259,17,5
95,7344,4284.327047,1594.010108,90,10,A,12498.03839,11,5
96,9080,5182.299091,1526.015623,90,10,A,16416.12651,16,4
97,7275,4144.675823,1562.973213,90,10,A,12359.92767,10,5
98,8899,4346.820181,1504.866117,90,10,A,15967.79791,11,4
99,7868,4252.946499,1453.59156,90,10,A,13590.83937,11,4
100,8728,5154.604524,1475.619094,90,10,A,15552.75439,16,4
101,8952,5585.733406,1608.443077,90,10,A,16098.1167,18,5
102,7126,5814.32605,1622.842258,90,10,A,12066.2839,20,5
103,8917,4963.242512,1528.233002,90,10,A,16011.968,15,4
104,8807,6177.867519,1623.894104,90,10,A,15743.47142,20,5
105,8707,5369.983091,1569.960806,90,10,A,15502.35455,17,5
106,8910,5445.523581,1560.257718,90,10,A,15994.77985,17,5
107,8767,5844.859718,1626.368655,90,10,A,15646.68514,20,5
108,8912,5203.994844,1580.7905,90,10,A,15999.68933,16,5
109,8819,5757.130221,1590.720314,90,10,A,15772.59558,19,5
110,8416,4983.366325,1636.682769,90,10,A,14816.8014,15,6
111,8728,5363.323228,1586.613812,90,10,A,15552.75439,17,5
112,8845,5830.897184,1672.697928,90,10,A,15835.83771,20,6
113,9477,3617.467218,1376.006906,90,10,A,17431.94029,7,3
114,9196,5119.596976,1470.188774,90,10,A,16708.32714,16,4
115,8819,5278.248303,1509.325138,90,10,A,15772.59558,16,4
116,9249,5090.7511,1510.449938,90,10,A,16843.09978,15,4
117,9488,5626.068838,1802.230741,90,10,A,17460.72119,18,7
118,7904,4568.933565,1516.636794,90,10,A,13668.76939,12,4
119,8100,3962.864296,1455.845877,90,10,A,14099.48813,9,4
120,8364,4675.805357,1471.04724,90,10,A,14696.82037,13,4
121,9029,4804.214606,1503.896061,90,10,A,16288.86391,14,4
122,9333,5324.461262,1695.592189,90,10,A,17058.32976,17,6
123,8418,5749.863408,1615.634139,90,10,A,14821.43133,19,5
124,9065,4944.957,1463.623874,90,10,A,16378.61994,15,4
125,7925,4501.674445,1444.979463,90,10,A,13714.39791,12,4
126,7769,5907.613861,1613.137725,90,10,A,13378.42259,20,5
127,9381,5845.97033,1474.742708,90,10,A,17182.2147,20,4
128,7658,4913.134206,1510.103926,90,10,A,13143.55605,14,4
129,8612,5105.420039,1522.976181,90,10,A,15275.91432,15,4
130,8943,4732.224044,1448.311652,90,10,A,16075.93107,13,4
131,8446,4423.08615,1457.778677,90,10,A,14886.36925,12,4
132,9335,5138.647409,1493.610219,90,10,A,17063.47862,16,4
133,8735,5340.513321,1511.445796,90,10,A,15569.58207,17,4
134,8226,5874.825828,1528.401818,90,10,A,14382.11858,20,4
135,8218,4713.194123,1502.337068,90,10,A,14364.04024,13,4
136,8039,5213.263425,1594.897687,90,10,A,13964.27288,16,5
137,8638,5418.286576,1641.430762,90,10,A,15337.63363,17,6
138,7258,5586.352959,1564.405186,90,10,A,12326.10722,18,5
139,8261,6908.840077,1661.560462,90,10,A,14461.42424,20,6
140,9247,3898.123435,2343.295213,150,1,A,16837.99959,9,13
141,9017,4804.017583,2494.421857,150,1,A,16259.02672,14,14
142,8761,4419.567006,2734.053725,150,1,A,15632.20624,12,17
143,8759,4501.021205,2517.615661,150,1,A,15627.38221,12,15
144,8693,4045.516877,2498.576127,150,1,A,15468.82398,9,14
145,8660,4073.958402,2485.976714,150,1,A,15390.00706,10,14
146,7859,4946.423523,2627.930175,150,1,A,13571.41416,15,16
147,8877,3937.074448,2494.955768,150,1,A,15913.93675,9,14
148,8510,4587.952437,2406.560557,150,1,A,15035.63176,13,13
149,8146,4689.672457,2441.707592,150,1,A,14202.15006,13,14
150,9147,3765.579469,2123.674893,150,1,A,16584.43311,8,11
151,8479,4142.076058,2137.925591,150,1,A,14963.18801,10,11
152,8535,4618.694448,2607.205372,150,1,A,15094.25221,13,15
153,7680,3724.750572,2208.238622,150,1,A,13189.82917,8,11
154,9475,4176.399551,2414.140113,150,1,A,17426.71107,10,13
155,8236,4322.354791,2349.20338,150,1,A,14404.74198,11,13
156,8336,5038.331082,2713.316662,150,1,A,14632.5321,15,17
157,8754,3634.715701,2317.731858,150,1,A,15615.32707,7,13
158,8984,3979.994896,2604.80461,150,1,A,16177.18455,9,15
159,9146,4297.034482,2473.788726,150,1,A,16581.91173,11,14
160,8795,3441.632678,2140.627863,150,1,A,15714.388,6,11
161,8373,4545.999718,2396.829962,150,1,A,14717.53157,12,13
162,9072,3835.896657,2362.941441,150,1,A,16396.11508,8,13
163,8781,4110.508001,2593.279378,150,1,A,15680.50884,10,15
164,9369,3678.109232,2415.787024,150,1,A,17151.18235,7,14
165,8902,4709.626642,2789.15001,150,1,A,15975.15323,13,17
166,9423,4179.718093,2693.303018,150,1,A,17291.14878,10,16
167,7678,4317.057479,2684.827091,150,1,A,13185.61687,11,16
168,7962,3941.217871,2391.655529,150,1,A,13795.09463,9,13
169,8119,4761.956733,2831.581423,150,1,A,14141.81939,14,18
170,8586,4283.24465,2539.121767,150,1,A,15214.38627,11,15
171,8169,4059.876368,2523.688334,150,1,A,14253.70554,9,15
172,8972,3869.788976,2641.700307,150,1,A,16147.50015,8,16
173,7194,3960.793447,2629.96235,150,1,A,12199.51659,9,16
174,7760,3260.194469,2019.282752,150,1,A,13359.24948,5,9
175,9038,3829.306417,2427.945447,150,1,A,16311.26854,8,14
176,8138,4006.421308,2356.32032,150,1,A,14184.2528,9,13
