unique_cell_id,num_spots,num_nuc_spots,num_cyto_spots,num_ts,num_foci,num_spots_ts,largest_ts,second_largest_ts,num_spots_foci,nuc_area,cyto_area,time,dex_conc,replica,fov,nas_location,h5_idx
200005,125,42,83,0,0,0,0,0,0,8113.0,14206.0,0,0.0,E,0,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200012,63,22,41,0,0,0,0,0,0,7767.0,10129.0,0,0.0,E,0,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200014,137,49,88,0,1,0,0,0,5,7986.0,17325.0,0,0.0,E,0,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200015,54,26,28,0,0,0,0,0,0,9531.0,13727.0,0,0.0,E,1,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200017,69,35,34,0,0,0,0,0,0,8650.0,7269.0,0,0.0,E,1,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200020,20,11,9,0,0,0,0,0,0,7704.0,12928.0,0,0.0,E,1,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200024,40,14,26,0,0,0,0,0,0,8417.0,19304.0,0,0.0,E,1,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200029,46,15,31,1,0,4,4,0,0,8106.0,15172.0,0,0.0,E,1,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200030,35,14,21,1,0,5,5,0,0,7955.0,9838.0,0,0.0,E,2,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200032,29,5,24,0,1,0,0,0,17,8062.0,12073.0,0,0.0,E,2,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200033,21,7,14,0,0,0,0,0,0,7870.0,7449.0,0,0.0,E,2,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200036,68,21,47,0,0,0,0,0,0,9127.0,13853.0,0,0.0,E,2,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200037,81,25,56,0,0,0,0,0,0,7690.0,12047.0,0,0.0,E,2,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200038,63,49,14,1,0,39,39,0,0,8995.0,11196.0,0,0.0,E,2,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200041,36,12,24,0,0,0,0,0,0,8295.0,11438.0,0,0.0,E,2,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200042,52,9,43,0,0,0,0,0,0,9603.0,12546.0,0,0.0,E,2,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200045,28,12,16,0,0,0,0,0,0,7705.0,13275.0,0,0.0,E,2,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200048,113,38,75,0,1,0,0,0,4,8218.0,11498.0,0,0.0,E,3,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200051,18,7,11,0,0,0,0,0,0,8440.0,16966.0,0,0.0,E,3,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200054,136,55,81,0,0,0,0,0,0,9283.0,16340.0,0,0.0,E,3,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200056,24,10,14,0,0,0,0,0,0,7874.0,13607.0,0,0.0,E,3,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200060,32,15,17,0,0,0,0,0,0,8308.0,9345.0,0,0.0,E,4,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200066,37,3,34,0,1,0,0,0,20,9573.0,18078.0,0,0.0,E,4,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200074,74,22,52,0,0,0,0,0,0,8897.0,16272.0,0,0.0,E,4,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200079,62,38,24,3,0,36,25,7,0,8427.0,15963.0,0,0.0,E,5,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200080,44,19,25,0,0,0,0,0,0,8390.0,14645.0,0,0.0,E,5,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200086,25,11,14,0,0,0,0,0,0,9078.0,11558.0,0,0.0,E,5,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200087,56,20,36,0,0,0,0,0,0,8577.0,13564.0,0,0.0,E,6,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200089,69,27,42,0,0,0,0,0,0,8489.0,16206.0,0,0.0,E,6,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200090,46,17,29,0,0,0,0,0,0,7896.0,13131.0,0,0.0,E,6,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200094,53,22,31,0,0,0,0,0,0,8323.0,7257.0,0,0.0,E,6,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200096,38,13,25,0,0,0,0,0,0,7742.0,11066.0,0,0.0,E,7,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200099,33,9,24,0,0,0,0,0,0,8131.0,10787.0,0,0.0,E,7,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200101,68,27,41,0,0,0,0,0,0,8674.0,12731.0,0,0.0,E,7,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200103,126,44,82,0,0,0,0,0,0,8555.0,18337.0,0,0.0,E,7,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200104,121,45,76,0,1,0,0,0,4,9159.0,10990.0,0,0.0,E,8,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200109,102,39,63,0,0,0,0,0,0,9540.0,20140.0,0,0.0,E,8,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200115,83,35,48,0,0,0,0,0,0,8412.0,11461.0,0,0.0,E,8,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200118,35,18,17,0,0,0,0,0,0,8366.0,11823.0,0,0.0,E,8,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200121,3,1,2,0,0,0,0,0,0,8902.0,6910.0,0,0.0,E,8,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200131,159,65,94,9,9,36,4,0,41,8162.0,16047.0,0,0.0,E,9,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200132,167,44,123,16,21,66,5,4,90,8651.0,17512.0,0,0.0,E,9,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200133,129,47,82,13,21,57,6,5,96,8371.0,16053.0,0,0.0,E,9,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200136,149,57,92,8,18,33,5,4,80,8349.0,17099.0,0,0.0,E,9,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200142,185,58,127,8,27,37,5,4,124,8867.0,21379.0,0,0.0,E,9,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200146,53,9,44,0,0,0,0,0,0,8834.0,14847.0,0,0.0,E,10,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200149,87,21,66,0,2,0,0,0,30,9603.0,18667.0,0,0.0,E,10,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200153,89,31,58,0,1,0,0,0,30,9302.0,20876.0,0,0.0,E,10,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200155,25,7,18,0,0,0,0,0,0,8318.0,13706.0,0,0.0,E,10,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200156,59,14,45,0,0,0,0,0,0,7752.0,15132.0,0,0.0,E,10,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200161,58,23,35,1,0,4,4,0,0,7877.0,16290.0,0,0.0,E,11,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200163,66,16,50,0,0,0,0,0,0,7808.0,13980.0,0,0.0,E,11,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200165,58,19,39,0,0,0,0,0,0,7728.0,10379.0,0,0.0,E,11,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200166,98,32,66,0,0,0,0,0,0,9618.0,22653.0,0,0.0,E,11,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200167,24,8,16,0,0,0,0,0,0,8236.0,10489.0,0,0.0,E,11,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200168,101,44,57,0,0,0,0,0,0,9520.0,17572.0,0,0.0,E,11,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
