Unnamed_0,time_index,RNA_nuc,RNA_cyto,RNA_total,rep,conc,TPL,t_TPL,tryptCond1,tryptCond2,tryptCond3,tryptCond4
0,0,53,110,163,1,0,NaN,NaN,1,2,3,4
1,0,66,90,156,1,0,NaN,NaN,1,2,3,4
2,0,150,236,386,1,0,NaN,NaN,1,2,3,4
3,0,97,195,292,1,0,NaN,NaN,1,2,3,4
4,0,51,103,154,1,0,NaN,NaN,1,2,3,4
5,0,135,246,381,1,0,NaN,NaN,1,2,3,4
6,0,40,121,161,1,0,NaN,NaN,1,2,3,4
7,0,35,119,154,1,0,NaN,NaN,1,2,3,4
8,0,60,103,163,1,0,NaN,NaN,1,2,3,4
9,0,87,215,302,1,0,NaN,NaN,1,2,3,4
10,0,48,153,201,1,0,NaN,NaN,1,2,3,4
11,0,142,250,392,1,0,NaN,NaN,1,2,3,4
12,0,25,23,48,1,0,NaN,NaN,1,2,3,4
13,0,18,21,39,1,0,NaN,NaN,1,2,3,4
14,0,72,200,272,1,0,NaN,NaN,1,2,3,4
15,0,15,38,53,1,0,NaN,NaN,1,2,3,4
16,0,26,93,119,1,0,NaN,NaN,1,2,3,4
17,0,35,156,191,1,0,NaN,NaN,1,2,3,4
18,0,5,37,42,1,0,NaN,NaN,1,2,3,4
19,0,19,47,66,1,0,NaN,NaN,1,2,3,4
20,0,57,87,144,1,0,NaN,NaN,1,2,3,4
21,0,67,60,127,1,0,NaN,NaN,1,2,3,4
22,0,45,69,114,1,0,NaN,NaN,1,2,3,4
23,0,62,100,162,1,0,NaN,NaN,1,2,3,4
24,0,57,85,142,1,0,NaN,NaN,1,2,3,4
25,0,15,69,84,1,0,NaN,NaN,1,2,3,4
26,0,20,72,92,1,0,NaN,NaN,1,2,3,4
27,0,93,193,286,1,0,NaN,NaN,1,2,3,4
28,0,198,258,456,1,0,NaN,NaN,1,2,3,4
29,0,38,94,132,1,0,NaN,NaN,1,2,3,4
30,0,164,245,409,1,0,NaN,NaN,1,2,3,4
31,0,113,140,253,1,0,NaN,NaN,1,2,3,4
32,0,104,173,277,1,0,NaN,NaN,1,2,3,4
33,0,62,111,173,1,0,NaN,NaN,1,2,3,4
34,0,17,84,101,1,0,NaN,NaN,1,2,3,4
