Cell_id,Condition,Replica,Dex_Conc,Time_index,Time_TPL,Nuc_Area,Cyto_Area,Nuc_GR_avg_int,Cyto_GR_avg_int,Nuc_DUSP1_avg_int,Cyto_DUSP1_avg_int,RNA_DUSP1_nuc,RNA_DUSP1_cyto,DUSP1_ts_size_0,DUSP1_ts_size_1,DUSP1_ts_size_2,DUSP1_ts_size_3
0,DUSP1_timesweep,D,0.0,0,,9037,22930.0,,,1274.785,1282.64431,18.0,79.0,,,,
1,DUSP1_timesweep,D,0.0,0,,8239,13579.0,,,1480.39216,1388.03469,90.0,110.0,4.0,,,
2,DUSP1_timesweep,D,0.0,0,,8651,15915.0,,,1251.72477,1292.6585,8.0,68.0,,,,
3,DUSP1_timesweep,D,0.0,0,,8895,13646.0,,,1447.23687,1472.12773,44.0,110.0,,,,
4,DUSP1_timesweep,D,0.0,0,,7593,14932.0,,,1368.53075,1408.795,33.0,110.0,,,,
5,DUSP1_timesweep,D,0.0,0,,9330,10154.0,,,1516.13569,1466.77349,56.0,58.0,4.0,,,
6,DUSP1_timesweep,D,0.0,0,,7686,16099.0,,,1385.97476,1371.30617,44.0,81.0,,,,
7,DUSP1_timesweep,D,0.0,0,,9277,20068.0,,,1462.89975,1438.7339,36.0,73.0,,,,
8,DUSP1_timesweep,D,0.0,0,,7329,19212.0,,,1303.77296,1309.57875,14.0,50.0,,,,
9,DUSP1_timesweep,D,0.0,0,,7895,13261.0,,,1427.65548,1404.87444,40.0,69.0,,,,
10,DUSP1_timesweep,D,0.0,0,,7614,12789.0,,,1302.75978,1277.34944,17.0,26.0,,,,
11,DUSP1_timesweep,D,0.0,0,,9097,19652.0,,,1345.28482,1350.15266,35.0,62.0,,,,
12,DUSP1_timesweep,D,0.0,0,,8363,15000.0,,,1265.5119,1235.1868,19.0,47.0,,,,
13,DUSP1_timesweep,D,0.0,0,,8907,16728.0,,,1383.69036,1395.85228,15.0,46.0,,,,
14,DUSP1_timesweep,D,0.0,0,,7611,12951.0,,,1265.65221,1283.80619,9.0,31.0,,,,
15,DUSP1_timesweep,D,0.0,0,,7557,14488.0,,,1440.3946,1424.68484,36.0,90.0,,,,
16,DUSP1_timesweep,D,0.0,0,,7294,9415.0,,,1376.94297,1316.84397,47.0,51.0,,,,
17,DUSP1_timesweep,D,0.0,0,,7929,12151.0,,,1478.44053,1302.17595,96.0,128.0,110.0,,,
18,DUSP1_timesweep,D,0.0,0,,9156,15621.0,,,1374.1446,1323.74714,29.0,47.0,,,,
19,DUSP1_timesweep,D,0.0,0,,9249,19027.0,,,1374.42264,1375.26515,34.0,69.0,,,,
20,DUSP1_timesweep,D,0.0,0,,8433,13911.0,,,1316.36713,1279.98814,18.0,16.0,,,,
21,DUSP1_timesweep,D,0.0,0,,8106,18612.0,,,1460.9947,1401.76773,34.0,65.0,,,,
22,DUSP1_timesweep,D,0.0,0,,9399,19543.0,,,1378.35834,1326.90237,14.0,28.0,,,,
23,DUSP1_timesweep,D,0.0,0,,8275,9051.0,,,1355.74985,1298.25798,50.0,33.0,,,,
24,DUSP1_timesweep,D,0.0,0,,9048,17798.0,,,1435.55471,1429.33481,55.0,117.0,,,,
25,DUSP1_timesweep,D,0.0,0,,8032,13589.0,,,1464.63197,1417.66672,32.0,45.0,,,,
26,DUSP1_timesweep,D,0.0,0,,8213,10522.0,,,1403.25046,1370.99439,26.0,37.0,,,,
27,DUSP1_timesweep,D,0.0,0,,9420,14696.0,,,1443.49936,1435.55593,60.0,109.0,,,,
28,DUSP1_timesweep,D,0.0,0,,9393,17495.0,,,1356.24071,1356.41086,18.0,56.0,,,,
29,DUSP1_timesweep,D,0.0,0,,8785,12295.0,,,1186.70302,1195.1595,6.0,17.0,,,,
30,DUSP1_timesweep,D,0.0,0,,9360,16632.0,,,1299.26944,1294.52158,16.0,44.0,,,,
31,DUSP1_timesweep,D,0.0,0,,8788,10957.0,,,1473.46302,1414.34791,91.0,84.0,,,,
32,DUSP1_timesweep,D,0.0,0,,7651,15447.0,,,1423.92864,1415.11005,35.0,59.0,,,,
33,DUSP1_timesweep,D,0.0,0,,9219,17673.0,,,1334.66634,1349.38069,10.0,31.0,,,,
34,DUSP1_timesweep,D,0.0,0,,7915,15072.0,,,1412.78395,1419.3681,33.0,47.0,,,,
35,DUSP1_timesweep,D,0.0,0,,8642,12536.0,,,1421.41194,1355.42789,43.0,52.0,,,,
36,DUSP1_timesweep,D,0.0,0,,9523,10736.0,,,1425.20498,1358.9457,41.0,32.0,,,,
37,DUSP1_timesweep,D,0.0,0,,7976,9902.0,,,1342.84416,1291.82034,18.0,28.0,,,,
38,DUSP1_timesweep,D,0.0,0,,9699,19321.0,,,1248.38973,1205.08711,26.0,52.0,,,,
39,DUSP1_timesweep,D,0.0,0,,7426,19490.0,,,1369.18812,1350.62124,40.0,100.0,,,,
40,DUSP1_timesweep,D,0.0,0,,7377,19042.0,,,1408.38728,1386.42301,23.0,62.0,,,,
41,DUSP1_timesweep,D,0.0,0,,8497,21129.0,,,1424.22196,1393.05826,41.0,105.0,,,,
42,DUSP1_timesweep,D,0.0,0,,8851,20462.0,,,1350.7311,1370.75042,16.0,53.0,,,,
43,DUSP1_timesweep,D,0.0,0,,9288,22031.0,,,1403.41451,1391.60528,24.0,54.0,,,,
44,DUSP1_timesweep,D,0.0,0,,8484,20488.0,,,1216.51744,1206.50098,5.0,35.0,,,,
45,DUSP1_timesweep,D,0.0,0,,8381,20873.0,,,1317.168,1328.70675,11.0,31.0,,,,
46,DUSP1_timesweep,D,0.0,0,,9256,11760.0,,,1179.14499,1172.67798,22.0,13.0,,,,
47,DUSP1_timesweep,D,0.0,0,,7344,15562.0,,,1159.65931,1146.6762,12.0,37.0,,,,
