Cell_id,Condition,Replica,Dex_Conc,Time_index,Time_TPL,Nuc_Area,Cyto_Area,Nuc_GR_avg_int,Cyto_GR_avg_int,Nuc_DUSP1_avg_int,Cyto_DUSP1_avg_int,RNA_DUSP1_nuc,RNA_DUSP1_cyto,DUSP1_ts_size_0,DUSP1_ts_size_1,DUSP1_ts_size_2,DUSP1_ts_size_3,tryptCond1,tryptCond2,tryptCond3,tryptCond4,tryptCond5
0,DUSP1_TPL,O,0.0,0,,8020,12034.0,,,1194.82768,1152.04521,34.0,54.0,,,,,1,2,3,4,5
1,DUSP1_TPL,O,0.0,0,,7801,12564.0,,,1211.79259,1155.28868,53.0,51.0,,,,,1,2,3,4,5
2,DUSP1_TPL,O,0.0,0,,7776,10439.0,,,1075.18686,1098.93141,11.0,29.0,,,,,1,2,3,4,5
3,DUSP1_TPL,O,0.0,0,,8254,14287.0,,,1300.99164,1286.17918,38.0,77.0,,,,,1,2,3,4,5
4,DUSP1_TPL,O,0.0,0,,8500,15550.0,,,1172.92047,1160.86495,24.0,76.0,,,,,1,2,3,4,5
5,DUSP1_TPL,O,0.0,0,,7840,17410.0,,,1256.96811,1227.85623,22.0,39.0,,,,,1,2,3,4,5
6,DUSP1_TPL,O,0.0,0,,8552,15994.0,,,1164.08419,1124.73859,13.0,38.0,,,,,1,2,3,4,5
7,DUSP1_TPL,O,0.0,0,,7155,5613.0,,,1118.74689,1151.37805,8.0,19.0,,,,,1,2,3,4,5
8,DUSP1_TPL,O,0.0,0,,8050,14652.0,,,1021.63329,1053.05487,19.0,40.0,,,,,1,2,3,4,5
9,DUSP1_TPL,O,0.0,0,,7411,12622.0,,,1181.53515,1137.35161,18.0,36.0,,,,,1,2,3,4,5
10,DUSP1_TPL,O,0.0,0,,7243,10045.0,,,1290.29311,1262.16755,30.0,57.0,,,,,1,2,3,4,5
11,DUSP1_TPL,O,0.0,0,,7429,11854.0,,,1264.42253,1253.05129,31.0,65.0,,,,,1,2,3,4,5
12,DUSP1_TPL,O,0.0,0,,6964,11144.0,,,1348.27901,1336.24659,33.0,64.0,,,,,1,2,3,4,5
13,DUSP1_TPL,O,0.0,0,,6876,10118.0,,,1366.43543,1274.13234,36.0,33.0,,,,,1,2,3,4,5
14,DUSP1_TPL,O,0.0,0,,8310,9354.0,,,1336.06522,1354.08146,35.0,67.0,,,,,1,2,3,4,5
