Cell_id,Condition,Replica,Dex_Conc,Time_index,Time_TPL,Nuc_Area,Cyto_Area,Nuc_GR_avg_int,Cyto_GR_avg_int,Nuc_DUSP1_avg_int,Cyto_DUSP1_avg_int,RNA_DUSP1_nuc,RNA_DUSP1_cyto,DUSP1_ts_size_0,DUSP1_ts_size_1,DUSP1_ts_size_2,DUSP1_ts_size_3
0,DUSP1_timesweep,J,0.0,0,,8693,12919.0,,,995.11573,946.80509,52.0,48.0,,,,
1,DUSP1_timesweep,J,0.0,0,,8444,17921.0,,,1010.66023,985.80319,25.0,56.0,,,,
2,DUSP1_timesweep,J,0.0,0,,8805,19327.0,,,950.02022,933.03731,19.0,23.0,,,,
3,DUSP1_timesweep,J,0.0,0,,7772,14933.0,,,955.17138,937.74533,8.0,22.0,,,,
4,DUSP1_timesweep,J,0.0,0,,9141,13721.0,,,865.26529,853.6896,5.0,9.0,,,,
5,DUSP1_timesweep,J,0.0,0,,8275,12876.0,,,913.45112,885.80553,29.0,20.0,,,,
6,DUSP1_timesweep,J,0.0,0,,7902,13827.0,,,961.15325,956.91018,27.0,41.0,,,,
7,DUSP1_timesweep,J,0.0,0,,9659,19430.0,,,988.28771,948.39408,38.0,48.0,,,,
8,DUSP1_timesweep,J,0.0,0,,9348,18799.0,,,972.10002,949.31284,26.0,25.0,,,,
9,DUSP1_timesweep,J,0.0,0,,8155,17946.0,,,1026.54298,986.54218,32.0,37.0,,,,
10,DUSP1_timesweep,J,0.0,0,,8466,17673.0,,,932.18084,932.96944,18.0,15.0,,,,
11,DUSP1_timesweep,J,0.0,0,,7506,11050.0,,,979.07021,950.84959,27.0,21.0,4.0,,,
12,DUSP1_timesweep,J,0.0,0,,7775,14453.0,,,949.17723,962.06774,14.0,35.0,,,,
13,DUSP1_timesweep,J,0.0,0,,9173,3387.0,,,979.65529,962.26218,33.0,14.0,,,,
14,DUSP1_timesweep,J,0.0,0,,7528,11412.0,,,984.81044,977.10428,38.0,54.0,,,,
15,DUSP1_timesweep,J,0.0,0,,8764,15010.0,,,870.96006,885.11772,9.0,19.0,,,,
16,DUSP1_timesweep,J,0.0,0,,8216,10458.0,,,809.88328,797.37598,14.0,10.0,,,,
17,DUSP1_timesweep,J,0.0,0,,8752,15222.0,,,947.90619,923.93411,45.0,94.0,,,,
18,DUSP1_timesweep,J,0.0,0,,7531,9406.0,,,874.16479,872.72167,10.0,12.0,,,,
19,DUSP1_timesweep,J,0.0,0,,8476,14041.0,,,1009.24387,984.66441,18.0,20.0,4.0,,,
20,DUSP1_timesweep,J,0.0,0,,9169,21077.0,,,971.11659,963.43365,31.0,64.0,,,,
21,DUSP1_timesweep,J,0.0,0,,8035,17732.0,,,893.05165,878.42979,12.0,18.0,,,,
22,DUSP1_timesweep,J,0.0,0,,8507,11028.0,,,821.00905,823.7053,4.0,10.0,,,,
23,DUSP1_timesweep,J,0.0,0,,8185,14263.0,,,778.13293,759.86721,6.0,5.0,,,,
24,DUSP1_timesweep,J,0.0,0,,8974,13552.0,,,911.14765,888.11297,51.0,32.0,,,,
25,DUSP1_timesweep,J,0.0,0,,8475,14452.0,,,908.77912,847.7702,19.0,28.0,,,,
