Cell_id,Condition,Replica,Dex_Conc,Time_index,Time_TPL,Nuc_Area,Cyto_Area,Nuc_GR_avg_int,Cyto_GR_avg_int,Nuc_DUSP1_avg_int,Cyto_DUSP1_avg_int,RNA_DUSP1_nuc,RNA_DUSP1_cyto,DUSP1_ts_size_0,DUSP1_ts_size_1,DUSP1_ts_size_2,DUSP1_ts_size_3
0,DUSP1_timesweep,G,0.0,0,,9415,17669.0,,,1427.65141,1475.24846,33.0,175.0,,,,
1,DUSP1_timesweep,G,0.0,0,,8665,16234.0,,,1376.68886,1490.74892,30.0,186.0,,,,
2,DUSP1_timesweep,G,0.0,0,,8804,23792.0,,,1219.71263,1267.20952,16.0,93.0,,,,
3,DUSP1_timesweep,G,0.0,0,,8187,16156.0,,,1428.48919,1489.53887,24.0,167.0,,,,
4,DUSP1_timesweep,G,0.0,0,,9385,17383.0,,,1328.64273,1383.38348,17.0,91.0,,,,
5,DUSP1_timesweep,G,0.0,0,,8098,15154.0,,,1330.91788,1362.78646,19.0,62.0,,,,
6,DUSP1_timesweep,G,0.0,0,,9099,12221.0,,,1163.97241,1201.50184,13.0,33.0,,,,
7,DUSP1_timesweep,G,0.0,0,,7841,18707.0,,,1362.33389,1365.13594,15.0,113.0,,,,
8,DUSP1_timesweep,G,0.0,0,,8789,13252.0,,,1459.24599,1482.47404,46.0,148.0,,,,
9,DUSP1_timesweep,G,0.0,0,,8475,17560.0,,,1328.32094,1313.34391,19.0,84.0,,,,
10,DUSP1_timesweep,G,0.0,0,,8747,18891.0,,,1370.11044,1397.23249,33.0,111.0,,,,
11,DUSP1_timesweep,G,0.0,0,,9167,22741.0,,,1277.25548,1250.03527,15.0,74.0,,,,
12,DUSP1_timesweep,G,0.0,0,,8463,21063.0,,,1439.864,1481.37307,27.0,175.0,,,,
13,DUSP1_timesweep,G,0.0,0,,8817,16998.0,,,1363.53317,1362.46511,17.0,79.0,,,,
14,DUSP1_timesweep,G,0.0,0,,8904,20130.0,,,1312.27358,1319.57899,32.0,107.0,,,,
15,DUSP1_timesweep,G,0.0,0,,8609,15176.0,,,1535.80741,1558.42679,77.0,198.0,4.0,,,
16,DUSP1_timesweep,G,0.0,0,,9464,21186.0,,,1377.53487,1412.07024,49.0,196.0,4.0,,,
17,DUSP1_timesweep,G,0.0,0,,8580,19895.0,,,1492.00886,1528.70576,46.0,238.0,,,,
18,DUSP1_timesweep,G,0.0,0,,8124,18383.0,,,1382.06364,1407.47381,27.0,118.0,,,,
19,DUSP1_timesweep,G,0.0,0,,9133,18647.0,,,1288.27067,1316.26948,30.0,86.0,7.0,,,
20,DUSP1_timesweep,G,0.0,0,,7250,14582.0,,,1306.15297,1332.7477,20.0,47.0,,,,
21,DUSP1_timesweep,G,0.0,0,,8800,15813.0,,,1294.30307,1310.20515,28.0,56.0,,,,
22,DUSP1_timesweep,G,0.0,0,,7455,20543.0,,,1248.11147,1238.69226,15.0,58.0,,,,
23,DUSP1_timesweep,G,0.0,0,,8510,23541.0,,,1242.98978,1277.24731,15.0,100.0,,,,
24,DUSP1_timesweep,G,0.0,0,,8022,20613.0,,,1358.4631,1400.52937,17.0,182.0,,,,
25,DUSP1_timesweep,G,0.0,0,,8821,22921.0,,,1396.10656,1419.53907,27.0,128.0,,,,
26,DUSP1_timesweep,G,0.0,0,,8020,16447.0,,,1316.92207,1308.66559,11.0,52.0,,,,
27,DUSP1_timesweep,G,0.0,0,,9091,19271.0,,,1391.72665,1405.67822,48.0,130.0,,,,
28,DUSP1_timesweep,G,0.0,0,,8256,22257.0,,,1246.53973,1242.18286,9.0,39.0,,,,
29,DUSP1_timesweep,G,0.0,0,,7246,11739.0,,,1376.86876,1418.00664,15.0,65.0,,,,
30,DUSP1_timesweep,G,0.0,0,,9045,13590.0,,,1276.2691,1315.06402,4.0,18.0,,,,
31,DUSP1_timesweep,G,0.0,0,,9075,9520.0,,,1215.72606,1258.07668,13.0,22.0,,,,
32,DUSP1_timesweep,G,0.0,0,,9011,19769.0,,,1323.45988,1393.51115,35.0,175.0,,,,
33,DUSP1_timesweep,G,0.0,0,,7557,9920.0,,,1426.31798,1488.45252,43.0,126.0,,,,
34,DUSP1_timesweep,G,0.0,0,,9356,10198.0,,,1281.48012,1331.66876,17.0,43.0,,,,
35,DUSP1_timesweep,G,0.0,0,,8009,13890.0,,,1159.86865,1193.5612,24.0,31.0,,,,
36,DUSP1_timesweep,G,0.0,0,,7693,11257.0,,,1334.25647,1404.56125,19.0,74.0,,,,
37,DUSP1_timesweep,G,0.0,0,,8221,13834.0,,,1371.65941,1438.90979,26.0,128.0,,,,
38,DUSP1_timesweep,G,0.0,0,,7909,13556.0,,,1246.66266,1255.50642,11.0,40.0,,,,
39,DUSP1_timesweep,G,0.0,0,,7616,12790.0,,,1177.12447,1278.48679,26.0,111.0,,,,
40,DUSP1_timesweep,G,0.0,0,,9101,23647.0,,,1286.87562,1235.28202,40.0,100.0,,,,
41,DUSP1_timesweep,G,0.0,0,,9493,12721.0,,,1163.51501,1154.99678,16.0,29.0,,,,
42,DUSP1_timesweep,G,0.0,0,,8561,16578.0,,,1311.07534,1352.45331,21.0,106.0,,,,
43,DUSP1_timesweep,G,0.0,0,,8501,18741.0,,,1361.01847,1429.68379,35.0,179.0,4.0,,,
44,DUSP1_timesweep,G,0.0,0,,8222,10460.0,,,1191.76441,1238.97859,5.0,26.0,,,,
45,DUSP1_timesweep,G,0.0,0,,8456,15257.0,,,1217.96192,1216.23884,16.0,48.0,,,,
46,DUSP1_timesweep,G,0.0,0,,8722,15717.0,,,1313.26026,1362.39575,29.0,114.0,,,,
47,DUSP1_timesweep,G,0.0,0,,9508,17790.0,,,1336.88136,1432.35138,23.0,152.0,,,,
48,DUSP1_timesweep,G,0.0,0,,9229,12982.0,,,1379.60202,1433.88207,51.0,138.0,,,,
49,DUSP1_timesweep,G,0.0,0,,8718,15864.0,,,1385.74375,1458.42574,32.0,123.0,,,,
50,DUSP1_timesweep,G,0.0,0,,9418,16977.0,,,1221.36696,1281.55016,8.0,41.0,,,,
51,DUSP1_timesweep,G,0.0,0,,8696,9917.0,,,1317.97367,1345.99576,10.0,41.0,,,,
52,DUSP1_timesweep,G,0.0,0,,8672,13483.0,,,1138.86335,1210.98272,6.0,18.0,,,,
53,DUSP1_timesweep,G,0.0,0,,7958,12647.0,,,1172.10832,1232.44643,11.0,53.0,,,,
54,DUSP1_timesweep,G,0.0,0,,8277,15392.0,,,1246.08469,1276.4974,35.0,114.0,,,,
55,DUSP1_timesweep,G,0.0,0,,8596,12934.0,,,1326.01954,1442.88263,79.0,207.0,,,,
56,DUSP1_timesweep,G,0.0,0,,8196,11431.0,,,1348.04539,1426.08888,44.0,149.0,,,,
57,DUSP1_timesweep,G,0.0,0,,8947,15850.0,,,1365.12853,1426.23483,48.0,138.0,,,,
58,DUSP1_timesweep,G,0.0,0,,8539,15905.0,,,1272.42616,1283.89582,10.0,42.0,,,,
59,DUSP1_timesweep,G,0.0,0,,8216,15296.0,,,1185.7825,1200.61951,7.0,34.0,,,,
60,DUSP1_timesweep,G,0.0,0,,9524,16335.0,,,1265.376,1298.68026,29.0,79.0,,,,
61,DUSP1_timesweep,G,0.0,0,,7495,11921.0,,,1309.00574,1339.31575,30.0,66.0,,,,
62,DUSP1_timesweep,G,0.0,0,,9694,15700.0,,,1077.36404,1092.09764,5.0,11.0,,,,
63,DUSP1_timesweep,G,0.0,0,,8853,16603.0,,,1194.5719,1233.89201,37.0,104.0,,,,
64,DUSP1_timesweep,G,0.0,0,,7272,14647.0,,,1232.7456,1330.63037,44.0,136.0,,,,
65,DUSP1_timesweep,G,0.0,0,,8397,21751.0,,,1334.4922,1384.26082,34.0,163.0,,,,
66,DUSP1_timesweep,G,0.0,0,,9369,22582.0,,,1212.11036,1277.5697,15.0,78.0,,,,
67,DUSP1_timesweep,G,0.0,0,,8297,20774.0,,,1393.80848,1461.19703,33.0,163.0,,,,
68,DUSP1_timesweep,G,0.0,0,,7828,13112.0,,,1373.16748,1345.61959,29.0,42.0,,,,
69,DUSP1_timesweep,G,0.0,0,,8631,20012.0,,,1201.18329,1236.80337,6.0,40.0,,,,
70,DUSP1_timesweep,G,0.0,0,,8129,17315.0,,,1229.15008,1272.58573,8.0,43.0,,,,
71,DUSP1_timesweep,G,0.0,0,,8515,18477.0,,,1350.78203,1393.92277,16.0,103.0,,,,
72,DUSP1_timesweep,G,0.0,0,,9527,20485.0,,,1272.05983,1351.21909,24.0,84.0,,,,
73,DUSP1_timesweep,G,0.0,0,,7246,12385.0,,,1316.07618,1306.22737,12.0,34.0,,,,
74,DUSP1_timesweep,G,0.0,0,,8281,20526.0,,,1016.97162,1066.13563,4.0,3.0,13.0,,,
75,DUSP1_timesweep,G,0.0,0,,8532,14086.0,,,1211.20054,1112.77545,15.0,16.0,,,,
76,DUSP1_timesweep,G,0.0,0,,7867,20019.0,,,1164.3113,1157.49188,5.0,36.0,,,,
77,DUSP1_timesweep,G,0.0,0,,9529,21699.0,,,1310.48861,1290.44643,20.0,79.0,4.0,,,
78,DUSP1_timesweep,G,0.0,0,,8463,25021.0,,,1276.78695,1269.64038,15.0,52.0,,,,
79,DUSP1_timesweep,G,0.0,0,,8495,12453.0,,,1326.41142,1370.44624,14.0,70.0,,,,
80,DUSP1_timesweep,G,0.0,0,,7999,18626.0,,,1360.27816,1361.8777,11.0,85.0,,,,
81,DUSP1_timesweep,G,0.0,0,,8020,28943.0,,,1196.71658,1189.96269,9.0,38.0,,,,
82,DUSP1_timesweep,G,0.0,0,,8592,18032.0,,,1245.33613,1274.20685,11.0,60.0,,,,
83,DUSP1_timesweep,G,0.0,0,,9591,21566.0,,,1171.73006,1182.6897,9.0,34.0,,,,
