nucGRint,cytoGRint,time,dex_conc,unique_cell_id,normGRcyt,normGRnuc
5316.389643438741,1606.0898820219402,75,10,1313,6,19
5685.455945793024,1814.9120589257657,75,10,1314,8,21
5223.598350419997,1652.6569051312276,75,10,1315,6,18
4930.022936150196,1563.358531955627,75,10,1316,6,17
6090.067181062715,1814.0703230241463,75,10,1317,8,23
5584.843078142898,1843.147790809236,75,10,1320,8,20
4618.032375826875,1589.44253964786,75,10,1321,6,15
5545.835476967162,1823.4332663719704,75,10,1322,8,20
5369.739408354826,1641.0687121108506,75,10,1323,6,19
5972.961499237374,1742.0254021580745,75,10,1324,7,22
5844.061624508888,1662.0476723790196,75,10,1325,7,22
5727.552620303357,1818.582921991053,75,10,1329,8,21
5845.831201048577,1827.1257173656843,75,10,1330,8,22
6059.535939150261,1699.4951558394102,75,10,1333,7,23
5280.056066189381,1621.4500270608614,75,10,1336,6,19
5602.233743536294,1736.3710588202837,75,10,1337,7,20
5363.600457050671,1616.637690298169,75,10,1338,6,19
5694.154342114247,1583.055674905317,75,10,1339,6,21
4975.881951970324,1630.1105528026435,75,10,1340,6,17
4204.583279188929,1541.8925287001086,75,10,1341,5,13
4945.838093427369,1562.0297768027676,75,10,1342,6,17
6335.724590643932,1673.202261685783,75,10,1343,7,24
5777.645542570615,1694.940635240341,75,10,1344,7,21
5580.439596408819,1612.165424455758,75,10,1347,6,20
5231.451242499663,1550.721304363723,75,10,1349,5,18
3683.630773551007,1466.8757900577975,75,10,1350,5,10
4773.676721816543,1554.560391596524,75,10,1351,6,16
5565.255835881998,1632.413646010388,75,10,1352,6,20
6151.631622538962,1747.546187583201,75,10,1353,7,23
5533.054479555709,1642.2602527162949,75,10,1356,6,20
4638.780383918049,1587.71897841102,75,10,1359,6,15
5484.211746987475,1647.138880930212,75,10,1360,6,20
5139.445828032791,1573.029895751675,75,10,1362,6,18
5012.684807758034,1613.1683419396156,75,10,1367,6,17
4638.036985558323,1574.2268956681642,75,10,1370,6,15
4467.41018239132,1544.709089524083,75,10,1371,5,14
5213.781944989992,1631.5828941063062,75,10,1373,6,18
5135.057653161267,1590.2461571697122,75,10,1374,6,18
3587.670707627008,1467.4734685076728,75,10,1378,5,10
5509.530083463426,1669.5043482007904,75,10,1379,7,20
5092.899567348129,1638.785617694806,75,10,1380,6,18
5404.709791285401,1734.8445665378456,75,10,1381,7,19
5371.912610360072,1674.7049532811177,75,10,1383,7,19
4757.244481258359,1666.0672704356357,75,10,1384,7,16
4406.632079971162,1592.8185099805369,75,10,1386,6,14
5690.005077691547,1658.5944253235937,75,10,1387,7,21
4847.2211442241605,1534.3495903472715,75,10,1388,5,16
5809.909077798438,1762.4610971266145,75,10,1389,8,21
5133.874100049352,1572.9352748706656,75,10,1391,6,18
5247.790129790733,1651.1432426217737,75,10,1393,6,18
5535.703199413522,1794.6173106104848,75,10,1395,8,20
3595.075150941396,1495.097496992404,75,10,1396,5,10
3858.6373159569375,1572.8529569175375,75,10,1397,6,11
5532.247382871569,1852.0099453464863,75,10,1400,8,20
6013.075151114038,1691.536438291633,75,10,1401,7,23
5523.508525157207,1726.601892340229,75,10,1402,7,20
5978.2560061977565,1708.344943788648,75,10,1403,7,22
5314.452938206679,1784.8635560521946,75,10,1405,8,19
4749.354338922046,1567.0560961354388,75,10,1407,6,16
5387.384186335654,1665.172880079556,75,10,1408,7,19
4878.075636559468,1560.890298129557,75,10,1409,6,16
4922.291906310438,1551.2450736831454,75,10,1412,6,17
4586.348368418899,1598.444723603788,75,10,1413,6,15
5090.959789216039,1602.2534528137712,75,10,1418,6,18
4807.117906216132,1559.3405790181755,75,10,1420,6,16
4807.7214424735375,1597.6709779139317,75,10,1422,6,16
4924.8937750304185,1618.6344400482833,75,10,1423,6,17
4908.711434151878,1614.0438038945024,75,10,1424,6,17
5357.982657045357,1670.7801475804326,75,10,1425,7,19
4597.31760173778,1688.8177877202895,75,10,1428,7,15
6948.992983583545,1866.876422533613,75,10,1430,9,28
4589.635165882906,1580.8652791438617,75,10,1433,6,15
4707.864381496042,1557.7828659318234,75,10,1439,6,16
4535.366013668488,1592.0342275294852,75,10,1446,6,15
4869.36357847153,1608.6305906695889,75,10,1447,6,16
3392.0104359340294,1395.242114302115,75,10,1448,4,9
5816.2041024857135,1704.1414923154475,75,10,1451,7,21
5136.760653174863,1590.0661772943447,75,10,1452,6,18
4541.946718659742,1448.57970698412,75,10,1455,5,15
4771.375088101752,1453.138397351232,75,10,1458,5,16
4974.77827185091,1505.0969651566163,75,10,1459,5,17
4810.660130214452,1580.2070612560958,75,10,1460,6,16
4621.762079399198,1542.658461464501,75,10,1464,5,15
5112.544429888026,1543.66132218464,75,10,1467,5,18
4615.648889997334,1555.137111314601,75,10,1468,6,15
4372.134183414556,1558.5510911797635,75,10,1469,6,14
5000.172004676396,1522.8626921362136,75,10,1470,5,17
5088.418225412577,1495.8529812238469,75,10,1471,5,18
5581.768164932399,1586.1147044295008,75,10,1473,6,20
4807.260724564046,1625.1989526795703,75,10,1475,6,16
4772.543475678258,1537.4851224619829,75,10,1477,5,16
5222.395374074211,1609.502059481085,75,10,1478,6,18
5168.5934419897,1540.818040419166,75,10,1479,5,18
5613.799680877898,1712.0672059313374,75,10,1481,7,20
5572.782246398401,1518.4428730198763,75,10,1482,5,20
3967.158741324675,1494.0643904126307,75,10,1483,5,12
5193.571523125286,1539.9449292535828,75,10,1486,5,18
4512.4822151455,1539.8049494589789,75,10,1488,5,15
5291.156542221567,1653.373519267736,75,10,1490,6,19
5142.279912419129,1520.076957578242,75,10,1493,5,18
5083.047180914264,1621.6395615231606,75,10,1499,6,18
5439.439850766089,1573.770415669334,75,10,1504,6,19
4418.44910840183,1466.6562050195864,75,10,1505,5,14
4779.34037329335,1542.2845902830325,75,10,1506,5,16
5147.930885421166,1593.150097627661,75,10,1510,6,18
5630.180507397373,1670.9549937707045,75,10,1516,7,20
5012.184633017708,1520.6539599622397,75,10,1517,5,17
4778.458534525078,1587.2749319374464,75,10,1519,6,16
4226.615713756257,1437.4551735086343,75,10,1520,4,13
4917.887171618047,1474.4390385827533,75,10,1523,5,17
4564.868527083632,1496.615451141939,75,10,1524,5,15
5342.824485388886,1561.9694842248707,75,10,1527,6,19
4823.978748456265,1291.048473009169,180,10,1529,3,16
4858.208967752255,1287.9853716884709,180,10,1530,3,16
4650.301722168944,1189.098110815245,180,10,1532,2,15
4685.230812316304,1277.149952344711,180,10,1536,3,15
3712.296481009112,1196.7952057675975,180,10,1537,2,10
3920.9884342730697,1189.830992843058,180,10,1538,2,11
5268.788698701606,1260.9465000771754,180,10,1539,3,19
5833.262415047191,1413.2178255999438,180,10,1541,4,22
5320.246977752804,1311.776788770143,180,10,1542,3,19
4625.795710795723,1253.3573785362714,180,10,1549,3,15
4415.765551397689,1379.6363393696065,180,10,1550,4,14
4221.406117757601,1231.796876143719,180,10,1551,2,13
4774.106233029978,1350.99539796618,180,10,1553,4,16
5157.452417822076,1284.2944402556077,180,10,1554,3,18
5652.696490726063,1287.8143271295978,180,10,1555,3,21
5070.576973268091,1241.4621063400225,180,10,1558,3,17
4963.205141120632,1241.2210616869336,180,10,1559,2,17
5289.264836428338,1428.8222923693966,180,10,1560,4,19
4658.756749668351,1254.6254323676096,180,10,1563,3,15
4419.212319807334,1362.4238544291993,180,10,1564,4,14
3823.573705729598,1260.7811504180097,180,10,1565,3,11
4052.605039648123,1230.8463891448816,180,10,1566,2,12
4049.192726911615,1273.5234126778455,180,10,1567,3,12
4208.593706312937,1254.5006761017016,180,10,1569,3,13
4775.661331952021,1359.9427205557424,180,10,1570,4,16
4272.147330718242,1279.842362677554,180,10,1571,3,13
3986.4341872253503,1252.0660323511634,180,10,1572,3,12
4239.862234165509,1350.305667942946,180,10,1573,4,13
3038.046028329475,1162.7159144250943,180,10,1574,2,7
4057.7665910459336,1237.8560710395589,180,10,1576,2,12
4705.467961317307,1338.2663713282182,180,10,1579,3,16
4768.9783864265255,1367.08820364494,180,10,1580,4,16
5104.967851599896,1273.2522724915175,180,10,1588,3,18
4203.224972443097,1292.5657037186315,180,10,1589,3,13
4066.992756141317,1240.6830104747455,180,10,1591,2,12
3669.735388367807,1204.070323741029,180,10,1593,2,10
5286.421457792803,1335.0934302856892,180,10,1594,3,19
4518.724885835328,1283.4260446603282,180,10,1595,3,15
5039.208301829247,1264.2597744802615,180,10,1596,3,17
4536.40603425689,1263.9126052172226,180,10,1599,3,15
4917.899176352147,1307.40911679201,180,10,1600,3,17
3580.871410673271,1268.051616330042,180,10,1602,3,10
4597.441633025193,1280.486692557478,180,10,1604,3,15
4428.18898435005,1318.2793227234856,180,10,1606,3,14
3379.8401065623,1182.3590382766174,180,10,1609,2,8
3305.676345225708,1223.6416631185932,180,10,1610,2,8
3754.143673339476,1290.4119448259244,180,10,1615,3,10
4548.8166041553895,1258.9932681968871,180,10,1618,3,15
4604.740565707337,1297.5767000903863,180,10,1619,3,15
4440.164014506026,1254.1214505984674,180,10,1620,3,14
4781.955200060416,1250.81953631403,180,10,1623,3,16
4249.303057975814,1261.65347520703,180,10,1624,3,13
4767.457426117087,1229.7154083426797,180,10,1626,2,16
3773.693803469267,1242.9513357229232,180,10,1627,3,11
4630.909037774597,1365.556623663761,180,10,1632,4,15
4564.070122541568,1374.4278134821643,180,10,1636,4,15
4105.370431212809,1327.9073646872168,180,10,1637,3,12
5224.077179527181,1336.874910219783,180,10,1640,3,18
4934.544875155116,1333.9396147478765,180,10,1642,3,17
4365.026266457723,1297.6844239530485,180,10,1644,3,14
3460.994266821923,1204.528061744979,180,10,1647,2,9
5622.180109349001,1377.949248987822,180,10,1648,4,20
4751.395291715684,1346.8076999468144,180,10,1649,4,16
5060.90744046963,1311.985319607153,180,10,1652,3,17
5383.113387444335,1320.9011313629524,180,10,1654,3,19
