Cell_id,Condition,Replica,Dex_Conc,Time_index,Time_TPL,Nuc_Area,Cyto_Area,Nuc_GR_avg_int,Cyto_GR_avg_int,Nuc_DUSP1_avg_int,Cyto_DUSP1_avg_int,RNA_DUSP1_nuc,RNA_DUSP1_cyto,DUSP1_ts_size_0,DUSP1_ts_size_1,DUSP1_ts_size_2,DUSP1_ts_size_3,normgrnuc,normgrcyt
0,GR_timesweep,A,0,0,NaN,11195,22792.2299699938,2782.14846,2299.46914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,13
1,GR_timesweep,A,0,0,NaN,10701,21534.6499692398,3302.90608,2295.43804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,13
2,GR_timesweep,A,0,0,NaN,6103,11849.3000248108,2112.34803,2132.71789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,12
3,GR_timesweep,A,0,0,NaN,10530,21109.1438958159,2670.97683,2657.24309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,17
4,GR_timesweep,A,0,0,NaN,10109,20083.0539180885,2790.7707,1858.67306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,9
5,GR_timesweep,A,0,0,NaN,11373,23255.685237748,2930.98839,2816.81046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,18
6,GR_timesweep,A,0,0,NaN,9998,19817.6114882998,2572.85177,2574.11015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,16
7,GR_timesweep,A,0,0,NaN,10827,21851.4091191454,2380.2055,2181.74098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,12
8,GR_timesweep,A,0,0,NaN,11764,24292.9176615283,3658.69458,3237.88155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,23
9,GR_timesweep,A,0,0,NaN,8033,15470.4836998935,2278.97261,2367.86381,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,14
10,GR_timesweep,A,0,0,NaN,7237,13899.1080352251,2320.31242,2328.41517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,14
11,GR_timesweep,A,0,0,NaN,5852,11425.5848523824,2282.68096,2464.1833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,15
12,GR_timesweep,A,0,0,NaN,7988,15378.7341872433,1969.78305,1888.22189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,9
13,GR_timesweep,A,0,0,NaN,7829,15057.3507975476,1897.38421,2100.54048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,11
14,GR_timesweep,A,0,0,NaN,11079,22493.14505995,2810.94332,2841.70783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,19
15,GR_timesweep,A,0,0,NaN,7117,13671.6999212895,1923.36111,2136.48018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,12
16,GR_timesweep,A,0,0,NaN,4926,9956.42137525063,1750.63683,1982.23438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,10
17,GR_timesweep,A,0,0,NaN,11513,23624.0413132883,2638.36437,2640.88371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,17
18,GR_timesweep,A,0,0,NaN,9431,18494.8669116122,2557.33941,2447.89135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,15
19,GR_timesweep,A,0,0,NaN,3140,7540.66336298503,2597.94427,2574.95139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,16
20,GR_timesweep,A,0,0,NaN,9494,18639.0993175797,2033.12123,2169.1641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,12
21,GR_timesweep,A,0,0,NaN,10498,21030.0774317756,3136.91713,2826.74514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,18
22,GR_timesweep,A,0,0,NaN,9515,18687.3289647724,2370.66726,2821.94118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,18
23,GR_timesweep,A,0,0,NaN,9632,18957.4298985974,2562.50716,2498.16938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,15
24,GR_timesweep,A,0,0,NaN,4918,9944.37342026936,1877.91175,2081.56568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,11
25,GR_timesweep,A,0,0,NaN,8606,16669.3098925047,2460.41041,2367.3536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,14
26,GR_timesweep,A,0,0,NaN,7853,15105.5819862806,2282.5794,2447.88016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,15
27,GR_timesweep,A,0,0,NaN,7868,15135.7769466107,1997.3926,2217.14564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,12
28,GR_timesweep,A,0,0,NaN,8853,17203.5543182968,2528.17237,2456.82673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,15
29,GR_timesweep,A,0,0,NaN,7923,15246.8239368499,2951.64256,2516.52262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,15
30,GR_timesweep,A,0,0,NaN,9461,18563.4636033702,2488.50185,2516.31144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,15
31,GR_timesweep,A,0,0,NaN,7048,13542.0652899601,2767.32562,2696.50041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,17
32,GR_timesweep,A,0,0,NaN,7858,15115.6426596067,2575.11835,2469.62107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,15
33,GR_timesweep,A,0,0,NaN,6022,11711.3753317259,2857.26519,3155.59354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,22
34,GR_timesweep,A,0,0,NaN,6077,11804.9045364176,2777.57331,2655.80491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,17
35,GR_timesweep,A,0,0,NaN,9336,18278.6684988942,3531.91045,3462.53176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,25
36,GR_timesweep,A,0,0,NaN,7282,13985.026625364,3060.82546,2989.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,20
37,GR_timesweep,A,0,0,NaN,6725,12946.1479515221,2324.64164,2903.36461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,19
