Cell_id,Condition,Replica,Dex_Conc,Time_index,Time_TPL,Nuc_Area,Cyto_Area,Nuc_GR_avg_int,Cyto_GR_avg_int,Nuc_DUSP1_avg_int_round,Nuc_DUSP1_avg_int,Cyto_DUSP1_avg_int,RNA_DUSP1_nuc,RNA_DUSP1_cyto,DUSP1_ts_size_0,DUSP1_ts_size_1,DUSP1_ts_size_2,DUSP1_ts_size_3
0,DUSP1_timesweep,D,0,0,,8239,13579,,,1481,1480.39216,1388.03469,90,110,4,,,
1,DUSP1_timesweep,D,0,0,,8651,15915,,,1252,1251.72477,1292.6585,8,68,,,,
2,DUSP1_timesweep,D,0,0,,8895,13646,,,1448,1447.23687,1472.12773,44,110,,,,
3,DUSP1_timesweep,D,0,0,,7593,14932,,,1369,1368.53075,1408.795,33,110,,,,
4,DUSP1_timesweep,D,0,0,,10156,20646,,,1475,1474.01881,1424.44842,54,102,,,,
5,DUSP1_timesweep,D,0,0,,9719,19230,,,1309,1308.48853,1311.05902,15,44,,,,
6,DUSP1_timesweep,D,0,0,,10293,18664,,,1256,1255.16166,1199.37854,19,33,30,,,
7,DUSP1_timesweep,D,0,0,,9860,19501,,,1504,1503.12008,1422.14722,92,141,,,,
8,DUSP1_timesweep,D,0,0,,9783,15241,,,1470,1469.70316,1469.42261,48,134,,,,
9,DUSP1_timesweep,D,0,0,,7686,16099,,,1386,1385.97476,1371.30617,44,81,,,,
10,DUSP1_timesweep,D,0,0,,9277,20068,,,1463,1462.89975,1438.7339,36,73,,,,
11,DUSP1_timesweep,D,0,0,,7329,19212,,,1304,1303.77296,1309.57875,14,50,,,,
12,DUSP1_timesweep,D,0,0,,7895,13261,,,1428,1427.65548,1404.87444,40,69,,,,
13,DUSP1_timesweep,D,0,0,,7614,12789,,,1303,1302.75978,1277.34944,17,26,,,,
14,DUSP1_timesweep,D,0,0,,9097,19652,,,1346,1345.28482,1350.15266,35,62,,,,
15,DUSP1_timesweep,D,0,0,,8363,15000,,,1266,1265.5119,1235.1868,19,47,,,,
16,DUSP1_timesweep,D,0,0,,8907,16728,,,1384,1383.69036,1395.85228,15,46,,,,
17,DUSP1_timesweep,D,0,0,,7611,12951,,,1266,1265.65221,1283.80619,9,31,,,,
18,DUSP1_timesweep,D,0,0,,7557,14488,,,1441,1440.3946,1424.68484,36,90,,,,
19,DUSP1_timesweep,D,0,0,,7929,12151,,,1479,1478.44053,1302.17595,96,128,110,,,
20,DUSP1_timesweep,D,0,0,,3653,15943,,,1074,1073.64139,1085.58471,1,13,,,,
21,DUSP1_timesweep,D,0,0,,9156,15621,,,1375,1374.1446,1323.74714,29,47,,,,
22,DUSP1_timesweep,D,0,0,,9249,19027,,,1375,1374.42264,1375.26515,34,69,,,,
23,DUSP1_timesweep,D,0,0,,8433,13911,,,1317,1316.36713,1279.98814,18,16,,,,
24,DUSP1_timesweep,D,0,0,,8106,18612,,,1461,1460.9947,1401.76773,34,65,,,,
25,DUSP1_timesweep,D,0,0,,10289,20777,,,1416,1415.67431,1425.03239,18,81,,,,
26,DUSP1_timesweep,D,0,0,,9399,19543,,,1379,1378.35834,1326.90237,14,28,,,,
27,DUSP1_timesweep,D,0,0,,9783,16227,,,1397,1396.52213,1352.47168,52,50,,,,
28,DUSP1_timesweep,D,0,0,,9048,17798,,,1436,1435.55471,1429.33481,55,117,,,,
29,DUSP1_timesweep,D,0,0,,8032,13589,,,1465,1464.63197,1417.66672,32,45,,,,
30,DUSP1_timesweep,D,0,0,,9420,14696,,,1444,1443.49936,1435.55593,60,109,,,,
31,DUSP1_timesweep,D,0,0,,9393,17495,,,1357,1356.24071,1356.41086,18,56,,,,
32,DUSP1_timesweep,D,0,0,,10500,19716,,,1351,1350.12,1338.31898,34,49,,,,
33,DUSP1_timesweep,D,0,0,,9892,17164,,,1311,1310.55156,1266.1206,29,42,,,,
34,DUSP1_timesweep,D,0,0,,8785,12295,,,1187,1186.70302,1195.1595,6,17,,,,
35,DUSP1_timesweep,D,0,0,,6877,13709,,,1201,1200.06893,1187.18929,16,28,,,,
36,DUSP1_timesweep,D,0,0,,9360,16632,,,1300,1299.26944,1294.52158,16,44,,,,
37,DUSP1_timesweep,D,0,0,,10871,20172,,,1322,1321.63619,1266.54913,34,61,,,,
38,DUSP1_timesweep,D,0,0,,7651,15447,,,1424,1423.92864,1415.11005,35,59,,,,
39,DUSP1_timesweep,D,0,0,,9219,17673,,,1335,1334.66634,1349.38069,10,31,,,,
40,DUSP1_timesweep,D,0,0,,7915,15072,,,1413,1412.78395,1419.3681,33,47,,,,
41,DUSP1_timesweep,D,0,0,,8642,12536,,,1422,1421.41194,1355.42789,43,52,,,,
