Cell_id,Condition,Replica,Dex_Conc,Time_index,Time_TPL,Nuc_Area,Cyto_Area,Nuc_GR_avg_int,Cyto_GR_avg_int,Nuc_DUSP1_avg_int,Cyto_DUSP1_avg_int,RNA_DUSP1_nuc,RNA_DUSP1_cyto,DUSP1_ts_size_0,DUSP1_ts_size_1,DUSP1_ts_size_2,DUSP1_ts_size_3
0,DUSP1_timesweep,J,0.0,0,,6811,15146.0,,,919.50418,904.31982,25.0,39.0,,,,
1,DUSP1_timesweep,J,0.0,0,,8693,12919.0,,,995.11573,946.80509,52.0,48.0,,,,
2,DUSP1_timesweep,J,0.0,0,,4234,14510.0,,,986.51275,967.38684,16.0,26.0,,,,
3,DUSP1_timesweep,J,0.0,0,,7113,13222.0,,,888.75186,891.15081,14.0,19.0,,,,
4,DUSP1_timesweep,J,0.0,0,,8444,17921.0,,,1010.66023,985.80319,25.0,56.0,,,,
5,DUSP1_timesweep,J,0.0,0,,8805,19327.0,,,950.02022,933.03731,19.0,23.0,,,,
6,DUSP1_timesweep,J,0.0,0,,7772,14933.0,,,955.17138,937.74533,8.0,22.0,,,,
7,DUSP1_timesweep,J,0.0,0,,9141,13721.0,,,865.26529,853.6896,5.0,9.0,,,,
8,DUSP1_timesweep,J,0.0,0,,3629,13925.0,,,750.814,763.25228,8.0,31.0,,,,
9,DUSP1_timesweep,J,0.0,0,,4258,12335.0,,,955.94974,905.15201,25.0,35.0,,,,
10,DUSP1_timesweep,J,0.0,0,,8275,12876.0,,,913.45112,885.80553,29.0,20.0,,,,
11,DUSP1_timesweep,J,0.0,0,,4130,12552.0,,,838.30242,849.35883,6.0,9.0,,,,
12,DUSP1_timesweep,J,0.0,0,,7902,13827.0,,,961.15325,956.91018,27.0,41.0,,,,
13,DUSP1_timesweep,J,0.0,0,,9659,19430.0,,,988.28771,948.39408,38.0,48.0,,,,
14,DUSP1_timesweep,J,0.0,0,,9348,18799.0,,,972.10002,949.31284,26.0,25.0,,,,
15,DUSP1_timesweep,J,0.0,0,,5343,16874.0,,,960.96144,941.80953,6.0,17.0,,,,
16,DUSP1_timesweep,J,0.0,0,,9753,20409.0,,,884.30022,853.89416,31.0,39.0,,,,
17,DUSP1_timesweep,J,0.0,0,,8155,17946.0,,,1026.54298,986.54218,32.0,37.0,,,,
18,DUSP1_timesweep,J,0.0,0,,6902,14765.0,,,880.53028,865.2405,21.0,24.0,,,,
19,DUSP1_timesweep,J,0.0,0,,8466,17673.0,,,932.18084,932.96944,18.0,15.0,,,,
20,DUSP1_timesweep,J,0.0,0,,5377,13293.0,,,912.11661,874.86023,13.0,13.0,,,,
21,DUSP1_timesweep,J,0.0,0,,6394,12533.0,,,803.26853,783.69624,5.0,26.0,,,,
22,DUSP1_timesweep,J,0.0,0,,2898,15393.0,,,830.25742,808.56051,24.0,53.0,,,,
23,DUSP1_timesweep,J,0.0,0,,7775,14453.0,,,949.17723,962.06774,14.0,35.0,,,,
