Cell_id,Condition,Replica,Dex_Conc,Time_index,Time_TPL,Nuc_Area,Cyto_Area,Nuc_GR_avg_int,Cyto_GR_avg_int,Nuc_DUSP1_avg_int,Cyto_DUSP1_avg_int,RNA_DUSP1_nuc,RNA_DUSP1_cyto,DUSP1_ts_size_0,DUSP1_ts_size_1,DUSP1_ts_size_2,DUSP1_ts_size_3
0,DUSP1_timesweep,G,0.0,0,,9415,17669.0,,,1427.65141,1475.24846,33.0,175.0,,,,
1,DUSP1_timesweep,G,0.0,0,,8665,16234.0,,,1376.68886,1490.74892,30.0,186.0,,,,
2,DUSP1_timesweep,G,0.0,0,,6555,18205.0,,,1153.44653,1152.9822,2.0,9.0,,,,
3,DUSP1_timesweep,G,0.0,0,,8187,16156.0,,,1428.48919,1489.53887,24.0,167.0,,,,
4,DUSP1_timesweep,G,0.0,0,,9385,17383.0,,,1328.64273,1383.38348,17.0,91.0,,,,
5,DUSP1_timesweep,G,0.0,0,,10061,17225.0,,,1133.2289,1163.69231,3.0,23.0,,,,
6,DUSP1_timesweep,G,0.0,0,,8098,15154.0,,,1330.91788,1362.78646,19.0,62.0,,,,
7,DUSP1_timesweep,G,0.0,0,,9099,12221.0,,,1163.97241,1201.50184,13.0,33.0,,,,
8,DUSP1_timesweep,G,0.0,0,,7841,18707.0,,,1362.33389,1365.13594,15.0,113.0,,,,
9,DUSP1_timesweep,G,0.0,0,,8789,13252.0,,,1459.24599,1482.47404,46.0,148.0,,,,
10,DUSP1_timesweep,G,0.0,0,,8475,17560.0,,,1328.32094,1313.34391,19.0,84.0,,,,
11,DUSP1_timesweep,G,0.0,0,,8747,18891.0,,,1370.11044,1397.23249,33.0,111.0,,,,
12,DUSP1_timesweep,G,0.0,0,,8817,16998.0,,,1363.53317,1362.46511,17.0,79.0,,,,
13,DUSP1_timesweep,G,0.0,0,,8904,20130.0,,,1312.27358,1319.57899,32.0,107.0,,,,
14,DUSP1_timesweep,G,0.0,0,,8609,15176.0,,,1535.80741,1558.42679,77.0,198.0,4.0,,,
15,DUSP1_timesweep,G,0.0,0,,8580,19895.0,,,1492.00886,1528.70576,46.0,238.0,,,,
16,DUSP1_timesweep,G,0.0,0,,8124,18383.0,,,1382.06364,1407.47381,27.0,118.0,,,,
17,DUSP1_timesweep,G,0.0,0,,9133,18647.0,,,1288.27067,1316.26948,30.0,86.0,7.0,,,
18,DUSP1_timesweep,G,0.0,0,,7250,14582.0,,,1306.15297,1332.7477,20.0,47.0,,,,
19,DUSP1_timesweep,G,0.0,0,,8800,15813.0,,,1294.30307,1310.20515,28.0,56.0,,,,
20,DUSP1_timesweep,G,0.0,0,,7455,20543.0,,,1248.11147,1238.69226,15.0,58.0,,,,
21,DUSP1_timesweep,G,0.0,0,,7037,13353.0,,,1351.1657,1334.09219,28.0,62.0,,,,
22,DUSP1_timesweep,G,0.0,0,,8022,20613.0,,,1358.4631,1400.52937,17.0,182.0,,,,
23,DUSP1_timesweep,G,0.0,0,,8020,16447.0,,,1316.92207,1308.66559,11.0,52.0,,,,
24,DUSP1_timesweep,G,0.0,0,,9091,19271.0,,,1391.72665,1405.67822,48.0,130.0,,,,
25,DUSP1_timesweep,G,0.0,0,,9905,18472.0,,,1190.02605,1196.31047,18.0,78.0,,,,
26,DUSP1_timesweep,G,0.0,0,,10227,15121.0,,,1307.06366,1400.64447,37.0,131.0,,,,
27,DUSP1_timesweep,G,0.0,0,,9816,16407.0,,,1361.68409,1470.25891,35.0,144.0,,,,
28,DUSP1_timesweep,G,0.0,0,,9045,13590.0,,,1276.2691,1315.06402,4.0,18.0,,,,
29,DUSP1_timesweep,G,0.0,0,,11294,18929.0,,,1235.79325,1278.94004,10.0,42.0,,,,
30,DUSP1_timesweep,G,0.0,0,,10603,17743.0,,,1301.27049,1347.88982,28.0,79.0,,,,
31,DUSP1_timesweep,G,0.0,0,,10117,19857.0,,,1218.803,1285.02035,16.0,79.0,,,,
32,DUSP1_timesweep,G,0.0,0,,9011,19769.0,,,1323.45988,1393.51115,35.0,175.0,,,,
33,DUSP1_timesweep,G,0.0,0,,10173,17145.0,,,1398.97906,1422.16483,41.0,142.0,,,,
34,DUSP1_timesweep,G,0.0,0,,6874,13013.0,,,1461.00145,1487.76938,50.0,125.0,,,,
35,DUSP1_timesweep,G,0.0,0,,8009,13890.0,,,1159.86865,1193.5612,24.0,31.0,,,,
36,DUSP1_timesweep,G,0.0,0,,8221,13834.0,,,1371.65941,1438.90979,26.0,128.0,,,,
37,DUSP1_timesweep,G,0.0,0,,7909,13556.0,,,1246.66266,1255.50642,11.0,40.0,,,,
38,DUSP1_timesweep,G,0.0,0,,9780,15453.0,,,1196.51595,1203.83563,13.0,35.0,,,,
39,DUSP1_timesweep,G,0.0,0,,7616,12790.0,,,1177.12447,1278.48679,26.0,111.0,,,,
40,DUSP1_timesweep,G,0.0,0,,9493,12721.0,,,1163.51501,1154.99678,16.0,29.0,,,,
41,DUSP1_timesweep,G,0.0,0,,8561,16578.0,,,1311.07534,1352.45331,21.0,106.0,,,,
42,DUSP1_timesweep,G,0.0,0,,5600,12443.0,,,1079.08357,1165.81066,16.0,24.0,,,,
43,DUSP1_timesweep,G,0.0,0,,8501,18741.0,,,1361.01847,1429.68379,35.0,179.0,4.0,,,
44,DUSP1_timesweep,G,0.0,0,,9749,20050.0,,,1296.5138,1333.47756,12.0,76.0,,,,
45,DUSP1_timesweep,G,0.0,0,,8456,15257.0,,,1217.96192,1216.23884,16.0,48.0,,,,
46,DUSP1_timesweep,G,0.0,0,,8722,15717.0,,,1313.26026,1362.39575,29.0,114.0,,,,
47,DUSP1_timesweep,G,0.0,0,,9508,17790.0,,,1336.88136,1432.35138,23.0,152.0,,,,
48,DUSP1_timesweep,G,0.0,0,,9229,12982.0,,,1379.60202,1433.88207,51.0,138.0,,,,
49,DUSP1_timesweep,G,0.0,0,,8718,15864.0,,,1385.74375,1458.42574,32.0,123.0,,,,
50,DUSP1_timesweep,G,0.0,0,,10366,15479.0,,,1364.76925,1430.56237,42.0,149.0,,,,
51,DUSP1_timesweep,G,0.0,0,,9418,16977.0,,,1221.36696,1281.55016,8.0,41.0,,,,
52,DUSP1_timesweep,G,0.0,0,,7196,16258.0,,,1099.35881,1121.77051,7.0,10.0,,,,
53,DUSP1_timesweep,G,0.0,0,,8672,13483.0,,,1138.86335,1210.98272,6.0,18.0,,,,
54,DUSP1_timesweep,G,0.0,0,,7958,12647.0,,,1172.10832,1232.44643,11.0,53.0,,,,
55,DUSP1_timesweep,G,0.0,0,,8277,15392.0,,,1246.08469,1276.4974,35.0,114.0,,,,
56,DUSP1_timesweep,G,0.0,0,,8596,12934.0,,,1326.01954,1442.88263,79.0,207.0,,,,
57,DUSP1_timesweep,G,0.0,0,,10423,18112.0,,,1234.57594,1271.21223,57.0,131.0,,,,
58,DUSP1_timesweep,G,0.0,0,,8947,15850.0,,,1365.12853,1426.23483,48.0,138.0,,,,
59,DUSP1_timesweep,G,0.0,0,,8539,15905.0,,,1272.42616,1283.89582,10.0,42.0,,,,
60,DUSP1_timesweep,G,0.0,0,,8216,15296.0,,,1185.7825,1200.61951,7.0,34.0,,,,
61,DUSP1_timesweep,G,0.0,0,,9869,19490.0,,,1354.44837,1389.54233,39.0,141.0,,,,
62,DUSP1_timesweep,G,0.0,0,,9524,16335.0,,,1265.376,1298.68026,29.0,79.0,,,,
63,DUSP1_timesweep,G,0.0,0,,10782,20589.0,,,1270.25422,1337.38982,54.0,127.0,,,,
64,DUSP1_timesweep,G,0.0,0,,9694,15700.0,,,1077.36404,1092.09764,5.0,11.0,,,,
65,DUSP1_timesweep,G,0.0,0,,8853,16603.0,,,1194.5719,1233.89201,37.0,104.0,,,,
66,DUSP1_timesweep,G,0.0,0,,7272,14647.0,,,1232.7456,1330.63037,44.0,136.0,,,,
67,DUSP1_timesweep,G,0.0,0,,10369,15025.0,,,1212.08795,1247.61631,13.0,43.0,,,,
68,DUSP1_timesweep,G,0.0,0,,8297,20774.0,,,1393.80848,1461.19703,33.0,163.0,,,,
69,DUSP1_timesweep,G,0.0,0,,7828,13112.0,,,1373.16748,1345.61959,29.0,42.0,,,,
70,DUSP1_timesweep,G,0.0,0,,8631,20012.0,,,1201.18329,1236.80337,6.0,40.0,,,,
71,DUSP1_timesweep,G,0.0,0,,10495,19161.0,,,1348.95465,1432.80205,21.0,162.0,,,,
72,DUSP1_timesweep,G,0.0,0,,2141,13630.0,,,1274.31154,1322.54952,4.0,47.0,,,,
73,DUSP1_timesweep,G,0.0,0,,8129,17315.0,,,1229.15008,1272.58573,8.0,43.0,,,,
74,DUSP1_timesweep,G,0.0,0,,6897,14849.0,,,1215.04466,1286.71203,6.0,46.0,,,,
75,DUSP1_timesweep,G,0.0,0,,10203,20109.0,,,1206.85093,1259.35606,23.0,90.0,,,,
76,DUSP1_timesweep,G,0.0,0,,5278,15750.0,,,1345.26923,1329.66438,7.0,45.0,,,,
77,DUSP1_timesweep,G,0.0,0,,8515,18477.0,,,1350.78203,1393.92277,16.0,103.0,,,,
78,DUSP1_timesweep,G,0.0,0,,9527,20485.0,,,1272.05983,1351.21909,24.0,84.0,,,,
79,DUSP1_timesweep,G,0.0,0,,10229,20192.0,,,1325.88581,1391.42982,15.0,106.0,,,,
80,DUSP1_timesweep,G,0.0,0,,7246,12385.0,,,1316.07618,1306.22737,12.0,34.0,,,,
81,DUSP1_timesweep,G,0.0,0,,10436,20540.0,,,1280.03689,1306.55078,21.0,63.0,,,,
82,DUSP1_timesweep,G,0.0,0,,8281,20526.0,,,1016.97162,1066.13563,4.0,3.0,13.0,,,
83,DUSP1_timesweep,G,0.0,0,,7148,13624.0,,,1108.61276,1152.60548,2.0,8.0,,,,
