Cell_id,Condition,Replica,Dex_Conc,Time_index,Time_TPL,Nuc_Area,Cyto_Area,Nuc_GR_avg_int,Cyto_GR_avg_int,Nuc_DUSP1_avg_int,Cyto_DUSP1_avg_int,RNA_DUSP1_nuc,RNA_DUSP1_cyto,DUSP1_ts_size_0,DUSP1_ts_size_1,DUSP1_ts_size_2,DUSP1_ts_size_3,Nuc_DUSP1_avg_int_tot
0,DUSP1_timesweep,G,10000,75,NaN,9336,15269,NaN,NaN,1254.14117,1304.94793,126,204,7,4,NaN,NaN,261
1,DUSP1_timesweep,G,10000,75,NaN,8511,20162,NaN,NaN,1190.76524,1263.55659,22,142,NaN,NaN,NaN,NaN,248
2,DUSP1_timesweep,G,10000,75,NaN,9043,19592,NaN,NaN,1293.09864,1322.99025,40,164,NaN,NaN,NaN,NaN,269
4,DUSP1_timesweep,G,10000,75,NaN,8476,13786,NaN,NaN,1359.72168,1471.03808,72,220,NaN,NaN,NaN,NaN,283
8,DUSP1_timesweep,G,10000,75,NaN,9416,13620,NaN,NaN,1235.46994,1211.05881,115,131,4,NaN,NaN,NaN,257
9,DUSP1_timesweep,G,10000,75,NaN,8239,17257,NaN,NaN,1410.41279,1429.92762,112,192,NaN,NaN,NaN,NaN,293
10,DUSP1_timesweep,G,10000,75,NaN,8707,21219,NaN,NaN,1441.87814,1443.33512,148,410,5,NaN,NaN,NaN,300
12,DUSP1_timesweep,G,10000,75,NaN,8779,17483,NaN,NaN,1274.47625,1288.31396,62,116,NaN,NaN,NaN,NaN,265
13,DUSP1_timesweep,G,10000,75,NaN,8170,17110,NaN,NaN,1102.00147,1171.09492,39,94,NaN,NaN,NaN,NaN,229
18,DUSP1_timesweep,G,10000,75,NaN,8451,21655,NaN,NaN,1322.48894,1317.08797,76,208,NaN,NaN,NaN,NaN,275
27,DUSP1_timesweep,G,10000,75,NaN,9512,20020,NaN,NaN,1223.90402,1280.15559,52,169,NaN,NaN,NaN,NaN,254
29,DUSP1_timesweep,G,10000,75,NaN,7524,16279,NaN,NaN,1206.9168,1199.50667,98,228,NaN,NaN,NaN,NaN,251
35,DUSP1_timesweep,G,10000,75,NaN,8323,22266,NaN,NaN,1377.17374,1372.21293,82,215,NaN,NaN,NaN,NaN,286
36,DUSP1_timesweep,G,10000,75,NaN,8696,24470,NaN,NaN,1287.47999,1306.56265,122,289,7,NaN,NaN,NaN,268
37,DUSP1_timesweep,G,10000,75,NaN,7445,12885,NaN,NaN,1376.47737,1448.91727,51,169,NaN,NaN,NaN,NaN,286
38,DUSP1_timesweep,G,10000,75,NaN,7936,16240,NaN,NaN,1476.61631,1470.49834,102,238,NaN,NaN,NaN,NaN,307
40,DUSP1_timesweep,G,10000,75,NaN,8019,15583,NaN,NaN,1287.09652,1308.33658,23,79,NaN,NaN,NaN,NaN,268
41,DUSP1_timesweep,G,10000,75,NaN,9331,17817,NaN,NaN,1349.3139,1378.23915,44,147,NaN,NaN,NaN,NaN,281
43,DUSP1_timesweep,G,10000,75,NaN,9212,18704,NaN,NaN,1253.44366,1277.07282,83,212,NaN,NaN,NaN,NaN,261
47,DUSP1_timesweep,G,10000,75,NaN,7000,10781,NaN,NaN,1233.26743,1322.00723,79,192,4,NaN,NaN,NaN,256
49,DUSP1_timesweep,G,10000,75,NaN,8900,13843,NaN,NaN,1328.76652,1432.09355,69,238,5,NaN,NaN,NaN,276
