Cell_id,time,Dex_Conc,normgrnuc,normgrcyt
0,0,0,7,13
1,0,0,10,13
2,0,0,3,12
3,0,0,6,17
4,0,0,7,9
5,0,0,8,18
6,0,0,5,16
7,0,0,4,12
8,0,0,12,23
9,0,0,4,14
10,0,0,4,14
11,0,0,4,15
12,0,0,2,9
13,0,0,2,11
14,0,0,7,19
15,0,0,2,12
16,0,0,1,10
17,0,0,6,17
18,0,0,5,15
19,0,0,6,16
20,0,0,2,12
21,0,0,9,18
22,0,0,4,18
23,0,0,5,15
24,0,0,1,11
25,0,0,5,14
26,0,0,4,15
27,0,0,2,12
28,0,0,5,15
29,0,0,8,15
30,0,0,5,15
31,0,0,7,17
32,0,0,5,15
33,0,0,7,22
34,0,0,7,17
35,0,0,11,25
36,0,0,8,20
37,0,0,4,19
38,0,0,4,19
39,0,0,7,17
40,0,0,9,19
41,0,0,0,8
42,0,0,8,16
43,0,0,3,13
44,0,0,3,14
45,0,0,5,20
46,0,0,2,12
47,0,0,0,8
48,0,0,2,10
49,0,0,9,25
50,0,0,11,28
51,0,0,4,10
52,0,0,8,14
53,0,0,7,16
54,0,0,4,15
55,0,0,13,30
56,0,0,7,16
57,0,0,14,27
58,0,0,12,30
59,0,0,6,24
60,0,0,9,20
61,0,0,6,22
62,0,0,1,10
63,0,0,1,11
64,0,0,8,19
65,0,0,2,12
66,0,0,1,9
67,0,0,9,24
68,0,0,6,18
69,0,0,11,25
70,0,0,6,15
71,0,0,5,20
72,0,0,4,11
73,0,0,9,24
74,0,0,8,17
75,0,0,5,13
76,0,0,5,16
77,0,0,2,13
78,0,0,11,25
79,0,0,6,14
80,0,0,4,13
81,0,0,2,11
82,0,0,5,15
83,0,0,8,22
84,0,0,3,14
85,0,0,7,19
86,0,0,3,14
87,0,0,7,17
88,0,0,2,12
89,0,0,0,8
90,0,0,5,16
91,0,0,3,10
92,0,0,4,13
93,0,0,3,12
94,0,0,7,21
95,0,0,4,16
96,0,0,4,16
97,0,0,3,15
98,0,0,4,17
99,0,0,6,18
100,0,0,8,21
101,0,0,5,15
102,0,0,16,30
103,0,0,6,19
104,0,0,10,27
105,0,0,4,13
106,0,0,5,14
107,0,0,5,14
108,0,0,2,15
109,0,0,8,21
110,0,0,9,20
111,0,0,3,11
112,0,0,4,13
113,0,0,3,10
114,0,0,8,22
115,0,0,5,12
116,0,0,10,20
117,0,0,6,22
118,0,0,5,16
119,0,0,11,27
