Cell_id,Condition,Replica,Dex_Conc,Time_index,Time_TPL,Nuc_Area,Cyto_Area,Nuc_GR_avg_int,Cyto_GR_avg_int,Nuc_DUSP1_avg_int,Cyto_DUSP1_avg_int,RNA_DUSP1_nuc,RNA_DUSP1_cyto,DUSP1_ts_size_0,DUSP1_ts_size_1,DUSP1_ts_size_2,DUSP1_ts_size_3
226,DUSP1_timesweep,D,100,10,NaN,8161,14020,NaN,NaN,1280.50104,1265.93887,26,58,NaN,NaN,NaN,NaN
227,DUSP1_timesweep,D,100,10,NaN,9406,19182,NaN,NaN,1255.5656,1237.53894,24,29,NaN,NaN,NaN,NaN
228,DUSP1_timesweep,D,100,10,NaN,8410,16674,NaN,NaN,1405.09001,1356.71183,47,80,NaN,NaN,NaN,NaN
229,DUSP1_timesweep,D,100,10,NaN,7118,13980,NaN,NaN,1261.68418,1249.54213,32,37,NaN,NaN,NaN,NaN
230,DUSP1_timesweep,D,100,10,NaN,8624,18980,NaN,NaN,1359.17103,1348.49779,26,65,NaN,NaN,NaN,NaN
231,DUSP1_timesweep,D,100,10,NaN,8702,19061,NaN,NaN,1406.68846,1478.84209,24,229,NaN,NaN,NaN,NaN
232,DUSP1_timesweep,D,100,10,NaN,8697,19387,NaN,NaN,1486.62435,1444.72311,50,98,NaN,NaN,NaN,NaN
233,DUSP1_timesweep,D,100,10,NaN,8427,14216,NaN,NaN,1288.26795,1316.55212,25,34,NaN,NaN,NaN,NaN
234,DUSP1_timesweep,D,100,10,NaN,7456,16993,NaN,NaN,1229.06491,1207.66421,11,21,NaN,NaN,NaN,NaN
235,DUSP1_timesweep,D,100,10,NaN,10191,17517,NaN,NaN,1370.98587,1338.94936,24,38,NaN,NaN,NaN,NaN
236,DUSP1_timesweep,D,100,10,NaN,8003,12878,NaN,NaN,1275.72873,1238.86442,8,3,NaN,NaN,NaN,NaN
237,DUSP1_timesweep,D,100,10,NaN,8006,12780,NaN,NaN,1189.95341,1195.09585,11,11,NaN,NaN,NaN,NaN
238,DUSP1_timesweep,D,100,10,NaN,7602,17431,NaN,NaN,1214.57958,1193.64294,14,18,NaN,NaN,NaN,NaN
239,DUSP1_timesweep,D,100,10,NaN,8704,13992,NaN,NaN,1528.72289,1460.76258,47,79,NaN,NaN,NaN,NaN
240,DUSP1_timesweep,D,100,10,NaN,8126,18794,NaN,NaN,1413.34605,1434.19581,31,78,4,NaN,NaN,NaN
241,DUSP1_timesweep,D,100,10,NaN,8172,15008,NaN,NaN,1417.02423,1376.58249,36,54,NaN,NaN,NaN,NaN
242,DUSP1_timesweep,D,100,10,NaN,9053,13478,NaN,NaN,1233.93262,1183.89561,14,7,NaN,NaN,NaN,NaN
243,DUSP1_timesweep,D,100,10,NaN,8020,13567,NaN,NaN,1021.2485,1066.81883,1,2,NaN,NaN,NaN,NaN
244,DUSP1_timesweep,D,100,10,NaN,9638,15763,NaN,NaN,1272.17338,1222.57127,19,30,NaN,NaN,NaN,NaN
245,DUSP1_timesweep,D,100,10,NaN,9049,16561,NaN,NaN,1338.68803,1311.86094,32,78,NaN,NaN,NaN,NaN
246,DUSP1_timesweep,D,100,10,NaN,9959,18413,NaN,NaN,1275.10674,1203.43676,45,71,NaN,NaN,NaN,NaN
247,DUSP1_timesweep,D,100,10,NaN,9721,15048,NaN,NaN,1373.69766,1358.85839,20,45,NaN,NaN,NaN,NaN
248,DUSP1_timesweep,D,100,10,NaN,10211,19172,NaN,NaN,1431.84791,1424.04011,15,59,NaN,NaN,NaN,NaN
