time,exp1_s1,exp1_s2,exp2_s1,exp2_s2,exp3_s1,exp3_s2,exp4_s1,exp4_s2,exp5_s1,exp5_s2,exp6_s1,exp6_s2,exp7_s1,exp7_s2,exp8_s1,exp8_s2,exp9_s1,exp9_s2,exp10_s1,exp10_s2
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
