time,exp1_s1,exp1_s2,exp2_s1,exp2_s2,exp3_s1,exp3_s2,exp4_s1,exp4_s2,exp5_s1,exp5_s2,exp6_s1,exp6_s2,exp7_s1,exp7_s2,exp8_s1,exp8_s2,exp9_s1,exp9_s2,exp10_s1,exp10_s2
0,2,122,1,118,2,84,2,87,3,110,2,118,3,138,2,154,3,137,2,124
0,3,112,3,89,1,46,3,105,3,133,3,113,2,86,1,93,3,91,2,117
0,2,111,3,93,2,74,2,129,3,114,2,98,3,130,2,114,1,96,3,133
0,2,90,2,61,1,100,3,141,2,88,1,103,3,119,3,125,1,119,2,128
0,2,122,2,42,2,90,2,67,2,77,3,143,1,64,2,119,2,70,3,90
0,3,92,3,96,2,141,2,114,2,130,2,93,2,122,3,138,2,124,2,67
0,2,109,2,84,3,120,2,111,2,94,2,117,1,111,2,130,2,142,2,125
0,1,68,1,67,1,80,1,62,2,115,2,85,3,144,1,98,1,80,3,141
0,1,68,1,105,3,148,3,127,3,112,3,142,1,99,3,137,3,114,2,107
0,1,76,3,119,2,134,3,143,3,118,1,143,2,85,1,65,1,114,2,65
0,2,94,2,123,1,47,2,114,2,75,2,97,2,91,3,66,1,84,3,186
0,3,78,2,86,3,128,3,74,2,74,1,70,3,83,2,92,3,95,2,135
0,2,90,1,122,1,87,1,70,3,94,1,71,1,79,3,125,2,101,2,81
0,3,100,1,79,1,79,2,133,3,98,2,98,1,67,3,141,1,85,2,104
0,2,71,2,81,1,120,2,118,2,71,3,89,2,109,2,98,2,78,2,106
0,2,100,2,36,3,112,1,98,1,113,2,87,3,94,2,119,1,92,2,80
0,3,109,2,159,1,43,2,105,2,105,2,92,3,122,1,105,2,48,2,84
0,1,77,1,72,2,81,2,130,3,153,2,110,2,94,2,83,2,122,2,76
0,2,95,1,123,3,65,1,33,3,97,1,115,2,82,2,64,3,121,3,137
0,3,93,2,81,2,128,2,114,2,95,3,134,1,134,2,116,1,106,3,131
0,2,59,2,91,2,145,2,80,3,102,3,144,2,110,3,138,3,77,3,117
0,2,101,2,80,2,127,1,77,2,112,1,94,2,66,2,76,3,90,1,90
0,1,93,1,59,1,118,2,83,2,117,1,76,3,88,3,110,1,132,2,144
0,3,128,1,128,2,36,2,106,2,48,1,74,2,66,3,126,1,89,2,93
0,3,109,1,41,1,103,2,105,3,132,1,117,2,117,3,59,3,70,3,74
0,2,112,2,125,2,119,2,115,2,72,1,86,2,75,2,61,2,112,3,103
0,2,92,1,112,2,124,2,85,1,69,3,72,1,81,1,69,1,70,2,101
0,2,63,2,133,2,135,1,64,3,80,2,112,2,94,3,141,2,88,1,75
0,2,108,1,84,2,37,2,94,1,75,1,80,2,53,3,104,1,90,3,143
0,3,105,3,127,2,130,2,83,2,86,2,133,2,132,3,84,2,98,1,102
0,2,75,1,75,3,74,2,43,3,85,1,120,1,72,2,84,3,145,2,69
0,3,141,3,119,2,120,1,87,1,58,3,119,2,81,2,63,3,116,3,143
0,2,109,3,147,2,50,2,101,1,47,1,88,2,67,1,85,1,137,1,73
0,2,89,1,96,2,153,2,94,2,70,1,83,2,139,1,85,2,70,1,49
0,2,76,3,142,2,129,2,111,3,119,3,129,1,87,1,48,2,117,2,137
0,2,92,3,95,2,156,2,147,3,128,2,75,1,146,2,104,2,96,3,160
0,2,80,2,104,3,67,2,114,2,150,1,89,1,74,1,61,1,186,2,95
0,2,108,1,63,1,78,1,132,1,90,3,90,1,119,3,104,1,108,2,109
0,1,35,2,95,1,105,1,139,1,61,2,105,2,73,1,105,1,112,2,147
0,3,145,1,107,1,117,3,120,2,116,2,131,2,150,2,97,2,48,2,91
0,2,150,2,93,1,108,2,89,2,81,2,122,3,121,2,99,1,105,2,99
0,2,88,3,98,3,121,1,95,2,108,2,74,2,164,2,129,3,102,3,105
0,1,88,1,93,3,110,2,100,3,156,1,88,1,32,2,76,2,142,1,81
0,2,94,3,139,1,109,1,90,1,73,2,78,2,52,2,92,1,68,1,35
0,2,140,3,92,3,86,3,103,2,92,2,106,2,103,2,106,1,128,2,115
0,3,139,3,156,2,108,2,79,1,53,3,81,2,94,2,79,2,74,1,102
0,1,95,2,101,1,98,2,104,2,86,2,144,2,104,2,144,2,94,3,128
0,1,89,3,116,1,71,2,90,3,110,3,78,2,103,2,105,2,89,2,164
0,1,119,2,131,2,91,1,93,1,136,2,97,3,97,2,116,1,70,1,83
0,3,121,3,61,3,186,2,118,2,100,1,90,1,15,2,77,3,136,1,136
0,2,107,1,78,2,104,1,101,2,108,2,33,2,102,2,87,2,75,2,135
0,2,110,2,105,1,78,3,81,3,126,1,67,1,93,2,90,3,149,1,105
0,2,100,2,104,1,41,3,137,1,105,1,91,3,86,3,81,2,93,2,107
0,3,105,1,46,1,137,2,80,2,137,1,51,2,131,1,134,3,70,1,92
0,1,137,1,114,1,79,3,129,3,135,2,85,2,105,2,125,3,92,1,114
0,2,125,2,59,2,61,2,77,2,120,3,81,2,111,2,70,3,118,2,65
0,2,85,1,87,3,101,3,125,1,98,3,112,2,66,3,158,2,68,1,72
0,3,141,1,146,2,96,1,107,3,88,3,119,1,128,2,143,3,133,3,109
0,2,104,2,121,3,130,2,123,1,102,1,111,2,72,3,69,2,63,1,77
0,3,100,2,127,1,120,2,86,1,65,1,118,2,104,3,110,1,114,2,85
0,2,106,3,43,2,90,2,61,2,96,3,115,2,161,3,131,2,90,2,103
0,3,132,2,122,3,98,1,82,1,75,3,110,2,75,1,111,2,66,2,94
0,3,83,2,85,3,113,2,86,2,94,2,151,1,89,2,85,1,89,3,157
0,3,135,2,111,3,103,2,113,2,145,1,68,1,141,3,123,1,112,2,111
0,2,73,2,92,2,86,2,104,1,73,2,99,2,122,1,76,3,159,2,112
0,2,80,3,156,3,139,2,118,2,132,2,135,3,107,2,102,2,59,3,80
0,3,154,3,160,3,95,3,140,2,127,3,163,2,103,2,99,2,55,2,80
0,1,118,2,72,2,147,2,111,2,127,1,125,1,114,2,92,2,103,1,83
0,2,74,1,91,1,101,2,63,2,127,2,87,1,88,1,101,3,89,3,132
0,2,110,2,123,1,61,2,135,2,90,1,103,3,109,2,74,2,39,1,114
0,2,69,2,72,2,97,1,36,2,85,2,72,2,77,2,103,2,129,3,92
0,1,40,2,92,3,130,1,65,1,112,2,64,3,111,1,72,2,147,3,117
0,2,77,1,39,2,76,3,114,2,52,1,73,1,59,2,63,1,129,1,53
0,1,18,3,153,2,68,3,114,2,90,2,56,2,98,1,57,1,103,3,100
0,2,51,2,128,2,75,2,70,1,17,1,76,1,54,3,150,2,117,1,54
0,1,91,3,138,3,106,3,89,1,80,2,93,2,93,1,92,2,56,2,70
0,1,57,3,76,2,68,3,127,2,133,3,134,2,82,3,136,2,90,2,80
0,2,69,1,102,2,110,2,52,2,93,2,131,3,145,1,34,1,67,2,126
0,2,115,1,122,3,85,3,155,2,149,1,56,3,73,1,141,2,61,3,110
0,1,111,3,100,2,135,2,125,1,107,3,101,2,85,1,72,3,125,2,108
0,2,97,1,61,2,119,2,120,2,79,1,96,1,67,2,105,2,67,2,50
0,2,156,3,157,3,125,2,131,3,77,2,181,3,124,1,115,3,135,3,132
0,2,82,3,103,2,72,3,108,3,97,2,71,3,151,2,132,2,57,1,86
0,1,52,2,95,2,103,2,134,2,137,2,80,2,103,1,43,3,96,2,98
0,2,128,2,121,3,91,3,124,2,179,3,108,2,107,1,51,2,113,2,114
0,2,142,2,156,2,59,2,60,2,95,1,71,2,102,1,70,2,80,1,75
0,2,64,3,88,2,128,2,109,1,98,3,75,2,93,2,61,1,74,1,71
0,2,115,3,87,3,124,3,119,3,117,3,111,2,73,1,119,2,109,3,111
0,2,42,1,96,1,77,2,193,2,98,1,64,2,78,1,104,1,161,1,85
0,2,74,2,103,3,75,3,62,1,105,3,90,3,105,2,123,2,104,3,123
0,3,112,1,120,1,106,2,126,3,129,2,138,2,92,2,62,2,122,2,78
0,1,77,3,146,3,70,2,112,3,94,3,114,2,96,2,123,1,106,2,125
0,1,29,1,52,3,132,1,126,1,90,1,75,1,91,2,101,2,135,3,136
0,3,145,1,65,2,127,2,103,3,175,2,127,2,92,1,62,2,70,2,55
0,2,99,2,114,2,113,2,63,1,82,3,129,3,111,2,120,3,124,2,127
0,2,123,2,104,1,83,2,88,1,111,2,101,2,98,2,161,2,167,2,67
0,2,106,2,137,2,59,2,112,2,153,2,107,1,81,2,86,2,99,2,100
0,2,99,2,114,2,147,2,130,2,115,2,115,3,110,1,117,2,99,3,105
0,1,44,1,91,3,64,1,45,2,53,1,113,3,148,2,131,3,104,1,73
0,1,71,1,102,1,100,1,104,2,86,1,86,3,152,2,92,1,95,3,178
10,2,106,2,58,2,129,2,135,3,132,2,103,2,100,2,102,2,109,2,100
10,1,102,3,88,3,108,2,141,2,74,2,134,3,125,3,74,2,87,2,144
10,1,117,3,122,2,76,3,129,1,82,2,86,1,105,2,105,2,101,2,148
10,3,126,2,138,2,125,3,96,2,89,1,65,2,96,2,76,2,73,1,143
10,3,85,3,92,3,133,3,106,2,146,1,40,2,63,3,96,1,101,2,95
10,1,90,3,152,3,124,3,99,3,147,3,113,3,102,2,87,2,86,2,89
10,2,121,2,102,2,78,2,109,2,121,2,122,1,62,2,114,3,160,2,130
10,3,163,2,108,2,70,3,110,1,40,1,115,2,51,1,59,2,125,2,89
10,3,71,2,57,3,116,2,75,3,116,2,135,2,95,2,96,3,106,1,87
10,3,131,2,115,3,45,2,183,1,125,3,107,3,68,1,106,2,105,3,89
10,2,104,2,119,2,113,2,84,3,168,1,40,2,137,2,99,2,79,1,70
10,3,158,2,117,3,93,1,103,1,88,2,91,3,170,2,108,2,88,1,111
10,3,143,2,141,1,67,2,93,1,94,2,92,3,130,3,145,2,163,1,126
10,2,158,2,57,1,85,2,121,1,76,3,98,2,80,2,103,3,102,3,138
10,2,114,2,101,2,105,2,95,1,90,1,98,1,73,3,148,1,92,1,89
10,2,132,2,163,2,118,3,100,1,62,3,143,2,92,1,60,2,108,3,97
10,3,71,2,102,2,81,2,123,2,83,3,153,3,106,1,74,2,75,2,71
10,2,69,2,52,2,77,1,66,2,140,2,120,3,96,3,89,1,61,2,87
10,2,106,2,125,3,77,2,144,3,94,2,90,2,77,2,76,2,111,3,166
10,3,146,3,106,2,153,2,69,2,88,3,79,2,64,1,94,1,111,3,75
10,2,95,3,116,3,83,1,89,2,81,2,92,1,101,1,136,1,75,2,112
10,3,88,1,84,3,92,2,97,3,102,2,80,2,103,1,100,2,137,1,55
10,2,130,2,90,1,77,1,64,1,70,3,140,3,118,1,61,2,106,2,45
10,2,119,2,145,3,120,3,115,2,88,2,106,2,70,3,93,3,110,2,56
10,2,91,1,62,2,72,2,117,3,62,3,92,2,130,2,119,2,61,2,124
10,2,102,1,101,1,64,2,166,2,75,3,93,1,108,1,52,2,175,1,60
10,3,143,2,96,2,138,2,54,2,60,2,72,3,105,1,75,3,61,1,96
10,3,88,2,64,2,125,2,142,2,135,3,140,2,121,3,120,2,76,1,56
10,3,133,1,78,2,119,1,93,2,106,2,81,2,85,2,56,2,50,3,102
10,2,76,3,84,1,53,2,151,3,111,3,143,2,105,2,92,1,53,1,90
10,1,106,2,88,2,93,3,101,1,79,1,91,3,119,2,126,2,165,2,85
10,3,103,2,102,2,166,2,86,1,48,3,134,3,92,3,115,2,60,2,117
10,3,125,3,97,2,59,3,125,2,89,1,81,3,101,2,68,2,118,2,122
10,2,121,2,57,2,110,2,126,3,139,1,67,1,96,2,95,1,92,2,78
10,2,83,2,89,2,136,2,96,1,111,3,90,1,63,2,111,2,145,1,106
10,1,122,3,96,3,131,2,119,3,40,2,109,3,96,2,101,1,94,3,117
10,2,102,2,77,3,166,2,74,1,92,2,73,2,99,3,119,2,75,3,119
10,2,64,2,113,3,94,2,113,3,150,2,118,2,51,2,116,2,115,3,128
10,3,108,3,116,2,138,3,121,2,71,3,104,3,120,2,131,3,100,2,131
10,3,144,1,75,3,174,1,140,3,144,1,78,2,141,2,74,3,108,2,84
10,3,100,2,81,2,76,1,101,1,40,2,100,1,76,2,78,2,93,2,97
10,2,83,2,84,2,97,2,90,2,120,1,83,3,127,2,88,2,104,3,117
10,2,129,3,137,2,109,3,117,1,89,3,111,3,64,2,80,1,83,2,84
10,3,158,2,67,3,112,2,121,2,90,2,94,2,151,1,136,2,69,2,71
10,3,95,1,77,3,95,3,93,1,86,3,116,3,114,2,58,3,124,2,110
10,1,112,2,144,3,142,2,115,2,59,2,73,3,109,2,51,2,139,3,136
10,2,85,2,78,1,61,2,120,2,132,2,85,3,49,2,184,3,83,1,116
10,3,149,1,105,1,97,1,71,2,61,3,136,2,85,2,112,1,54,1,91
10,3,121,1,134,1,80,2,85,2,133,1,71,3,130,1,49,2,135,2,87
10,2,96,1,77,2,138,3,107,1,98,2,63,1,97,3,51,2,56,1,88
10,3,121,1,115,2,110,2,67,2,35,3,124,2,38,2,124,2,145,2,56
10,2,128,3,101,2,104,3,164,2,41,2,140,2,112,3,79,2,95,3,99
10,2,93,2,131,2,63,2,116,2,119,2,55,2,106,3,132,3,138,2,129
10,2,77,2,101,2,85,2,115,2,58,2,81,3,169,1,110,2,69,3,158
10,1,72,1,111,3,111,2,95,1,63,2,136,3,77,2,126,2,83,3,78
10,2,129,3,150,2,125,2,138,2,96,2,82,3,130,2,104,2,73,2,79
10,2,121,2,69,2,73,2,88,3,148,3,158,2,94,3,87,3,133,1,91
10,1,44,2,133,1,61,2,88,3,96,3,121,2,61,2,112,2,102,1,146
10,1,76,3,159,2,74,1,68,2,77,2,99,2,113,3,129,2,96,2,50
10,1,26,3,147,2,82,1,76,1,68,3,122,2,76,2,111,3,137,2,42
10,1,50,3,140,2,126,2,100,3,114,2,107,3,93,2,159,2,96,2,54
10,3,106,2,122,2,102,1,64,3,139,1,70,2,64,3,60,2,117,2,131
10,2,117,3,89,2,99,3,71,3,100,3,135,3,90,1,99,1,73,3,85
10,2,92,2,134,2,73,2,106,2,141,3,99,3,76,1,140,2,186,2,98
10,3,128,2,130,3,117,2,176,1,52,1,98,3,154,2,133,2,85,2,57
10,2,65,3,118,3,121,1,56,2,79,1,131,2,76,2,115,2,91,2,132
10,1,50,1,32,3,152,2,107,2,92,2,89,2,98,1,60,2,66,3,114
10,1,105,1,101,1,124,2,131,3,128,2,116,3,115,1,66,2,112,1,154
10,1,69,3,192,1,84,2,76,3,139,1,37,2,83,3,125,2,42,1,104
10,1,134,2,80,1,41,2,48,3,115,3,171,1,127,2,97,2,98,3,110
10,1,94,1,80,3,132,2,98,2,108,1,86,2,81,3,100,2,141,3,131
10,3,116,1,90,2,107,3,106,2,109,2,134,1,51,3,116,1,105,2,113
10,2,122,2,109,3,114,3,125,2,123,3,137,2,41,1,141,2,61,2,94
10,3,100,2,110,1,95,2,67,3,84,1,76,2,86,2,102,2,82,2,83
10,2,41,1,96,3,113,2,100,1,103,2,101,2,108,1,98,1,118,2,56
10,1,103,1,16,1,66,3,105,3,100,2,127,1,71,2,59,3,85,2,139
10,1,116,2,85,1,31,2,127,3,108,2,113,2,83,3,112,2,92,3,70
10,2,58,3,119,3,101,2,95,1,95,3,79,3,120,3,149,2,99,2,117
10,2,88,2,89,3,100,2,124,2,86,3,154,1,142,2,95,2,115,3,113
10,3,157,2,108,3,75,2,105,3,132,2,161,2,95,2,88,3,128,1,112
10,2,103,1,94,2,118,1,80,1,73,2,72,3,95,2,125,1,66,2,93
10,3,147,2,80,2,87,2,120,2,68,2,105,1,80,1,89,1,50,2,87
10,1,82,2,131,3,112,3,95,3,106,1,96,2,91,3,111,2,70,2,80
10,2,51,2,128,3,108,3,98,3,148,3,83,1,90,2,100,2,79,2,64
10,2,106,2,92,1,65,2,65,2,77,3,89,2,52,1,61,2,46,2,135
10,3,115,3,84,3,147,2,100,1,91,2,117,3,87,1,94,3,110,1,122
10,1,111,2,136,2,93,2,78,2,66,1,111,2,95,1,88,1,88,1,43
10,2,85,2,77,3,116,3,134,3,145,2,80,1,117,2,55,1,58,3,96
10,1,104,2,99,1,82,3,106,3,147,3,112,1,117,1,123,2,100,2,141
10,2,108,2,97,3,119,2,84,2,102,3,132,2,131,2,112,2,139,1,60
10,2,111,3,126,2,114,2,67,2,104,2,69,3,112,2,142,3,110,1,37
10,2,83,3,97,3,128,2,97,2,73,2,97,1,107,2,53,3,123,1,56
10,2,59,2,84,1,93,1,92,2,97,3,128,2,128,3,110,2,84,2,149
10,2,107,2,105,2,87,1,42,1,104,1,82,3,84,1,122,2,80,3,93
10,2,117,2,105,3,119,2,134,3,139,2,98,3,96,2,161,1,69,2,114
10,3,115,3,132,2,84,2,165,2,130,2,130,2,68,2,107,3,110,2,82
10,1,25,1,105,1,101,3,73,2,74,2,74,1,124,2,127,3,100,3,81
10,2,113,3,112,3,110,3,143,3,140,2,125,2,116,1,71,2,89,1,64
10,2,57,2,155,2,110,1,76,3,58,1,113,3,165,1,99,2,125,2,97
10,2,143,2,75,1,85,3,158,2,155,3,54,2,100,2,137,1,77,3,103
