cell_number,time,RNA_nuc,RNA_cyto,RNA_total
0,0,40,102,142
1,0,11,28,39
2,0,36,59,95
3,0,51,54,105
4,0,55,143,198
5,0,30,76,106
6,0,31,33,64
7,0,6,13,19
8,0,30,61,91
9,0,40,42,82
10,0,22,30,52
11,0,12,13,25
12,0,13,22,35
13,0,5,7,12
14,0,7,3,10
15,0,6,14,20
16,0,28,51,79
17,0,32,66,98
18,0,26,41,67
19,0,26,24,50
20,0,20,45,65
21,0,58,41,99
22,0,23,41,64
23,0,6,10,16
24,0,7,7,14
25,0,25,67,92
26,0,28,65,93
27,0,18,32,50
28,0,19,45,64
29,0,39,84,123
30,0,14,34,48
31,0,24,37,61
32,0,1,2,3
33,0,21,39,60
34,0,13,32,45
35,0,25,38,63
36,0,11,39,50
37,0,11,11,22
38,0,30,58,88
39,0,23,57,80
40,0,30,27,57
41,0,23,48,71
42,0,25,32,57
43,0,19,21,40
44,0,14,16,30
45,0,13,9,22
46,0,9,21,30
47,0,51,76,127
48,0,13,26,39
49,0,36,96,132
50,0,33,83,116
51,0,34,34,68
52,0,10,9,19
53,0,15,7,22
54,0,9,16,25
55,0,22,56,78
56,0,21,29,50
57,0,25,41,66
58,0,17,27,44
59,0,6,17,23
60,0,6,26,32
61,0,6,18,24
62,0,6,6,12
63,0,0,3,3
64,0,2,1,3
65,0,9,26,35
66,0,50,77,127
67,0,69,171,240
68,0,34,34,68
69,0,69,184,253
70,0,59,65,124
71,0,22,37,59
72,0,14,74,88
73,0,15,55,70
74,0,13,38,51
75,0,3,8,11
76,0,74,184,258
77,0,13,35,48
78,0,30,127,157
79,0,31,183,214
80,0,16,131,147
81,0,12,67,79
82,0,6,39,45
83,0,6,26,32
84,0,32,72,104
85,0,7,5,12
86,0,8,8,16
87,0,3,1,4
88,0,93,329,422
89,0,62,165,227
90,0,58,188,246
91,0,152,452,604
92,0,36,61,97
93,0,12,41,53
94,0,23,22,45
95,0,10,4,14
96,0,39,133,172
97,0,37,138,175
98,0,22,99,121
99,0,44,171,215
100,0,36,55,91
101,0,27,146,173
102,0,32,85,117
103,0,40,55,95
104,0,6,17,23
105,0,11,11,22
106,0,30,59,89
107,0,42,115,157
108,0,7,50,57
109,0,19,146,165
110,0,12,80,92
111,0,21,73,94
112,0,14,44,58
113,0,71,99,170
114,0,9,20,29
115,0,0,2,2
116,0,30,86,116
117,0,12,39,51
118,0,13,19,32
119,0,54,159,213
120,0,33,45,78
121,0,35,86,121
122,0,12,21,33
123,0,51,141,192
124,0,16,39,55
125,0,54,105,159
126,0,38,67,105
127,0,36,33,69
128,0,12,19,31
129,0,17,15,32
130,0,33,103,136
131,0,26,39,65
132,0,17,58,75
133,0,37,33,70
134,0,16,40,56
135,0,13,43,56
136,0,2,12,14
137,0,34,54,88
138,0,23,20,43
139,0,14,35,49
140,0,56,116,172
141,0,25,27,52
142,0,82,138,220
143,0,74,104,178
144,0,15,16,31
145,0,21,44,65
146,0,18,25,43
147,0,8,15,23
148,0,8,20,28
149,0,40,85,125
150,0,41,97,138
151,0,23,54,77
152,0,34,151,185
153,0,68,75,143
154,0,62,82,144
155,0,16,51,67
156,0,28,40,68
157,0,6,28,34
158,0,20,30,50
