Cell_id,time,Dex_Conc,normgrnuc,normgrcyt
0,0,10.0,2.0,8.0
1,0,10.0,2.0,8.0
2,0,10.0,1.0,5.0
3,0,100.0,1.0,7.0
4,0,10.0,1.0,7.0
5,0,100.0,3.0,7.0
6,0,100.0,1.0,7.0
7,0,100.0,2.0,11.0
8,0,1.0,2.0,8.0
9,0,10.0,2.0,7.0
10,0,1.0,1.0,6.0
11,0,100.0,3.0,10.0
12,0,1.0,4.0,9.0
13,0,100.0,3.0,10.0
14,0,1.0,4.0,11.0
15,0,1.0,3.0,10.0
16,0,10.0,6.0,15.0
17,0,10.0,5.0,11.0
18,0,100.0,2.0,12.0
19,0,1.0,4.0,11.0
20,0,1.0,5.0,12.0
21,0,100.0,4.0,11.0
22,0,100.0,1.0,9.0
23,0,10.0,1.0,8.0
24,0,1.0,1.0,8.0
25,0,100.0,2.0,6.0
26,0,1.0,4.0,8.0
27,0,1.0,7.0,15.0
28,0,10.0,7.0,15.0
29,0,1.0,5.0,10.0
30,0,10.0,0.0,5.0
31,0,10.0,0.0,5.0
32,0,100.0,5.0,14.0
33,0,1.0,2.0,14.0
34,0,10.0,1.0,8.0
35,0,100.0,2.0,7.0
36,0,10.0,0.0,7.0
37,0,10.0,3.0,8.0
38,0,100.0,4.0,10.0
39,0,1.0,1.0,8.0
40,0,1.0,3.0,8.0
41,0,1.0,2.0,9.0
42,0,10.0,3.0,9.0
43,0,100.0,4.0,12.0
44,0,100.0,3.0,13.0
45,0,1.0,2.0,8.0
46,0,100.0,2.0,8.0
47,0,1.0,1.0,9.0
48,0,10.0,5.0,11.0
49,0,10.0,2.0,8.0
50,0,10.0,5.0,14.0
51,0,100.0,3.0,13.0
52,0,100.0,2.0,10.0
53,0,10.0,6.0,12.0
54,0,10.0,3.0,10.0
55,0,100.0,1.0,7.0
56,0,10.0,4.0,9.0
57,0,1.0,3.0,10.0
58,0,100.0,1.0,8.0
59,0,10.0,2.0,8.0
60,0,100.0,4.0,11.0
61,0,10.0,2.0,9.0
62,0,10.0,4.0,11.0
63,0,100.0,2.0,8.0
64,0,1.0,3.0,11.0
65,0,100.0,2.0,12.0
66,0,10.0,5.0,11.0
67,0,10.0,0.0,6.0
68,0,1.0,1.0,6.0
69,0,100.0,2.0,7.0
70,0,1.0,5.0,13.0
71,0,1.0,3.0,9.0
72,0,10.0,0.0,5.0
73,0,10.0,3.0,10.0
74,0,100.0,4.0,9.0
75,0,10.0,4.0,9.0
76,0,100.0,4.0,11.0
77,0,100.0,3.0,10.0
78,0,1.0,3.0,8.0
79,0,10.0,3.0,14.0
80,0,1.0,3.0,11.0
81,0,10.0,3.0,10.0
82,0,10.0,2.0,5.0
83,0,1.0,4.0,6.0
84,0,100.0,1.0,8.0
85,0,10.0,4.0,9.0
86,0,1.0,3.0,10.0
87,0,100.0,2.0,8.0
88,0,1.0,1.0,6.0
89,0,10.0,4.0,9.0
90,0,100.0,2.0,9.0
91,0,10.0,5.0,13.0
92,0,100.0,4.0,11.0
93,0,1.0,3.0,9.0
94,0,1.0,2.0,6.0
95,0,100.0,2.0,9.0
96,0,100.0,3.0,7.0
97,0,100.0,3.0,9.0
98,0,1.0,2.0,9.0
99,0,1.0,1.0,7.0
100,0,10.0,3.0,12.0
101,0,100.0,5.0,14.0
102,0,10.0,4.0,15.0
103,0,100.0,4.0,13.0
104,0,1.0,4.0,9.0
105,0,1.0,1.0,7.0
106,0,10.0,3.0,7.0
107,0,1.0,2.0,8.0
108,0,100.0,3.0,9.0
109,0,100.0,3.0,8.0
110,0,100.0,2.0,9.0
111,0,10.0,4.0,11.0
112,0,1.0,5.0,12.0
113,0,100.0,4.0,9.0
114,0,100.0,1.0,7.0
115,0,100.0,3.0,9.0
116,0,1.0,4.0,10.0
117,0,100.0,2.0,8.0
118,0,10.0,4.0,11.0
119,0,100.0,2.0,11.0
120,0,100.0,2.0,8.0
121,0,100.0,2.0,7.0
122,0,1.0,0.0,5.0
123,0,1.0,2.0,8.0
124,0,1.0,1.0,6.0
125,0,100.0,2.0,12.0
126,0,10.0,2.0,11.0
127,0,10.0,7.0,13.0
128,0,10.0,1.0,6.0
129,0,1.0,1.0,6.0
130,0,10.0,2.0,8.0
131,0,10.0,2.0,10.0
132,0,100.0,2.0,10.0
133,0,10.0,1.0,7.0
134,0,10.0,2.0,9.0
135,0,1.0,0.0,6.0
136,0,100.0,1.0,8.0
137,0,10.0,0.0,6.0
138,0,10.0,0.0,6.0
139,0,100.0,4.0,9.0
140,0,10.0,4.0,11.0
141,0,10.0,3.0,8.0
142,0,1.0,3.0,13.0
143,0,1.0,4.0,12.0
144,0,1.0,2.0,9.0
145,0,100.0,3.0,10.0
146,0,100.0,2.0,10.0
147,0,100.0,3.0,15.0
148,0,1.0,0.0,4.0
149,0,10.0,1.0,7.0
150,0,1.0,2.0,10.0
151,0,1.0,2.0,10.0
152,0,10.0,4.0,12.0
153,0,100.0,3.0,11.0
154,0,100.0,2.0,9.0
155,0,1.0,3.0,11.0
156,0,100.0,4.0,12.0
157,0,1.0,3.0,9.0
158,0,10.0,1.0,6.0
159,0,100.0,4.0,10.0
160,0,100.0,4.0,11.0
161,0,10.0,2.0,9.0
162,0,1.0,1.0,7.0
163,0,1.0,3.0,12.0
164,0,100.0,4.0,11.0
165,0,1.0,1.0,7.0
166,0,1.0,1.0,9.0
167,0,1.0,2.0,8.0
168,0,1.0,2.0,10.0
169,0,100.0,4.0,11.0
170,0,1.0,3.0,11.0
171,0,100.0,0.0,5.0
172,0,1.0,1.0,7.0
173,0,1.0,2.0,9.0
174,0,100.0,4.0,14.0
175,0,10.0,0.0,5.0
176,0,10.0,2.0,7.0
177,0,10.0,3.0,9.0
178,0,100.0,2.0,6.0
179,0,100.0,2.0,9.0
180,0,10.0,3.0,7.0
181,0,10.0,2.0,9.0
182,0,100.0,1.0,7.0
183,0,10.0,2.0,6.0
184,0,100.0,2.0,9.0
185,0,1.0,3.0,10.0
186,0,100.0,2.0,7.0
187,0,10.0,3.0,12.0
188,0,1.0,4.0,12.0
189,0,1.0,1.0,9.0
190,0,10.0,2.0,8.0
191,0,1.0,3.0,8.0
192,0,1.0,4.0,10.0
193,0,1.0,4.0,13.0
194,0,1.0,4.0,15.0
195,0,10.0,5.0,15.0
196,0,100.0,2.0,8.0
197,0,100.0,5.0,13.0
198,0,100.0,2.0,9.0
199,0,100.0,2.0,8.0
200,0,1.0,0.0,5.0
201,0,1.0,4.0,9.0
202,0,10.0,5.0,11.0
203,0,1.0,2.0,9.0
204,0,1.0,3.0,9.0
205,0,1.0,4.0,9.0
206,0,1.0,4.0,12.0
207,0,1.0,2.0,8.0
208,0,10.0,1.0,7.0
209,0,1.0,1.0,6.0
210,0,100.0,2.0,7.0
211,0,100.0,3.0,10.0
212,0,100.0,3.0,8.0
213,0,100.0,3.0,11.0
214,0,100.0,1.0,6.0
215,0,1.0,1.0,7.0
216,0,100.0,3.0,11.0
217,0,10.0,3.0,9.0
218,0,100.0,2.0,8.0
219,0,100.0,5.0,15.0
220,0,10.0,3.0,10.0
221,0,1.0,2.0,8.0
222,0,100.0,2.0,10.0
223,0,1.0,5.0,12.0
224,0,10.0,3.0,9.0
225,0,1.0,3.0,12.0
226,0,1.0,2.0,10.0
227,0,1.0,2.0,9.0
228,0,1.0,4.0,12.0
229,0,100.0,4.0,11.0
230,0,100.0,2.0,9.0
231,0,1.0,5.0,12.0
232,0,10.0,3.0,10.0
233,0,100.0,3.0,9.0
234,0,100.0,2.0,10.0
235,0,100.0,3.0,11.0
236,0,100.0,2.0,11.0
237,0,10.0,3.0,10.0
238,0,1.0,4.0,13.0
239,0,100.0,5.0,13.0
240,0,10.0,4.0,12.0
241,0,100.0,2.0,9.0
242,0,100.0,3.0,10.0
243,0,100.0,3.0,11.0
244,0,1.0,4.0,12.0
245,0,1.0,4.0,11.0
246,0,1.0,2.0,11.0
247,0,100.0,4.0,10.0
248,0,100.0,3.0,13.0
249,0,10.0,5.0,11.0
250,0,100.0,1.0,8.0
251,0,100.0,4.0,13.0
252,0,10.0,1.0,7.0
253,0,100.0,2.0,8.0
254,0,100.0,2.0,10.0
255,0,10.0,3.0,10.0
256,0,100.0,3.0,9.0
257,0,10.0,2.0,10.0
258,0,10.0,0.0,6.0
259,0,100.0,0.0,6.0
260,0,10.0,4.0,9.0
261,0,100.0,5.0,13.0
262,0,1.0,3.0,10.0
263,0,1.0,6.0,15.0
264,0,1.0,0.0,5.0
265,0,10.0,4.0,12.0
266,0,10.0,4.0,13.0
267,0,100.0,3.0,11.0
268,0,100.0,2.0,9.0
269,0,100.0,3.0,11.0
270,0,1.0,1.0,7.0
271,0,100.0,4.0,12.0
272,0,10.0,2.0,10.0
273,0,10.0,2.0,7.0
274,0,100.0,2.0,9.0
275,0,1.0,0.0,6.0
276,0,10.0,4.0,8.0
277,0,10.0,4.0,13.0
278,0,1.0,3.0,8.0
279,0,1.0,2.0,10.0
280,0,1.0,2.0,7.0
281,0,100.0,3.0,13.0
282,0,1.0,2.0,9.0
283,0,100.0,0.0,7.0
284,0,100.0,2.0,11.0
285,0,1.0,0.0,4.0
286,0,10.0,3.0,9.0
287,0,1.0,1.0,7.0
288,0,100.0,0.0,8.0
289,0,10.0,3.0,10.0
290,0,100.0,2.0,9.0
291,0,10.0,6.0,13.0
292,0,100.0,2.0,9.0
293,0,10.0,2.0,9.0
294,0,100.0,4.0,11.0
295,0,10.0,1.0,7.0
296,0,10.0,0.0,6.0
297,0,10.0,0.0,6.0
298,0,100.0,1.0,6.0
299,0,1.0,1.0,10.0
300,0,1.0,3.0,11.0
301,0,100.0,2.0,9.0
302,0,1.0,2.0,9.0
303,10,1.0,3.0,11.0
304,10,1.0,6.0,13.0
305,10,1.0,4.0,11.0
306,10,1.0,3.0,11.0
307,10,1.0,2.0,10.0
308,10,1.0,3.0,10.0
309,10,1.0,1.0,7.0
310,10,1.0,2.0,11.0
311,10,1.0,4.0,11.0
312,10,1.0,2.0,7.0
313,10,1.0,4.0,8.0
314,10,1.0,5.0,13.0
315,10,1.0,1.0,8.0
316,10,1.0,7.0,12.0
317,10,1.0,4.0,8.0
318,10,1.0,6.0,15.0
319,10,1.0,1.0,8.0
320,10,1.0,2.0,9.0
321,10,1.0,2.0,9.0
322,10,1.0,2.0,10.0
323,10,1.0,3.0,10.0
324,10,1.0,2.0,9.0
325,10,1.0,4.0,11.0
326,10,1.0,3.0,9.0
327,10,1.0,3.0,12.0
328,10,1.0,4.0,12.0
329,10,1.0,4.0,9.0
330,10,1.0,1.0,10.0
331,10,1.0,4.0,11.0
332,10,1.0,2.0,8.0
333,10,1.0,0.0,6.0
334,10,1.0,0.0,3.0
335,10,1.0,2.0,9.0
336,10,1.0,2.0,7.0
337,10,1.0,3.0,13.0
338,10,1.0,3.0,9.0
339,10,1.0,2.0,8.0
340,10,1.0,2.0,7.0
341,10,1.0,0.0,4.0
342,10,1.0,2.0,7.0
343,10,1.0,2.0,6.0
344,10,1.0,2.0,9.0
345,10,1.0,5.0,13.0
346,10,1.0,5.0,13.0
347,10,1.0,2.0,9.0
348,10,1.0,5.0,12.0
349,10,1.0,3.0,10.0
350,10,1.0,3.0,7.0
351,10,1.0,2.0,11.0
352,10,1.0,0.0,5.0
353,10,1.0,2.0,9.0
354,10,1.0,3.0,8.0
355,10,1.0,1.0,7.0
356,10,1.0,1.0,9.0
357,10,1.0,3.0,9.0
358,10,1.0,1.0,6.0
359,10,1.0,2.0,7.0
360,10,1.0,2.0,8.0
361,10,1.0,1.0,8.0
362,10,1.0,3.0,8.0
363,10,1.0,2.0,10.0
364,10,1.0,2.0,8.0
365,10,1.0,4.0,12.0
366,10,1.0,4.0,12.0
367,10,1.0,1.0,8.0
368,10,1.0,3.0,8.0
369,10,1.0,2.0,7.0
370,10,1.0,3.0,8.0
371,10,1.0,3.0,8.0
372,10,1.0,1.0,8.0
373,10,1.0,0.0,5.0
374,10,1.0,0.0,6.0
375,10,1.0,0.0,5.0
376,10,1.0,2.0,10.0
377,10,1.0,4.0,11.0
378,10,1.0,5.0,15.0
379,10,1.0,0.0,7.0
380,10,1.0,1.0,8.0
381,10,1.0,2.0,6.0
382,10,1.0,3.0,11.0
383,10,1.0,6.0,14.0
384,10,1.0,5.0,11.0
385,10,1.0,3.0,10.0
386,10,1.0,3.0,9.0
387,10,1.0,4.0,11.0
388,10,1.0,2.0,7.0
389,10,1.0,2.0,9.0
390,10,1.0,3.0,10.0
391,10,1.0,3.0,11.0
392,10,1.0,6.0,15.0
393,10,1.0,1.0,6.0
394,10,1.0,4.0,13.0
395,10,1.0,0.0,6.0
396,10,1.0,2.0,8.0
397,10,1.0,4.0,10.0
398,10,1.0,2.0,8.0
399,10,1.0,2.0,10.0
400,10,1.0,1.0,7.0
401,10,1.0,3.0,12.0
402,10,1.0,4.0,14.0
403,10,1.0,4.0,15.0
404,10,1.0,3.0,11.0
405,10,1.0,4.0,11.0
406,10,1.0,2.0,7.0
407,10,1.0,1.0,7.0
408,10,1.0,2.0,8.0
409,10,1.0,2.0,9.0
410,10,1.0,2.0,9.0
411,10,1.0,3.0,14.0
412,10,1.0,2.0,9.0
413,10,1.0,2.0,8.0
414,10,1.0,1.0,10.0
415,10,1.0,3.0,10.0
416,10,1.0,4.0,14.0
417,10,1.0,1.0,8.0
418,10,1.0,4.0,15.0
419,10,1.0,4.0,13.0
420,10,1.0,3.0,10.0
421,10,1.0,5.0,15.0
422,10,1.0,4.0,12.0
423,10,1.0,5.0,12.0
424,10,1.0,3.0,10.0
425,10,1.0,1.0,6.0
426,10,1.0,1.0,6.0
427,10,1.0,3.0,10.0
428,10,1.0,1.0,7.0
429,10,1.0,3.0,10.0
430,10,1.0,2.0,9.0
431,10,1.0,1.0,8.0
432,10,1.0,1.0,7.0
433,10,1.0,5.0,11.0
434,10,1.0,5.0,7.0
435,10,1.0,3.0,10.0
436,10,1.0,2.0,10.0
437,10,1.0,3.0,9.0
438,10,1.0,3.0,10.0
439,10,1.0,4.0,11.0
440,10,1.0,3.0,12.0
441,10,1.0,4.0,12.0
442,10,1.0,3.0,11.0
443,10,1.0,3.0,5.0
444,10,1.0,4.0,10.0
445,10,1.0,5.0,11.0
446,10,1.0,2.0,8.0
447,10,1.0,1.0,7.0
448,10,1.0,4.0,11.0
449,10,1.0,2.0,9.0
450,10,1.0,2.0,10.0
451,10,1.0,3.0,9.0
452,10,1.0,4.0,11.0
453,10,1.0,2.0,8.0
454,10,1.0,1.0,11.0
455,10,1.0,0.0,9.0
456,10,1.0,3.0,9.0
457,10,1.0,3.0,9.0
458,10,1.0,4.0,10.0
459,10,1.0,2.0,10.0
460,10,1.0,1.0,8.0
461,30,1.0,4.0,9.0
462,30,1.0,5.0,10.0
463,30,1.0,4.0,7.0
464,30,1.0,3.0,9.0
465,30,1.0,2.0,6.0
466,30,1.0,3.0,11.0
467,30,1.0,3.0,11.0
468,30,1.0,2.0,8.0
469,30,1.0,4.0,13.0
470,30,1.0,7.0,13.0
471,30,1.0,2.0,8.0
472,30,1.0,4.0,8.0
473,30,1.0,7.0,9.0
474,30,1.0,7.0,8.0
475,30,1.0,1.0,9.0
476,30,1.0,0.0,6.0
477,30,1.0,4.0,9.0
478,30,1.0,1.0,6.0
479,30,1.0,2.0,9.0
480,30,1.0,6.0,8.0
481,30,1.0,5.0,8.0
482,30,1.0,5.0,12.0
483,30,1.0,4.0,9.0
484,30,1.0,6.0,12.0
485,30,1.0,2.0,7.0
486,30,1.0,9.0,13.0
487,30,1.0,3.0,8.0
488,30,1.0,7.0,14.0
489,30,1.0,5.0,8.0
490,30,1.0,1.0,7.0
491,30,1.0,1.0,5.0
492,30,1.0,2.0,7.0
493,30,1.0,4.0,11.0
494,30,1.0,2.0,8.0
495,30,1.0,5.0,10.0
496,30,1.0,4.0,10.0
497,30,1.0,1.0,8.0
498,30,1.0,3.0,8.0
499,30,1.0,4.0,9.0
500,30,1.0,2.0,8.0
501,30,1.0,3.0,8.0
502,30,1.0,9.0,13.0
503,30,1.0,3.0,8.0
504,30,1.0,6.0,12.0
505,30,1.0,4.0,10.0
506,30,1.0,3.0,8.0
507,30,1.0,4.0,9.0
508,30,1.0,3.0,8.0
509,30,1.0,4.0,8.0
510,30,1.0,4.0,9.0
511,30,1.0,3.0,8.0
512,30,1.0,6.0,13.0
513,30,1.0,5.0,10.0
514,30,1.0,3.0,9.0
515,30,1.0,6.0,11.0
516,30,1.0,4.0,11.0
517,30,1.0,9.0,12.0
518,30,1.0,4.0,11.0
519,30,1.0,2.0,7.0
520,30,1.0,3.0,8.0
521,30,1.0,1.0,5.0
522,30,1.0,5.0,13.0
523,30,1.0,5.0,10.0
524,30,1.0,2.0,5.0
525,30,1.0,1.0,5.0
526,30,1.0,4.0,9.0
527,30,1.0,2.0,7.0
528,30,1.0,2.0,6.0
529,30,1.0,5.0,10.0
530,30,1.0,4.0,7.0
531,30,1.0,3.0,10.0
532,30,1.0,2.0,9.0
533,30,1.0,5.0,13.0
534,30,1.0,4.0,11.0
535,30,1.0,2.0,6.0
