Cell_id,time,Dex_Conc,normgrnuc,normgrcyt
3551,30,1,4,10
4922,30,100,8,1
4898,30,100,13,5
3598,30,1,2,8
202,0,10,5,11
5050,50,100,14,2
3914,75,1,4,11
1191,0,1,1,11
3313,0,10,3,12
4770,10,100,7,1
1552,30,10,7,8
2863,75,100,7,2
5326,180,100,4,0
4241,30,10,3,2
5915,50,1,1,4
5334,180,100,5,1
2551,30,100,8,2
3323,0,1,4,11
5703,30,1,5,7
2084,180,10,10,3
2972,150,100,9,3
3084,180,100,8,5
50,0,10,5,14
6954,180,10,4,1
395,10,1,0,6
642,50,1,2,5
3272,0,10,1,8
7486,75,100,6,0
5732,30,1,3,9
1775,75,10,5,2
5559,10,1,6,7
629,50,1,4,10
6085,75,1,5,8
2540,30,100,14,3
7192,30,100,4,0
7217,30,100,5,1
4451,75,10,9,3
3526,30,1,4,9
2180,0,1,1,7
2998,150,100,7,3
2098,180,10,10,1
521,30,1,1,5
3830,75,1,1,5
1305,0,100,3,11
6863,75,10,13,3
7398,50,100,3,0
1372,10,10,11,14
2108,180,10,5,2
2880,75,100,9,2
4563,180,10,11,2
4604,180,10,9,2
4008,180,1,7,7
7103,10,100,4,0
3223,0,1,2,9
6980,180,10,2,0
4092,10,10,1,4
4231,30,10,5,3
2349,10,100,8,3
5564,10,1,1,5
1054,180,1,4,5
2800,75,100,2,1
6512,30,10,10,5
4255,30,10,6,4
6657,50,10,13,3
4382,50,10,6,4
6132,180,1,5,7
691,50,1,0,5
4865,30,100,8,2
1235,0,100,2,9
5728,30,1,1,4
7091,10,100,4,0
696,50,1,2,6
4974,50,100,7,1
7631,180,100,3,0
4059,10,10,3,6
439,10,1,4,11
7531,75,100,5,1
6545,30,10,10,4
3181,180,100,9,3
3552,30,1,3,9
2765,75,100,7,2
7694,180,100,5,1
1415,10,10,2,8
7480,75,100,4,2
1419,10,10,6,9
393,10,1,1,6
3918,75,1,3,10
6152,180,1,5,6
1495,30,10,15,10
497,30,1,1,8
2963,150,100,9,4
2759,75,100,4,2
3022,150,100,6,2
2595,50,100,15,6
1758,75,10,12,4
6127,180,1,2,5
1071,180,1,4,5
6566,30,10,6,4
6259,180,1,7,8
2221,0,1,1,7
101,0,100,5,14
515,30,1,6,11
4178,30,10,2,2
490,30,1,1,7
6895,180,10,5,1
1877,150,10,10,2
3524,30,1,6,13
3117,180,100,7,3
762,75,1,10,13
4142,10,10,0,2
4161,10,10,4,5
6021,75,1,3,6
148,0,1,0,4
717,50,1,4,8
6724,50,10,7,1
4964,50,100,9,1
7661,180,100,5,1
1844,75,10,8,2
1326,10,10,6,8
1479,30,10,12,8
171,0,100,0,5
2517,30,100,15,4
2372,10,100,8,2
5066,50,100,12,2
5337,0,10,3,10
5023,50,100,11,2
977,150,1,10,9
2281,0,1,0,7
1481,30,10,12,8
188,0,1,4,12
58,0,100,1,8
3256,0,10,3,12
5637,30,1,2,8
2530,30,100,8,2
4994,50,100,10,1
5319,180,100,5,1
7615,180,100,3,0
4390,50,10,6,5
906,150,1,9,12
3043,180,100,8,4
900,150,1,6,6
5044,50,100,10,2
5392,0,10,2,5
4479,75,10,6,2
374,10,1,0,6
2776,75,100,5,1
5851,50,1,3,7
117,0,100,2,8
85,0,10,4,9
2128,180,10,13,2
7015,180,10,2,0
5321,180,100,4,1
6179,180,1,7,5
2,0,10,1,5
5853,50,1,4,9
6711,50,10,7,2
621,50,1,1,6
72,0,10,0,5
6356,10,10,3,6
4681,10,100,8,3
6111,180,1,7,6
5099,75,100,5,1
5385,0,100,5,9
3481,30,1,4,10
5651,30,1,4,9
6531,30,10,4,3
6496,30,10,6,3
2332,10,100,5,1
2638,50,100,13,5
1073,180,1,6,8
4267,30,10,7,4
168,0,1,2,10
5009,50,100,11,2
2896,150,100,9,3
6447,30,10,12,6
3916,75,1,3,12
6425,30,10,10,5
1180,0,10,4,12
287,0,1,1,7
6533,30,10,12,7
3183,180,100,6,1
3992,180,1,9,12
512,30,1,6,13
4458,75,10,11,3
3519,30,1,2,8
6454,30,10,8,5
7706,180,100,1,1
3080,180,100,5,2
2325,10,100,7,3
5947,75,1,5,5
3669,50,1,7,13
3226,0,10,1,7
6535,30,10,10,5
2693,50,100,11,3
6253,180,1,8,8
3877,75,1,6,10
2807,75,100,10,3
6450,30,10,9,5
5774,50,1,3,8
1125,180,1,5,7
2822,75,100,10,2
7194,30,100,5,0
6060,75,1,1,3
884,150,1,7,6
1337,10,10,6,9
2348,10,100,3,7
5896,50,1,2,7
5949,75,1,3,5
73,0,10,3,10
323,10,1,3,10
3077,180,100,10,4
4360,50,10,9,4
2336,10,100,5,1
550,30,1,4,9
4329,50,10,6,4
1500,30,10,11,8
430,10,1,2,9
5592,10,1,4,4
4315,50,10,14,5
345,10,1,5,13
1560,30,10,7,6
378,10,1,5,15
4321,50,10,7,4
5519,10,1,3,12
1673,50,10,14,5
74,0,100,4,9
839,75,1,5,9
6183,180,1,4,6
4914,30,100,12,2
1340,10,10,6,9
6821,75,10,9,2
2148,0,100,0,4
6774,75,10,14,3
1990,150,10,9,3
6826,75,10,11,3
2177,0,1,0,5
4526,75,10,6,2
2144,0,1,1,6
326,10,1,3,9
5298,180,100,5,1
5826,50,1,2,6
4347,50,10,4,3
4662,180,10,4,1
5972,75,1,2,7
5730,30,1,8,9
3229,0,10,3,10
4642,180,10,5,1
3111,180,100,4,3
3737,50,1,2,10
427,10,1,3,10
1950,150,10,8,2
6362,10,10,6,7
861,75,1,5,10
5548,10,1,2,7
5936,75,1,1,4
5505,10,1,2,6
4853,30,100,10,3
5727,30,1,1,4
7052,10,100,6,1
2245,0,1,0,4
2373,10,100,13,3
4954,50,100,12,2
354,10,1,3,8
477,30,1,4,9
1656,50,10,14,6
2017,180,10,12,2
2629,50,100,13,4
2322,10,100,12,3
5084,50,100,8,1
2745,50,100,13,4
7385,50,100,2,0
6624,50,10,11,3
4487,75,10,2,1
6991,180,10,4,2
3955,180,1,6,8
1411,10,10,4,8
301,0,100,2,9
2247,0,10,0,6
2733,50,100,14,6
5974,75,1,3,6
2761,75,100,5,1
2676,50,100,13,4
4397,50,10,4,2
5035,50,100,9,4
2953,150,100,9,4
6763,75,10,11,3
2378,10,100,13,4
1068,180,1,6,7
6789,75,10,14,4
3684,50,1,3,6
6960,180,10,5,1
7464,75,100,5,1
3994,180,1,10,13
1567,30,10,8,5
389,10,1,2,9
5019,50,100,14,3
960,150,1,8,12
2529,30,100,10,3
6158,180,1,4,4
1808,75,10,6,2
1302,0,100,3,10
3983,180,1,2,4
7026,180,10,3,0
3622,30,1,2,9
2860,75,100,5,1
1370,10,10,6,11
6371,10,10,5,8
6045,75,1,0,3
3500,30,1,3,12
6479,30,10,8,4
3895,75,1,4,9
6510,30,10,10,3
5157,75,100,13,3
6852,75,10,8,2
6301,10,10,2,5
4162,10,10,4,6
1638,50,10,9,4
3505,30,1,4,11
2844,75,100,6,2
916,150,1,11,10
2012,180,10,8,1
966,150,1,6,8
