time,exp1_s1
2.5,12
2.5,12
2.5,15
2.5,13
2.5,16
2.5,10
2.5,9
2.5,9
2.5,4
2.5,13
2.5,10
2.5,8
2.5,9
2.5,9
2.5,9
2.5,9
2.5,7
2.5,12
2.5,15
2.5,10
2.5,16
2.5,13
2.5,15
2.5,17
2.5,14
2.5,14
2.5,7
2.5,9
2.5,10
2.5,10
10,27
10,18
10,25
10,20
10,27
10,18
10,22
10,12
10,25
10,13
10,23
10,22
10,28
10,28
10,18
10,18
10,23
10,18
10,17
10,17
10,13
10,21
10,21
10,20
10,32
10,23
10,22
10,15
10,20
10,15
2,6
2,6
2,13
2,7
2,9
2,11
2,14
2,13
2,14
2,10
2,9
2,11
2,8
2,4
2,7
2,6
2,13
2,13
2,8
2,12
10,19
10,26
10,23
10,19
10,19
10,20
10,27
10,21
10,17
10,16
10,28
10,19
10,26
10,24
10,29
10,20
10,14
10,20
10,19
10,28
2,7
2,10
2,5
2,8
2,4
2,2
2,8
2,8
2,7
2,10
2,15
2,13
2,8
2,7
2,10
2,8
2,10
2,13
2,5
2,5
10,19
10,24
10,15
10,23
10,21
10,15
10,23
10,24
10,17
10,20
10,22
10,26
10,24
10,20
10,14
10,25
10,17
10,20
10,18
10,32
2,9
2,5
2,13
2,4
2,10
2,10
2,4
2,13
2,10
2,5
2,10
2,10
2,7
2,5
2,8
2,10
2,12
2,14
2,9
2,12
10,14
10,28
10,23
10,26
10,23
10,26
10,24
10,19
10,18
10,17
10,30
10,24
10,17
10,16
10,15
10,24
10,20
10,20
10,17
10,17
2,11
2,6
2,12
2,10
2,11
2,11
2,7
2,7
2,6
2,9
2,6
2,10
2,10
2,9
2,11
2,15
2,11
2,10
2,7
2,14
10,18
10,16
10,24
10,26
10,17
10,16
10,18
10,26
10,26
10,20
10,22
10,16
10,25
10,21
10,21
10,18
10,18
10,26
10,17
10,23
2,13
2,7
2,13
2,1
2,3
2,10
2,11
2,12
2,6
2,5
2,10
2,12
2,11
2,11
2,7
2,7
2,7
2,6
2,11
2,14
10,22
10,21
10,18
10,16
10,35
10,22
10,15
10,7
10,23
10,28
10,16
10,9
10,13
10,17
10,25
10,15
10,19
10,25
10,11
10,21
