unique_cell_id,num_spots,num_nuc_spots,num_cyto_spots,num_ts,num_foci,num_spots_ts,largest_ts,second_largest_ts,num_spots_foci,nuc_area,cyto_area,time,dex_conc,replica,fov,nas_location,h5_idx
200001,100,15,85,0,0,0,0,0,0,10492.0,22097.0,40,100,E,0,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200003,165,73,92,0,0,0,0,0,0,7405.0,10438.0,40,100,E,0,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200004,249,114,135,3,1,17,9,4,5,11514.0,22231.0,40,100,E,0,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200005,27,12,15,0,0,0,0,0,0,6811.0,12688.0,40,100,E,0,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200006,246,91,155,2,2,8,4,0,8,10023.0,22566.0,40,100,E,0,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200008,96,39,57,1,0,4,4,0,0,5946.0,9518.0,40,100,E,0,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200012,19,5,14,0,0,0,0,0,0,6778.0,7974.0,40,100,E,1,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200013,40,21,19,0,0,0,0,0,0,4813.0,5218.0,40,100,E,1,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200014,19,6,13,0,0,0,0,0,0,6778.0,7551.0,40,100,E,1,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200015,22,11,11,0,0,0,0,0,0,7552.0,9835.0,40,100,E,1,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200016,477,140,337,2,28,12,6,0,138,6683.0,11993.0,40,100,E,1,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200018,256,82,174,1,0,5,5,0,0,10840.0,23563.0,40,100,E,1,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200019,372,120,252,2,2,16,9,7,8,7759.0,12332.0,40,100,E,1,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200020,267,73,194,1,5,4,4,0,22,4635.0,8116.0,40,100,E,1,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200021,184,72,112,0,0,0,0,0,0,5316.0,9172.0,40,100,E,1,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
